,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,,Brooks Koepka,88,"83' 11""",63447,63,"4' 9""","147' 4"""
1,2,,Zac Blair,105,"83' 5""",81088,81,"4' 8""","184' 7"""
2,3,,Nicholas Lindheim,58,"83' 2""",43932,44,"4' 8""","151' 8"""
3,4,,Blayne Barber,77,"83' 0""",66704,67,"4' 8""","183' 7"""
4,5,,Steve Wheatcroft,51,"81' 7""",39140,40,"4' 7""","143' 9"""
5,T6,,Graeme McDowell,56,"81' 1""",46690,48,"4' 7""","140' 3"""
6,T6,,Michael Thompson,60,"81' 1""",42818,44,"4' 6""","156' 4"""
7,8,,Jonas Blixt,74,"80' 8""",57111,59,"4' 6""","149' 7"""
8,9,,Rickie Fowler,78,"80' 7""",57026,59,"4' 6""","134' 0"""
9,10,,Cody Gribble,79,"80' 4""",67500,70,"4' 6""","135' 11"""
10,11,,Sebastián Muñoz,51,"79' 11""",37395,39,"4' 6""","143' 9"""
11,12,,Russell Henley,99,"79' 8""",78384,82,"4' 6""","186' 8"""
12,13,,Xander Schauffele,96,"79' 6""",66791,70,"4' 5""","169' 6"""
13,14,,Sean O'Hair,84,"79' 3""",64668,68,"4' 6""","162' 10"""
14,15,,Peter Malnati,91,"79' 0""",69222,73,"4' 6""","211' 0"""
15,16,,David Lingmerth,79,"78' 11""",61584,65,"4' 5""","149' 3"""
16,17,,Kevin Na,86,"78' 9""",58589,62,"4' 5""","140' 5"""
17,18,,Louis Oosthuizen,69,"78' 7""",44319,47,"4' 5""","129' 6"""
18,19,,Shane Lowry,52,"78' 4""",31958,34,"4' 5""","155' 10"""
19,20,,Wesley Bryan,95,"77' 7""",69824,75,"4' 5""","139' 10"""
20,21,,Steven Bowditch,59,"77' 6""",41849,45,"4' 4""","137' 7"""
21,22,,Justin Thomas,86,"77' 3""",56539,61,"4' 4""","156' 5"""
22,23,,Camilo Villegas,76,"77' 2""",57423,62,"4' 4""","135' 6"""
23,T24,,Whee Kim,74,"77' 1""",53661,58,"4' 4""","135' 0"""
