,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,,Shane Lowry,52,68.91,119,82
1,2,,Rafa Cabrera Bello,63,65.38,182,119
2,3,,Ryan Blaum,100,64.92,325,211
3,4,,Patrick Reed,107,63.71,361,230
4,5,,Cameron Smith,86,62.77,274,172
5,6,,Scott Brown,95,62.69,327,205
6,7,,David Lingmerth,79,62.5,280,175
7,8,,Kevin Tway,96,61.83,338,209
8,9,,Greg Chalmers,75,61.64,305,188
9,10,,Ryo Ishikawa,56,61.46,192,118
10,11,,Ernie Els,52,61.43,140,86
11,12,,Louis Oosthuizen,69,61.32,212,130
12,13,,Brian Harman,104,61.25,320,196
13,14,,Harris English,84,61.19,286,175
14,15,,Kevin Kisner,105,60.6,302,183
15,16,,Jason Bohn,75,60.49,243,147
16,17,,Brian Campbell,55,60.47,172,104
17,18,,Peter Malnati,91,60.44,321,194
18,T19,,Gonzalo Fernandez-Castaño,63,60.31,194,117
19,T19,,Charles Howell III,86,60.31,262,158
20,21,,Brooks Koepka,88,60.22,279,168
21,22,,Webb Simpson,102,60.12,321,193
22,23,,Blayne Barber,77,60.07,283,170
23,T24,,Russell Henley,99,60.0,335,201
24,T24,,Brandt Snedeker,53,60.0,150,90
25,26,,Camilo Villegas,76,59.93,267,160
26,27,,Danny Lee,93,59.88,334,200
27,28,,John Huh,92,59.7,335,200
28,29,,Luke Donald,50,59.64,166,99
29,30,,Ian Poulter,72,59.48,232,138
30,31,,Sean O'Hair,84,59.46,296,176
31,32,,Chez Reavie,98,59.38,325,193
32,33,,Xander Schauffele,96,59.34,273,162
33,34,,Richy Werenski,81,59.23,233,138
34,35,,Derek Fathauer,81,59.14,279,165
35,T36,,Branden Grace,70,59.12,181,107
36,T36,,Steve Wheatcroft,51,59.12,159,94
37,T38,,Jonas Blixt,74,59.03,288,170
38,T38,,Søren Kjeldsen,58,59.03,144,85
39,40,,Martin Laird,83,58.95,285,168
40,41,,Zach Johnson,81,58.94,263,155
41,42,,Rickie Fowler,78,58.82,255,150
42,43,,Mackenzie Hughes,106,58.75,383,225
43,44,,Jonathan Randolph,68,58.55,234,137
44,45,,Seamus Power,86,58.52,270,158
45,46,,Bryce Molder,74,58.51,282,165
46,47,,Brandon Hagy,85,58.46,272,159
47,48,,J.T. Poston,95,58.42,279,163
48,49,,Graeme McDowell,56,58.41,214,125
49,50,,Ryan Brehm,83,58.4,238,139
50,51,,Chris Stroud,67,58.37,209,122
51,52,,Sung Kang,104,58.36,353,206
52,53,,K.J. Choi,72,58.23,237,138
53,54,,Seung-Yul Noh,91,58.16,294,171
54,55,,Brian Gay,82,58.15,270,157
55,56,,Sam Saunders,76,58.11,265,154
