,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,,Michael Thompson,60,0.86,116,10.0
1,2,,Steve Wheatcroft,51,0.83,96,8.0
2,3,,Blayne Barber,77,0.76,158,12.0
3,4,,Zac Blair,105,0.72,195,14.0
4,5,,Ben Crane,86,0.71,156,11.0
5,T6,,Kyle Reifers,96,0.7,185,13.0
6,T6,,Jordan Spieth,85,0.7,129,9.0
7,8,,Nicholas Lindheim,58,0.66,91,6.0
8,9,,Justin Thomas,86,0.64,109,7.0
9,T10,,Dustin Johnson,77,0.61,114,7.0
10,T10,,Peter Malnati,91,0.61,164,10.0
11,12,,Keegan Bradley,104,0.58,190,11.0
12,T13,,Billy Hurley III,80,0.57,157,9.0
13,T13,,Matt Jones,64,0.57,123,7.0
14,T15,,Tom Hoge,54,0.56,72,4.0
15,T15,,Seung-Yul Noh,91,0.56,161,9.0
16,T17,,Brooks Koepka,88,0.55,127,7.0
17,T17,,Kyle Stanley,104,0.55,181,10.0
18,19,,Greg Chalmers,75,0.54,147,8.0
19,T20,,Jason Day,71,0.53,95,5.0
20,T20,,J.B. Holmes,83,0.53,95,5.0
21,T22,,Steven Bowditch,59,0.52,97,5.0
22,T22,,Stewart Cink,93,0.52,191,10.0
23,T24,,Brett Drewitt,57,0.51,78,4.0
24,T24,,Kevin Na,86,0.51,117,6.0
25,26,,Daniel Summerhays,100,0.5,161,8.0
26,T27,,Emiliano Grillo,90,0.49,123,6.0
27,T27,,Tyrone Van Aswegen,105,0.49,164,8.0
28,T29,,Sebastián Muñoz,51,0.48,105,5.0
29,T29,,Tag Ridings,67,0.48,104,5.0
30,T29,,Xander Schauffele,96,0.48,147,7.0
31,T32,,Patrick Cantlay,52,0.47,106,5.0
32,T32,,Bryson DeChambeau,91,0.47,150,7.0
33,T32,,Kevin Tway,96,0.47,150,7.0
34,35,,Pat Perez,93,0.46,173,8.0
35,T36,,Jonas Blixt,74,0.45,134,6.0
36,T36,,Ben Martin,86,0.45,154,7.0
37,T36,,Ian Poulter,72,0.45,112,5.0
38,T36,,Brandt Snedeker,53,0.45,67,3.0
39,T36,,Vaughn Taylor,90,0.45,156,7.0
40,T36,,Cameron Tringale,89,0.45,155,7.0
41,T42,,Cody Gribble,79,0.44,158,7.0
42,T42,,Charles Howell III,86,0.44,158,7.0
43,T42,,Shane Lowry,52,0.44,68,3.0
44,T42,,Sean O'Hair,84,0.44,158,7.0
45,T46,,Aaron Baddeley,61,0.43,92,4.0
46,T46,,Billy Horschel,88,0.43,208,9.0
47,T46,,Mark Hubbard,81,0.43,139,6.0
48,T46,,Luke List,102,0.43,207,9.0
49,T46,,Bryce Molder,74,0.43,141,6.0
50,T51,,Graham DeLaet,82,0.42,191,8.0
51,T51,,Troy Merritt,82,0.42,142,6.0
52,T53,,Jim Herman,77,0.41,147,6.0
53,T53,,Louis Oosthuizen,69,0.41,122,5.0
54,T53,,Scott Piercy,70,0.41,98,4.0
55,T53,,Tim Wilkinson,64,0.41,98,4.0
56,T57,,Dominic Bozzelli,69,0.4,99,4.0
57,T57,,Fabián Gómez,61,0.4,100,4.0
58,T57,,Russell Henley,99,0.4,176,7.0
59,T57,,Patrick Reed,107,0.4,150,6.0
60,T57,,J.J. Spaun,92,0.4,177,7.0
61,T62,,Rickie Fowler,78,0.39,127,5.0
62,T62,,Morgan Hoffmann,92,0.39,203,8.0
63,T62,,David Lingmerth,79,0.39,103,4.0
64,T62,,Graeme McDowell,56,0.39,103,4.0
65,T62,,Jon Rahm,90,0.39,155,6.0
66,T62,,Cameron Smith,86,0.39,129,5.0
67,T62,,Brendan Steele,89,0.39,152,6.0
68,T62,,Gary Woodland,94,0.39,153,6.0
69,T70,,Brian Gay,82,0.38,133,5.0
70,T70,,David Hearn,93,0.38,160,6.0
71,T70,,Camilo Villegas,76,0.38,132,5.0
72,T70,,Bubba Watson,71,0.38,104,4.0
73,T74,,Alex Cejka,85,0.37,136,5.0
74,T74,,Kevin Kisner,105,0.37,162,6.0
75,T74,,Ryan Palmer,61,0.37,107,4.0
76,T77,,Daniel Berger,91,0.36,139,5.0
77,T77,,Brian Campbell,55,0.36,83,3.0
78,T77,,Harris English,84,0.36,167,6.0
79,T77,,Lucas Glover,93,0.36,197,7.0
80,T77,,Søren Kjeldsen,58,0.36,55,2.0
81,T77,,D.A. Points,68,0.36,112,4.0
82,T77,,Patrick Rodgers,76,0.36,166,6.0
83,T77,,Harold Varner III,101,0.36,196,7.0
84,T85,,Ricky Barnes,100,0.35,141,5.0
85,T85,,Bill Haas,92,0.35,171,6.0
86,T85,,Hideki Matsuyama,83,0.35,114,4.0
87,T85,,Jonathan Randolph,68,0.35,113,4.0
88,T89,,Paul Casey,94,0.34,145,5.0
89,T89,,Gonzalo Fernandez-Castaño,63,0.34,87,3.0
90,T89,,Marc Leishman,94,0.34,149,5.0
91,T89,,Seamus Power,86,0.34,145,5.0
92,T93,,Ryan Armour,63,0.33,122,4.0
93,T93,,Adam Hadwin,98,0.33,150,5.0
94,T93,,Brian Stuard,93,0.33,122,4.0
95,T96,,Scott Brown,95,0.32,154,5.0
96,T96,,Patton Kizzire,84,0.32,157,5.0
97,T98,,Chad Campbell,97,0.31,196,6.0
98,T98,,James Hahn,96,0.31,193,6.0
99,T98,,John Huh,92,0.31,161,5.0
100,T98,,William McGirt,89,0.31,161,5.0
101,T98,,Chez Reavie,98,0.31,159,5.0
102,T98,,Rory Sabbatini,71,0.31,97,3.0
103,T98,,Webb Simpson,102,0.31,161,5.0
104,T98,,Brett Stegmaier,78,0.31,131,4.0
105,T98,,Robert Streb,98,0.31,195,6.0
106,T98,,Chris Stroud,67,0.31,96,3.0
107,T108,,Wesley Bryan,95,0.3,135,4.0
108,T108,,Chad Collins,66,0.3,99,3.0
109,T108,,Jimmy Walker,68,0.3,99,3.0
110,T111,,Whee Kim,74,0.29,103,3.0
111,T111,,Rory McIlroy,51,0.29,68,2.0
112,T111,,Jhonattan Vegas,95,0.29,170,5.0
113,T111,,Nick Watney,75,0.29,139,4.0
114,T115,,Ryan Blaum,100,0.28,177,5.0
115,T115,,Tony Finau,106,0.28,216,6.0
116,T115,,Justin Rose,66,0.28,109,3.0
117,T115,,Shawn Stefani,72,0.28,144,4.0
118,T119,,Byeong Hun An,77,0.27,112,3.0
119,T119,,Matt Every,76,0.27,111,3.0
120,T119,,Martin Laird,83,0.27,150,4.0
121,T119,,Sam Saunders,76,0.27,113,3.0
122,T123,,Ryan Brehm,83,0.26,151,4.0
123,T123,,Ken Duke,77,0.26,116,3.0
124,T123,,Martin Flores,88,0.26,191,5.0
125,T123,,Danny Lee,93,0.26,154,4.0
126,T123,,Geoff Ogilvy,80,0.26,154,4.0
127,T128,,K.J. Choi,72,0.25,119,3.0
128,T128,,Brandon Hagy,85,0.25,162,4.0
129,T128,,Mackenzie Hughes,106,0.25,236,6.0
130,T128,,Smylie Kaufman,76,0.25,119,3.0
131,T132,,Andres Gonzales,73,0.24,127,3.0
132,T132,,Spencer Levin,89,0.24,167,4.0
133,T132,,Jamie Lovemark,98,0.24,166,4.0
134,T132,,Hunter Mahan,73,0.24,166,4.0
135,136,,Sergio Garcia,65,0.23,87,2.0
136,T137,,Luke Donald,50,0.22,92,2.0
137,T137,,Zach Johnson,81,0.22,137,3.0
138,T137,,Cameron Percy,71,0.22,138,3.0
139,T140,,Charley Hoffman,112,0.21,192,4.0
140,T140,,Chris Kirk,89,0.21,143,3.0
141,T140,,Ryan Moore,82,0.21,142,3.0
142,T140,,Trey Mullinax,88,0.21,145,3.0
143,T140,,C.T. Pan,88,0.21,188,4.0
144,T145,,Matt Kuchar,95,0.2,151,3.0
145,T145,,Scott Stallings,81,0.2,152,3.0
146,T147,,Ernie Els,52,0.19,53,1.0
147,T147,,Julián Etulain,68,0.19,103,2.0
148,T147,,J.J. Henry,92,0.19,211,4.0
149,T147,,Grayson Murray,94,0.19,157,3.0
150,T151,,Robert Garrigus,78,0.18,112,2.0
151,T151,,Russell Knox,75,0.18,109,2.0
152,T151,,Andrew Loupe,55,0.18,110,2.0
153,T151,,Ollie Schniederjans,92,0.18,167,3.0
154,T151,,Johnson Wagner,71,0.18,114,2.0
155,T156,,Roberto Castro,70,0.17,115,2.0
156,T156,,Francesco Molinari,75,0.17,115,2.0
157,T158,,Jason Bohn,75,0.16,122,2.0
158,T158,,Derek Fathauer,81,0.16,125,2.0
159,T158,,Sung Kang,104,0.16,186,3.0
160,T158,,Michael Kim,94,0.16,191,3.0
161,T158,,Jason Kokrak,95,0.16,182,3.0
162,T158,,Hudson Swafford,94,0.16,182,3.0
163,T158,,Boo Weekley,75,0.16,128,2.0
164,T165,,Ryo Ishikawa,56,0.15,68,1.0
165,T165,,Kelly Kraft,75,0.15,134,2.0
166,T167,,Kevin Chappell,95,0.14,139,2.0
167,T167,,Jason Dufner,89,0.14,142,2.0
168,T167,,Jim Furyk,54,0.14,72,1.0
169,T167,,Phil Mickelson,85,0.14,143,2.0
170,T167,,J.T. Poston,95,0.14,147,2.0
171,T172,,Brad Fritsch,56,0.13,75,1.0
172,T172,,Rod Pampling,71,0.13,150,2.0
173,174,,Retief Goosen,52,0.12,82,1.0
174,T175,,Mark Anderson,54,0.11,88,1.0
175,T175,,Rafa Cabrera Bello,63,0.11,92,1.0
176,T175,,Charl Schwartzel,63,0.11,90,1.0
177,T178,,Miguel Angel Carballo,63,0.1,101,1.0
178,T178,,Anirban Lahiri,72,0.1,99,1.0
179,T178,,Carl Pettersson,63,0.1,98,1.0
180,181,,Nick Taylor,97,0.09,218,2.0
181,182,,Si Woo Kim,80,0.08,118,1.0
182,183,,Richy Werenski,81,0.07,134,1.0
183,T184,,Bud Cauley,92,0.06,170,1.0
184,T184,,Brian Harman,104,0.06,162,1.0
185,T184,,Kevin Streelman,90,0.06,167,1.0
186,T187,,Steven Alker,69,0.0,105,
187,T187,,Branden Grace,70,0.0,76,
188,T187,,Rick Lamb,54,0.0,62,
189,T187,,Adam Scott,58,0.0,95,
