,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,,Ernie Els,52,4.51,6,133,95.4
1,2,,Phil Mickelson,85,5.28,15,284,94.7
2,3,,Brian Gay,82,5.56,16,288,94.4
3,4,,Jordan Spieth,85,5.58,15,269,94.4
4,5,,Chris Kirk,89,5.69,17,299,94.3
5,6,,Jim Furyk,54,6.32,11,174,93.6
6,7,,Patrick Cantlay,52,6.4,13,203,93.6
7,8,,Søren Kjeldsen,58,6.45,8,124,93.5
8,9,,K.J. Choi,72,6.57,14,213,93.4
9,T10,,Luke Donald,50,6.67,13,195,93.3
10,T10,,Patrick Reed,107,6.67,21,315,93.3
11,12,,Ricky Barnes,100,6.77,21,310,93.2
12,13,,J.T. Poston,95,6.88,19,276,93.1
13,14,,Marc Leishman,94,7.0,21,300,93.0
14,T15,,Brian Harman,104,7.01,23,328,92.9
15,T15,,Shane Lowry,52,7.01,11,157,92.9
16,17,,Daniel Summerhays,100,7.12,24,337,92.8
17,18,,Hudson Swafford,94,7.18,26,362,92.8
18,19,,Charles Howell III,86,7.28,23,316,92.7
19,T20,,Paul Casey,94,7.32,21,287,92.6
20,T20,,Cody Gribble,79,7.32,24,328,92.6
21,22,,Wesley Bryan,95,7.34,21,286,92.6
22,23,,Scott Brown,95,7.47,26,348,92.5
23,24,,Michael Thompson,60,7.48,16,214,92.5
24,25,,Brian Stuard,93,7.55,20,265,92.4
25,26,,Chez Reavie,98,7.62,26,341,92.3
26,T27,,Carl Pettersson,63,7.69,17,221,92.3
27,T27,,Charl Schwartzel,63,7.69,14,182,92.3
28,29,,Geoff Ogilvy,80,7.74,24,310,92.2
29,30,,Russell Henley,99,7.79,30,385,92.2
30,31,,Ryan Blaum,100,7.82,28,358,92.1
31,32,,Harris English,84,7.85,26,331,92.1
32,33,,Camilo Villegas,76,7.87,20,254,92.1
33,34,,Greg Chalmers,75,7.9,23,291,92.1
34,35,,Graham DeLaet,82,7.92,30,379,92.0
35,36,,Brian Campbell,55,7.93,13,164,92.0
36,37,,Bryce Molder,74,7.94,22,277,92.0
37,38,,Jim Herman,77,7.95,26,327,92.0
38,39,,Brooks Koepka,88,7.98,21,263,92.0
39,40,,Ben Crane,86,7.99,25,313,92.0
40,41,,Fabián Gómez,61,8.11,18,222,91.8
41,42,,Danny Lee,93,8.12,25,308,91.8
42,43,,Tim Wilkinson,64,8.16,16,196,91.8
43,T44,,Martin Flores,88,8.28,28,338,91.7
44,T44,,Peter Malnati,91,8.28,25,302,91.7
45,46,,Justin Rose,66,8.3,19,229,91.7
46,47,,David Lingmerth,79,8.42,23,273,91.5
47,48,,Jason Bohn,75,8.46,23,272,91.5
48,49,,Billy Hurley III,80,8.52,27,317,91.4
49,50,,Kevin Kisner,105,8.54,27,316,91.4
50,51,,Stewart Cink,93,8.55,30,351,91.4
51,52,,Rickie Fowler,78,8.56,22,257,91.4
52,53,,Cameron Smith,86,8.6,24,279,91.4
53,T54,,Daniel Berger,91,8.61,26,302,91.3
54,T54,,Richy Werenski,81,8.61,23,267,91.3
55,56,,Louis Oosthuizen,69,8.62,20,232,91.3
56,57,,Lucas Glover,93,8.64,33,382,91.3
57,58,,Jonas Blixt,74,8.73,22,252,91.2
58,59,,Aaron Baddeley,61,8.74,16,183,91.2
59,60,,Ryan Armour,63,8.77,20,228,91.2
60,61,,Chad Campbell,97,8.79,35,398,91.2
61,T62,,Zac Blair,105,8.88,31,349,91.1
62,T62,,Billy Horschel,88,8.88,35,394,91.1
63,T62,,Pat Perez,93,8.88,30,338,91.1
64,65,,Derek Fathauer,81,8.92,24,269,91.0
65,66,,Smylie Kaufman,76,8.95,23,257,91.0
66,67,,Whee Kim,74,9.01,21,233,90.9
67,68,,John Huh,92,9.04,30,332,90.9
68,69,,Sean O'Hair,84,9.06,28,309,90.9
69,T70,,Adam Scott,58,9.09,15,165,90.9
70,T70,,Kevin Tway,96,9.09,29,319,90.9
71,72,,Jonathan Randolph,68,9.14,18,197,90.8
72,73,,Xander Schauffele,96,9.17,31,338,90.8
73,74,,James Hahn,96,9.19,35,381,90.8
74,75,,Bud Cauley,92,9.2,31,337,90.8
75,76,,Ian Poulter,72,9.22,20,217,90.7
76,77,,Zach Johnson,81,9.27,24,259,90.7
77,78,,Grayson Murray,94,9.29,30,323,90.7
78,T79,,Adam Hadwin,98,9.3,28,301,90.7
79,T79,,Johnson Wagner,71,9.3,24,258,90.7
80,T81,,Mark Hubbard,81,9.35,26,278,90.6
81,T81,,Webb Simpson,102,9.35,30,321,90.6
82,83,,Mackenzie Hughes,106,9.39,43,458,90.6
83,84,,Nick Watney,75,9.41,27,287,90.5
84,85,,Matt Kuchar,95,9.43,30,318,90.5
85,86,,Dustin Johnson,77,9.44,22,233,90.5
86,87,,Gonzalo Fernandez-Castaño,63,9.6,17,177,90.4
87,88,,Shawn Stefani,72,9.61,27,281,90.3
88,89,,Ken Duke,77,9.66,23,238,90.3
89,90,,Tag Ridings,67,9.71,20,206,90.2
90,T91,,Rick Lamb,54,9.72,14,144,90.2
91,T91,,Trey Mullinax,88,9.72,28,288,90.2
92,T93,,Michael Kim,94,9.73,36,370,90.2
93,T93,,Justin Thomas,86,9.73,22,226,90.2
94,95,,Ryo Ishikawa,56,9.74,15,154,90.2
95,96,,Martin Laird,83,9.76,28,287,90.2
96,97,,Sung Kang,104,9.84,36,366,90.1
97,98,,Mark Anderson,54,9.89,18,182,90.1
98,99,,Chad Collins,66,9.91,21,212,90.0
99,T100,,Spencer Levin,89,9.93,30,302,90.0
100,T100,,Cameron Tringale,89,9.93,30,302,90.0
101,102,,J.J. Henry,92,9.95,40,402,90.0
102,T103,,Jamie Lovemark,98,10.0,33,330,90.0
103,T103,,Ben Martin,86,10.0,30,300,90.0
104,105,,David Hearn,93,10.03,30,299,89.9
105,106,,Chris Stroud,67,10.05,19,189,89.9
106,107,,William McGirt,89,10.06,33,328,89.9
107,T108,,Steven Alker,69,10.1,21,208,89.9
108,T108,,Luke List,102,10.1,41,406,89.9
109,T108,,Seung-Yul Noh,91,10.1,31,307,89.9
110,111,,Andrew Loupe,55,10.14,22,217,89.8
111,112,,Steve Wheatcroft,51,10.17,18,177,89.8
112,113,,J.J. Spaun,92,10.19,33,324,89.8
113,114,,Ryan Brehm,83,10.26,28,273,89.7
114,115,,Rafa Cabrera Bello,63,10.27,19,185,89.7
115,116,,Steven Bowditch,59,10.36,20,193,89.6
116,117,,Ollie Schniederjans,92,10.37,36,347,89.6
117,T118,,Kelly Kraft,75,10.41,28,269,89.5
118,T118,,Troy Merritt,82,10.41,28,269,89.5
119,120,,Hideki Matsuyama,83,10.45,23,220,89.5
120,121,,Morgan Hoffmann,92,10.46,39,373,89.5
121,122,,Brendan Steele,89,10.47,31,296,89.5
122,123,,D.A. Points,68,10.48,26,248,89.5
123,124,,Ryan Moore,82,10.53,28,266,89.4
124,125,,Blayne Barber,77,10.54,31,294,89.4
125,126,,Matt Jones,64,10.6,23,217,89.4
126,T127,,Tony Finau,106,10.65,44,413,89.3
127,T127,,Bill Haas,92,10.65,33,310,89.3
128,129,,Branden Grace,70,10.7,20,187,89.3
129,T130,,Anirban Lahiri,72,10.73,22,205,89.2
130,T130,,Robert Streb,98,10.73,41,382,89.2
131,T132,,C.T. Pan,88,10.76,38,353,89.2
132,T132,,Kyle Reifers,96,10.76,38,353,89.2
133,T134,,Scott Stallings,81,10.77,32,297,89.2
134,T134,,Brett Stegmaier,78,10.77,28,260,89.2
135,136,,Rory Sabbatini,71,10.78,22,204,89.2
136,137,,Alex Cejka,85,10.83,30,277,89.1
137,138,,Francesco Molinari,75,10.87,25,230,89.1
138,139,,Seamus Power,86,10.92,32,293,89.0
139,140,,Patton Kizzire,84,10.98,36,328,89.0
140,141,,Matt Every,76,11.06,25,226,88.9
141,142,,Rory McIlroy,51,11.19,16,143,88.8
142,143,,Retief Goosen,52,11.36,20,176,88.6
143,144,,Kevin Streelman,90,11.38,37,325,88.6
144,145,,Miguel Angel Carballo,63,11.46,22,192,88.5
145,146,,Vaughn Taylor,90,11.48,35,305,88.5
146,147,,Jhonattan Vegas,95,11.49,37,322,88.5
147,148,,Sebastián Muñoz,51,11.56,20,173,88.4
148,149,,Graeme McDowell,56,11.74,25,213,88.2
149,150,,Kevin Na,86,11.79,29,246,88.2
150,151,,Gary Woodland,94,11.82,35,296,88.1
151,152,,Tyrone Van Aswegen,105,11.86,42,354,88.1
152,153,,Charley Hoffman,112,11.9,45,378,88.1
153,154,,Hunter Mahan,73,11.94,37,310,88.0
154,155,,Byeong Hun An,77,11.98,26,217,88.0
155,156,,Brandt Snedeker,53,12.06,17,141,87.9
156,157,,Tom Hoge,54,12.08,18,149,87.9
157,T158,,Emiliano Grillo,90,12.12,32,264,87.8
158,T158,,Patrick Rodgers,76,12.12,40,330,87.8
159,160,,Brett Drewitt,57,12.14,21,173,87.8
160,T161,,Jason Day,71,12.21,26,213,87.7
161,T161,,Kyle Stanley,104,12.21,48,393,87.7
162,163,,Brandon Hagy,85,12.26,38,310,87.7
163,164,,Keegan Bradley,104,12.27,46,375,87.7
164,165,,Robert Garrigus,78,12.3,30,244,87.7
165,166,,Bryson DeChambeau,91,12.33,37,300,87.6
166,167,,Jason Kokrak,95,12.4,47,379,87.6
167,168,,J.B. Holmes,83,12.44,26,209,87.5
168,T169,,Si Woo Kim,80,12.5,29,232,87.5
169,T169,,Jimmy Walker,68,12.5,25,200,87.5
170,171,,Sam Saunders,76,12.77,30,235,87.2
171,172,,Nick Taylor,97,12.83,49,382,87.1
