,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
123,124,,Tony Finau,106,96.26,1310,1261
124,125,,Ryan Armour,63,96.25,694,668
125,T126,,C.T. Pan,88,96.24,1090,1049
126,T126,,Chris Stroud,67,96.24,691,665
127,128,,Justin Thomas,86,96.21,870,837
128,129,,Steven Bowditch,59,96.2,632,608
129,T130,,Sam Saunders,76,96.18,863,830
130,T130,,Richy Werenski,81,96.18,889,855
131,T132,,Morgan Hoffmann,92,96.17,1150,1106
132,T132,,Brooks Koepka,88,96.17,862,829
133,134,,Seung-Yul Noh,91,96.16,1067,1026
134,T135,,Miguel Angel Carballo,63,96.15,623,599
135,T135,,Rory Sabbatini,71,96.15,780,750
136,T135,,Kyle Stanley,104,96.15,1351,1299
137,138,,Jason Day,71,96.09,741,712
138,T139,,Jason Dufner,89,96.08,995,956
139,T139,,Cameron Tringale,89,96.08,943,906
140,141,,Ryan Blaum,100,96.01,1153,1107
141,T142,,Jason Bohn,75,96.0,899,863
142,T142,,Robert Streb,98,96.0,1225,1176
143,T144,,Andrew Loupe,55,95.98,671,644
144,T144,,Pat Perez,93,95.98,1019,978
145,T146,,Roberto Castro,70,95.97,770,739
146,T146,,Francesco Molinari,75,95.97,819,786
147,T148,,Kevin Na,86,95.96,866,831
148,T148,,Kevin Streelman,90,95.96,1139,1093
149,150,,Stewart Cink,93,95.93,1106,1061
150,T151,,Harold Varner III,101,95.92,1250,1199
151,T151,,Jhonattan Vegas,95,95.92,1006,965
152,153,,Bubba Watson,71,95.9,757,726
153,154,,Alex Cejka,85,95.88,922,884
154,155,,Webb Simpson,102,95.87,1139,1092
155,T156,,J.B. Holmes,83,95.78,829,794
156,T156,,Rory McIlroy,51,95.78,498,477
157,158,,Ryo Ishikawa,56,95.77,615,589
158,159,,Rod Pampling,71,95.71,978,936
159,160,,Justin Rose,66,95.68,741,709
160,161,,Shane Lowry,52,95.63,480,459
161,162,,Ryan Brehm,83,95.62,890,851
162,163,,Chris Kirk,89,95.59,997,953
163,164,,Brett Drewitt,57,95.53,627,599
164,165,,D.A. Points,68,95.48,863,824
165,T166,,Russell Knox,75,95.47,751,717
166,T166,,Scott Piercy,70,95.47,685,654
167,168,,Cody Gribble,79,95.44,987,942
168,169,,Scott Stallings,81,95.42,983,938
169,170,,Steven Alker,69,95.37,756,721
170,171,,Brett Stegmaier,78,95.34,859,819
171,172,,Luke List,102,95.33,1264,1205
172,173,,Robert Garrigus,78,95.32,877,836
173,174,,Matt Every,76,95.28,889,847
174,175,,Brendan Steele,89,95.27,972,926
175,176,,Sergio Garcia,65,95.25,611,582
