,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,,Jonas Blixt,74,43.81,552,1260
1,2,,Camilo Villegas,76,43.29,561,1296
2,3,,Gonzalo Fernandez-Castaño,63,43.06,434,1008
3,4,,Steve Wheatcroft,51,42.43,359,846
4,T5,,Chad Collins,66,42.29,472,1116
5,T5,,Seamus Power,86,42.29,609,1440
6,7,,Greg Chalmers,75,42.25,540,1278
7,8,,Sam Saunders,76,42.22,532,1260
8,9,,Jason Day,71,42.09,500,1188
9,10,,Wesley Bryan,95,42.06,689,1638
10,11,,Peter Malnati,91,42.03,643,1530
11,12,,Brian Gay,82,42.02,590,1404
12,13,,Graeme McDowell,56,41.87,422,1008
13,14,,Cameron Smith,86,41.8,617,1476
14,15,,Anirban Lahiri,72,41.74,541,1296
15,T16,,Luke Donald,50,41.55,359,864
16,T16,,Tom Hoge,54,41.55,344,828
17,18,,Adam Hadwin,98,41.44,731,1764
18,19,,Justin Thomas,86,41.35,588,1422
19,20,,Carl Pettersson,63,41.34,439,1062
20,21,,Phil Mickelson,85,41.18,593,1440
21,22,,Rickie Fowler,78,41.15,563,1368
22,T23,,Scott Brown,95,41.09,673,1638
23,T23,,Ian Poulter,72,41.09,503,1224
24,25,,Brian Campbell,55,41.07,377,918
25,26,,Nicholas Lindheim,58,40.97,413,1008
26,27,,David Lingmerth,79,40.96,553,1350
27,28,,Aaron Baddeley,61,40.94,420,1026
28,29,,Tim Wilkinson,64,40.9,427,1044
29,30,,Ricky Barnes,100,40.88,677,1656
30,31,,Brooks Koepka,88,40.76,587,1440
31,T32,,Seung-Yul Noh,91,40.74,638,1566
32,T32,,Charl Schwartzel,63,40.74,440,1080
33,34,,Whee Kim,74,40.59,526,1296
34,35,,Ryan Blaum,100,40.57,701,1728
35,T36,,Brian Harman,104,40.56,730,1800
36,T36,,Michael Kim,94,40.56,657,1620
37,38,,Morgan Hoffmann,92,40.53,642,1584
38,39,,Billy Hurley III,80,40.49,583,1440
39,T40,,Cody Gribble,79,40.48,561,1386
40,T40,,Vaughn Taylor,90,40.48,612,1512
41,42,,Dominic Bozzelli,69,40.43,473,1170
42,43,,Bryce Molder,74,40.39,538,1332
43,44,,Patrick Reed,107,40.33,726,1800
44,45,,Matt Every,76,40.32,508,1260
45,46,,Ryo Ishikawa,56,40.28,406,1008
46,47,,Pat Perez,93,40.25,652,1620
47,48,,Cameron Tringale,89,40.23,601,1494
48,49,,Danny Lee,93,40.2,644,1602
49,50,,Sebastián Muñoz,51,40.14,354,882
50,51,,Zac Blair,105,40.12,715,1782
51,52,,Matt Jones,64,40.08,404,1008
52,53,,Derek Fathauer,81,40.0,540,1350
53,54,,Michael Thompson,60,39.98,403,1008
54,55,,Grayson Murray,94,39.94,647,1620
55,56,,Blayne Barber,77,39.91,510,1278
56,57,,Kevin Tway,96,39.9,632,1584
57,58,,Andres Gonzales,73,39.86,495,1242
58,59,,Robert Streb,98,39.83,674,1692
59,60,,Jordan Spieth,85,39.81,559,1404
60,61,,Zach Johnson,81,39.75,551,1386
61,62,,Chris Stroud,67,39.74,422,1062
62,T63,,K.J. Choi,72,39.56,470,1188
63,T63,,Jon Rahm,90,39.56,591,1494
64,65,,Patton Kizzire,84,39.55,541,1368
65,66,,Brandon Hagy,85,39.54,548,1386
66,67,,Daniel Berger,91,39.53,612,1548
67,68,,Ryan Moore,82,39.52,562,1422
68,69,,Rory McIlroy,51,39.47,341,864
69,70,,Tag Ridings,67,39.45,419,1062
70,71,,J.T. Poston,95,39.4,617,1566
71,72,,Webb Simpson,102,39.39,702,1782
72,73,,John Huh,92,39.33,623,1584
73,74,,Dustin Johnson,77,39.21,494,1260
74,75,,Smylie Kaufman,76,39.2,501,1278
75,T76,,Jason Dufner,89,39.16,578,1476
76,T76,,Mackenzie Hughes,106,39.16,733,1872
77,78,,Brian Stuard,93,39.14,613,1566
78,79,,Søren Kjeldsen,58,39.12,345,882
79,80,,Brett Drewitt,57,39.1,373,954
80,81,,Hunter Mahan,73,38.89,497,1278
81,82,,Julián Etulain,68,38.8,440,1134
82,83,,Sung Kang,104,38.78,712,1836
83,84,,Steven Bowditch,59,38.69,383,990
84,T85,,David Hearn,93,38.56,590,1530
85,T85,,Spencer Levin,89,38.56,590,1530
86,87,,Fabián Gómez,61,38.51,409,1062
87,T88,,Mark Anderson,54,38.46,360,936
88,T88,,Ernie Els,52,38.46,360,936
89,90,,Troy Merritt,82,38.45,526,1368
