,Total_1_Putts_-_20-25_RANK THIS WEEK,Total_1_Putts_-_20-25_RANK LAST WEEK,Total_1_Putts_-_20-25_PLAYER NAME,Total_1_Putts_-_20-25_ROUNDS,Total_1_Putts_-_20-25_TOTAL,Total_1_Putts_-_20-25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_20-25_PCT OF ALL 1-PUTTS
0,1,,Zac Blair,105,25,583,4.3
1,2,,Billy Horschel,88,24,483,5.0
2,3,,Mackenzie Hughes,106,23,680,3.4
3,T4,,Stewart Cink,93,22,555,4.0
4,T4,,Russell Henley,99,22,574,3.8
5,T6,,James Hahn,96,21,554,3.8
6,T6,,Kevin Na,86,21,456,4.6
7,T8,,Chad Campbell,97,20,545,3.7
8,T8,,Rickie Fowler,78,20,467,4.3
9,T8,,Patton Kizzire,84,20,512,3.9
10,T11,,Morgan Hoffmann,92,19,606,3.1
11,T11,,Zach Johnson,81,19,487,3.9
12,T11,,Peter Malnati,91,19,559,3.4
13,T11,,Jordan Spieth,85,19,483,3.9
14,T11,,Kevin Streelman,90,19,529,3.6
15,T16,,Wesley Bryan,95,18,588,3.1
16,T16,,Sung Kang,104,18,581,3.1
17,T16,,Martin Laird,83,18,486,3.7
18,T16,,Bryce Molder,74,18,469,3.8
19,T16,,Vaughn Taylor,90,18,547,3.3
20,T21,,Ryan Blaum,100,17,597,2.8
21,T21,,Tony Finau,106,17,627,2.7
22,T21,,Grayson Murray,94,17,617,2.8
23,T21,,C.T. Pan,88,17,503,3.4
24,T25,,Graham DeLaet,82,16,457,3.5
25,T25,,John Huh,92,16,539,3.0
26,T25,,David Lingmerth,79,16,508,3.1
27,T25,,Chez Reavie,98,16,566,2.8
28,T25,,Kyle Reifers,96,16,472,3.4
29,T25,,Patrick Rodgers,76,16,442,3.6
30,T25,,Sam Saunders,76,16,464,3.4
31,T25,,Brendan Steele,89,16,460,3.5
32,T25,,Nick Taylor,97,16,562,2.8
33,T25,,Kevin Tway,96,16,545,2.9
34,T25,,Nick Watney,75,16,416,3.8
35,T36,,Blayne Barber,77,15,482,3.1
36,T36,,Jason Bohn,75,15,410,3.7
37,T36,,Brian Harman,104,15,632,2.4
38,T36,,Whee Kim,74,15,439,3.4
39,T36,,Michael Kim,94,15,610,2.5
40,T36,,Jason Kokrak,95,15,511,2.9
41,T36,,Graeme McDowell,56,15,373,4.0
42,T36,,Phil Mickelson,85,15,516,2.9
43,T36,,Patrick Reed,107,15,620,2.4
44,T36,,Webb Simpson,102,15,588,2.6
45,T36,,Harold Varner III,101,15,569,2.6
46,T36,,Boo Weekley,75,15,372,4.0
47,T48,,Ricky Barnes,100,14,563,2.5
48,T48,,Keegan Bradley,104,14,601,2.3
49,T48,,Scott Brown,95,14,567,2.5
50,T48,,Patrick Cantlay,52,14,317,4.4
