,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,,Seamus Power,86,45.17,187,414
1,2,,Vaughn Taylor,90,44.91,194,432
2,3,,Brian Campbell,55,43.83,142,324
3,4,,Cameron Tringale,89,43.8,205,468
4,5,,Gonzalo Fernandez-Castaño,63,43.61,157,360
5,6,,Jonas Blixt,74,43.29,187,432
6,T7,,Aaron Baddeley,61,43.27,148,342
7,T7,,Tim Wilkinson,64,43.27,148,342
8,9,,Sam Saunders,76,42.93,170,396
9,10,,Phil Mickelson,85,42.86,162,378
10,11,,Michael Kim,94,42.8,208,486
11,12,,Steve Wheatcroft,51,42.71,123,288
12,13,,Greg Chalmers,75,42.52,199,468
13,14,,Graeme McDowell,56,42.48,130,306
14,15,,David Lingmerth,79,42.42,168,396
15,16,,Jason Day,71,42.28,137,324
16,17,,John Huh,92,42.18,205,486
17,18,,Charles Howell III,86,42.17,167,396
18,19,,Luke Donald,50,42.16,129,306
19,20,,Chad Collins,66,42.13,182,432
20,21,,Morgan Hoffmann,92,42.06,212,504
21,22,,Nicholas Lindheim,58,41.94,151,360
22,23,,Rickie Fowler,78,41.67,150,360
23,T24,,Billy Hurley III,80,41.56,187,450
24,T24,,Cameron Smith,86,41.56,187,450
25,26,,Ryan Blaum,100,41.47,209,504
26,27,,Anirban Lahiri,72,41.41,164,396
27,28,,Tag Ridings,67,41.36,134,324
28,29,,Patton Kizzire,84,41.24,193,468
29,30,,Robert Streb,98,41.19,215,522
30,31,,Daniel Summerhays,100,41.15,200,486
31,32,,Kevin Streelman,90,41.11,185,450
32,33,,Carl Pettersson,63,40.97,177,432
33,34,,Webb Simpson,102,40.95,199,486
34,35,,Scott Brown,95,40.87,206,504
35,36,,Camilo Villegas,76,40.74,176,432
36,37,,Hunter Mahan,73,40.67,183,450
37,38,,Ian Poulter,72,40.64,139,342
38,39,,Ricky Barnes,100,40.61,212,522
39,T40,,Whee Kim,74,40.6,190,468
40,T40,,Bryce Molder,74,40.6,190,468
41,42,,Peter Malnati,91,40.53,197,486
42,43,,Shawn Stefani,72,40.51,175,432
43,T44,,Zac Blair,105,40.37,218,540
44,T44,,Tom Hoge,54,40.37,109,270
45,T46,,Byeong Hun An,77,40.28,145,360
46,T46,,Daniel Berger,91,40.28,174,432
47,48,,Seung-Yul Noh,91,40.23,210,522
48,T49,,Retief Goosen,52,40.2,123,306
49,T49,,Charl Schwartzel,63,40.2,123,306
50,51,,Brooks Koepka,88,40.15,159,396
51,52,,Sung Kang,104,40.14,224,558
52,53,,David Hearn,93,40.12,195,486
53,T54,,Mark Hubbard,81,40.0,180,450
54,T54,,Ryo Ishikawa,56,40.0,144,360
55,T56,,Dominic Bozzelli,69,39.86,165,414
56,T56,,Paul Casey,94,39.86,165,414
57,T56,,K.J. Choi,72,39.86,165,414
58,T56,,Justin Thomas,86,39.86,165,414
59,60,,Pat Perez,93,39.81,172,432
60,61,,Michael Thompson,60,39.77,136,342
61,62,,Nick Watney,75,39.68,150,378
62,63,,Chad Campbell,97,39.66,207,522
63,64,,Jon Rahm,90,39.65,157,396
64,65,,Sebastián Muñoz,51,39.58,114,288
65,66,,Russell Henley,99,39.53,185,468
66,T67,,Ben Crane,86,39.35,170,432
67,T67,,Brian Gay,82,39.35,170,432
68,69,,Derek Fathauer,81,39.33,177,450
69,70,,Mackenzie Hughes,106,39.26,212,540
70,71,,Louis Oosthuizen,69,39.24,113,288
71,72,,Jonathan Randolph,68,39.17,141,360
72,T73,,Robert Garrigus,78,39.12,169,432
73,T73,,Brandon Hagy,85,39.12,169,432
74,T73,,Kevin Na,86,39.12,169,432
75,T73,,Richy Werenski,81,39.12,169,432
76,77,,Xander Schauffele,96,39.09,190,486
77,T78,,Steven Alker,69,38.89,147,378
78,T78,,Alex Cejka,85,38.89,182,468
79,T78,,Ken Duke,77,38.89,168,432
80,T78,,Fabián Gómez,61,38.89,140,360
81,T78,,Andres Gonzales,73,38.89,154,396
82,T78,,Brian Harman,104,38.89,203,522
83,T78,,J.B. Holmes,83,38.89,147,378
84,T78,,Sean O'Hair,84,38.89,175,450
85,T78,,Chris Stroud,67,38.89,140,360
86,87,,Matt Every,76,38.69,195,504
87,T88,,Jamie Lovemark,98,38.68,188,486
88,T88,,Trey Mullinax,88,38.68,181,468
89,T88,,Ollie Schniederjans,92,38.68,181,468
90,T91,,Blayne Barber,77,38.65,160,414
91,T91,,Ryan Moore,82,38.65,160,414
92,93,,Jordan Spieth,85,38.62,146,378
93,94,,Jimmy Walker,68,38.61,139,360
94,95,,Charley Hoffman,112,38.52,208,540
95,96,,Steven Bowditch,59,38.44,173,450
96,97,,Marc Leishman,94,38.43,166,432
97,T98,,Ernie Els,52,38.33,138,360
98,T98,,Julián Etulain,68,38.33,138,360
99,T100,,Danny Lee,93,38.31,200,522
100,T100,,Spencer Levin,89,38.31,200,522
101,102,,Matt Jones,64,38.27,124,324
102,T103,,Stewart Cink,93,38.25,179,468
103,T103,,J.T. Poston,95,38.25,179,468
104,105,,Geoff Ogilvy,80,38.16,158,414
105,106,,Tyrone Van Aswegen,105,38.15,206,540
106,107,,Rory Sabbatini,71,38.1,144,378
107,T108,,Wesley Bryan,95,38.07,185,486
108,T108,,Patrick Reed,107,38.07,185,486
109,110,,Brett Stegmaier,78,38.03,178,468
110,111,,Chez Reavie,98,37.86,184,486
111,112,,Dustin Johnson,77,37.72,129,342
112,113,,Chris Kirk,89,37.61,176,468
113,114,,Patrick Cantlay,52,37.5,81,216
114,T115,,Si Woo Kim,80,37.45,182,486
115,T115,,Hudson Swafford,94,37.45,182,486
116,117,,Søren Kjeldsen,58,37.41,101,270
117,118,,Brian Stuard,93,37.36,195,522
118,119,,Kelly Kraft,75,37.33,168,450
119,120,,Nick Taylor,97,37.3,188,504
120,121,,Roberto Castro,70,37.27,161,432
121,122,,Rory McIlroy,51,37.18,87,234
122,123,,Ben Martin,86,37.11,167,450
123,124,,Adam Hadwin,98,37.1,187,504
124,T125,,Rafa Cabrera Bello,63,37.04,120,324
125,T125,,Rick Lamb,54,37.04,120,324
126,T125,,Harold Varner III,101,37.04,200,540
127,T128,,Patrick Rodgers,76,36.97,173,468
128,T128,,J.J. Spaun,92,36.97,173,468
129,T130,,Andrew Loupe,55,36.94,133,360
130,T130,,Hideki Matsuyama,83,36.94,133,360
131,T132,,Tony Finau,106,36.9,186,504
132,T132,,James Hahn,96,36.9,186,504
133,T132,,Grayson Murray,94,36.9,186,504
134,T132,,Brandt Snedeker,53,36.9,93,252
135,136,,Jason Dufner,89,36.87,146,396
136,137,,Jason Kokrak,95,36.71,185,504
137,138,,Kevin Tway,96,36.67,165,450
138,139,,D.A. Points,68,36.62,145,396
139,140,,Mark Anderson,54,36.55,125,342
140,T141,,Jim Herman,77,36.34,157,432
141,T141,,Johnson Wagner,71,36.34,157,432
142,143,,Kyle Stanley,104,36.31,183,504
143,144,,Shane Lowry,52,36.3,98,270
144,145,,Scott Piercy,70,36.24,137,378
145,T146,,Martin Flores,88,36.22,163,450
146,T146,,Matt Kuchar,95,36.22,163,450
147,T148,,Keegan Bradley,104,36.11,182,504
148,T148,,Kevin Kisner,105,36.11,169,468
149,T148,,Troy Merritt,82,36.11,169,468
150,T148,,Adam Scott,58,36.11,104,288
151,152,,Bud Cauley,92,36.01,175,486
152,153,,Justin Rose,66,35.95,110,306
153,154,,Bryson DeChambeau,91,35.93,194,540
154,155,,C.T. Pan,88,35.91,181,504
155,156,,Bill Haas,92,35.88,155,432
156,157,,Francesco Molinari,75,35.83,129,360
157,158,,Graham DeLaet,82,35.75,148,414
158,159,,Rod Pampling,71,35.61,141,396
159,160,,William McGirt,89,35.47,166,468
160,161,,Smylie Kaufman,76,35.42,153,432
161,162,,Bubba Watson,71,35.28,127,360
162,163,,Cody Gribble,79,35.19,171,486
163,164,,Jason Bohn,75,35.04,164,468
164,165,,Cameron Percy,71,35.0,126,360
165,166,,Kevin Chappell,95,34.89,157,450
166,167,,Brad Fritsch,56,34.64,106,306
167,T168,,Ryan Brehm,83,34.54,143,414
168,T168,,Brendan Steele,89,34.54,143,414
169,T170,,Miguel Angel Carballo,63,34.44,124,360
170,T170,,Kyle Reifers,96,34.44,186,540
171,172,,Jhonattan Vegas,95,34.36,167,486
172,T173,,Zach Johnson,81,34.34,136,396
173,T173,,Russell Knox,75,34.34,136,396
174,175,,Luke List,102,34.07,184,540
175,T176,,Harris English,84,34.0,153,450
176,T176,,Scott Stallings,81,34.0,153,450
177,178,,Jim Furyk,54,33.99,104,306
178,179,,Branden Grace,70,33.95,110,324
179,180,,Ryan Armour,63,33.92,116,342
180,181,,Boo Weekley,75,33.78,152,450
181,T182,,Brett Drewitt,57,33.33,108,324
182,T182,,Sergio Garcia,65,33.33,96,288
183,T184,,Lucas Glover,93,33.11,149,450
184,T184,,Martin Laird,83,33.11,149,450
185,T186,,Emiliano Grillo,90,33.1,143,432
186,T186,,Gary Woodland,94,33.1,143,432
187,188,,Billy Horschel,88,32.3,157,486
188,189,,Ryan Palmer,61,31.48,102,324
189,190,,J.J. Henry,92,31.28,152,486
