,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,,Nick Watney,75,"95' 7""",Canadian Open,1,16
1,2,,Robert Streb,98,"94' 8""",Wells Fargo,2,8
2,3,,Billy Hurley III,80,"85' 1""",Wells Fargo,4,9
3,4,,Kyle Reifers,96,"79' 8""",Barbasol Champ,3,11
4,5,,Kevin Chappell,95,"78' 5""",WGC-Mexico,1,15
5,6,,David Lingmerth,79,"77' 5""",PGA Championshi,2,11
6,7,,Cameron Percy,71,"73' 10""",Barbasol Champ,2,13
7,8,,Brett Stegmaier,78,"72' 8""",RBC Heritage,2,10
8,9,,Billy Horschel,88,"72' 6""",BMW Champ,3,12
9,10,,Andy Sullivan,25,"71' 5""",Shell Houston,4,10
10,11,,John Huh,92,"71' 4""",Phoenix Open,3,6
11,12,,Kevin Tway,96,"71' 0""",NORTHERN TRUST,2,7
12,13,,Luke List,102,"70' 7""",RBC Heritage,2,10
13,14,,"Ted Potter, Jr.",6,"70' 7""",The Greenbrier,4,18
14,15,,Vaughn Taylor,90,"69' 10""",Wyndham Champ,2,15
15,16,,Marc Leishman,94,"69' 10""",Dell Tech Champ,2,5
16,17,,Robert Garrigus,78,"69' 5""",The Greenbrier,2,4
17,18,,J.J. Spaun,92,"69' 3""",Phoenix Open,4,5
18,19,,Harris English,84,"68' 11""",Byron Nelson,1,17
19,20,,Lucas Glover,93,"68' 5""",Shriners Hosp.,4,2
20,21,,Zac Blair,105,"67' 9""",Shell Houston,1,9
21,22,,Martin Laird,83,"67' 9""",Dell Tech Champ,2,8
22,23,,William McGirt,89,"67' 6""",Dell Tech Champ,4,17
23,24,,Camilo Villegas,76,"66' 10""",Phoenix Open,3,14
24,25,,Brooks Koepka,88,"65' 9""",Dell Tech Champ,2,11
25,26,,Seung-Yul Noh,91,"65' 8""",Honda Classic,2,6
26,27,,Robby Shelton,26,"65' 5""",Texas Open,4,13
27,28,,Kelly Kraft,75,"64' 11""",RBC Heritage,2,4
28,29,,Chad Collins,66,"64' 9""",RBC Heritage,2,10
29,30,,Webb Simpson,102,"64' 4""",Genesis Open,4,14
30,31,,Patrick Reed,107,"64' 1""",Byron Nelson,1,17
31,32,,Ryo Ishikawa,56,"63' 8""",the Memorial,2,9
32,33,,Nicholas Lindheim,58,"63' 1""",Byron Nelson,3,18
33,34,,Kevin Na,86,"62' 7""",Dell Tech Champ,4,14
34,35,,Bryson DeChambeau,91,"62' 6""",Shriners Hosp.,3,17
35,36,,Steven Bowditch,59,"62' 5""",Arnold Palmer,1,14
36,37,,Peter Malnati,91,"62' 1""",Sony Open,2,16
37,38,,Alex Cejka,85,"62' 0""",Wells Fargo,1,10
38,39,,Ken Duke,77,"61' 9""",Texas Open,3,6
39,40,,Spencer Levin,89,"61' 5""",Shell Houston,1,11
40,41,,Sung Kang,104,"61' 1""",Farmers Ins.,2,14
41,42,,Bill Haas,92,"60' 10""",Safeway Open,1,7
42,43,,Brian Stuard,93,"60' 9""",the Memorial,3,17
43,44,,John Merrick,26,"60' 8""",John Deere,1,7
44,45,,Scott Stallings,81,"60' 6""",DEAN & DELUCA,3,9
45,46,,Patrick Rodgers,76,"60' 5""",Genesis Open,3,12
46,47,,Jason Day,71,"60' 1""",Byron Nelson,3,17
47,48,,Justin Thomas,86,"60' 0""",NORTHERN TRUST,2,7
48,49,,Shane Bertsch,22,"59' 9""",The Greenbrier,1,13
49,50,,Alex Noren,41,"59' 8""",Arnold Palmer,3,17
50,51,,"Rich Berberian, Jr.",18,"59' 8""",Shell Houston,1,4
51,52,,Tony Finau,106,"59' 6""",Sony Open,1,8
52,53,,Morgan Hoffmann,92,"59' 6""",DEAN & DELUCA,2,16
53,54,,Xander Schauffele,96,"59' 6""",The Greenbrier,3,12
54,55,,John Senden,40,"59' 4""",Farmers Ins.,2,3
55,56,,Hideki Matsuyama,83,"58' 11""",Farmers Ins.,3,13
56,57,,Matt Jones,64,"58' 11""",Wyndham Champ,2,10
57,58,,Bobby Gates,11,"58' 10""",John Deere,1,15
58,59,,Cameron Tringale,89,"58' 8""",Barbasol Champ,1,9
59,60,,Seamus Power,86,"58' 6""",Sony Open,2,4
60,61,,Emiliano Grillo,90,"58' 6""",Wyndham Champ,1,15
61,62,,Louis Oosthuizen,69,"58' 5""",Honda Classic,2,5
62,63,,Jeunghun Wang,31,"58' 5""",Arnold Palmer,2,1
63,64,,Martin Flores,88,"58' 2""",John Deere,2,18
64,65,,Shane Lowry,52,"58' 1""",RBC Heritage,1,18
65,66,,Mark Anderson,54,"58' 1""",The Greenbrier,1,13
66,67,,Sean O'Hair,84,"58' 1""",NORTHERN TRUST,1,7
67,68,,Vijay Singh,48,"57' 10""",PGA Championshi,3,6
68,69,,Bob Estes,37,"57' 4""",Texas Open,2,13
69,70,,Paul Casey,94,"57' 2""",WGC-Mexico,3,2
70,71,,Steve Wheatcroft,51,"57' 1""",AT&T Pebble,1,5
71,72,,Mackenzie Hughes,106,"56' 9""",Shell Houston,3,2
72,73,,Shawn Stefani,72,"56' 9""",Travelers Champ,1,10
73,74,,Greg Chalmers,75,"56' 8""",Honda Classic,2,17
74,75,,J.B. Holmes,83,"56' 8""",Shell Houston,2,10
75,76,,Ben Crane,86,"56' 8""",John Deere,2,11
76,77,,Ernie Els,52,"56' 6""",Byron Nelson,4,7
77,78,,Daniel Berger,91,"56' 6""",John Deere,4,18
78,79,,Brandon Hagy,85,"56' 5""",Quicken Loans,3,17
79,80,,Tyrone Van Aswegen,105,"56' 5""",Wyndham Champ,3,15
80,81,,Bryce Molder,74,"56' 3""",Sony Open,2,6
81,82,,Tyrrell Hatton,41,"56' 3""",WGC-Mexico,1,9
82,83,,Ryan Palmer,61,"56' 1""",Texas Open,3,6
83,84,,Adam Hadwin,98,"56' 0""",RBC Heritage,2,15
84,85,,Bernhard Langer,4,"56' 0""",THE PLAYERS,1,15
85,86,,Troy Matteson,10,"56' 0""",John Deere,1,12
86,87,,Fabián Gómez,61,"55' 9""",Arnold Palmer,3,12
87,88,,Robert Allenby,12,"55' 9""",Barbasol Champ,2,16
88,89,,Charles Howell III,86,"55' 8""",Farmers Ins.,3,14
89,90,,Matt Every,76,"55' 7""",Byron Nelson,1,3
90,91,,Russell Henley,99,"55' 6""",TOUR Champ,2,7
91,92,,Jim Herman,77,"55' 5""",the Memorial,4,10
92,93,,Jonas Blixt,74,"55' 4""",DEAN & DELUCA,1,9
93,94,,Kyle Stanley,104,"55' 3""",Shell Houston,1,16
94,95,,Beau Hossler,25,"54' 11""",DEAN & DELUCA,1,14
95,96,,Wesley McClain,7,"54' 3""",Texas Open,1,3
96,97,,David Hearn,93,"54' 3""",The Greenbrier,2,14
97,98,,Michael Kim,94,"54' 2""",THE PLAYERS,4,8
