,Putts_Made_Per_Event_Over_10_RANK THIS WEEK,Putts_Made_Per_Event_Over_10_RANK LAST WEEK,Putts_Made_Per_Event_Over_10_PLAYER NAME,Putts_Made_Per_Event_Over_10_ROUNDS,Putts_Made_Per_Event_Over_10_PUTTS MADE
0,1,,Rickie Fowler,78,7.6
1,2,,Jason Dufner,89,7.0
2,3,,Graeme McDowell,56,6.9
3,T4,,Russell Henley,99,6.8
4,T4,,Brooks Koepka,88,6.8
5,6,,Patrick Cantlay,52,6.7
6,7,,Justin Thomas,86,6.6
7,T8,,Stewart Cink,93,6.5
8,T8,,Adam Scott,58,6.5
9,T10,,Sergio Garcia,65,6.4
10,T10,,Emiliano Grillo,90,6.4
11,T10,,Mackenzie Hughes,106,6.4
12,T13,,Kevin Na,86,6.3
13,T13,,Pat Perez,93,6.3
14,T13,,Jon Rahm,90,6.3
15,T13,,Justin Rose,66,6.3
16,T17,,Paul Casey,94,6.2
17,T17,,Marc Leishman,94,6.2
18,T17,,Jordan Spieth,85,6.2
19,T20,,Daniel Berger,91,6.1
20,T20,,Adam Hadwin,98,6.1
21,T20,,Kyle Stanley,104,6.1
22,T23,,Brian Harman,104,6.0
23,T23,,Zach Johnson,81,6.0
24,T25,,Wesley Bryan,95,5.9
25,T25,,Jason Day,71,5.9
26,T25,,Kevin Kisner,105,5.9
27,T25,,Shane Lowry,52,5.9
28,T25,,Phil Mickelson,85,5.9
29,T30,,Billy Horschel,88,5.8
30,T30,,Francesco Molinari,75,5.8
31,T30,,Louis Oosthuizen,69,5.8
32,T30,,Chez Reavie,98,5.8
33,T30,,Patrick Reed,107,5.8
34,T30,,Vaughn Taylor,90,5.8
35,T36,,Blayne Barber,77,5.7
36,T36,,Zac Blair,105,5.7
37,T36,,Keegan Bradley,104,5.7
38,T36,,Graham DeLaet,82,5.7
39,T36,,Matt Kuchar,95,5.7
40,T36,,David Lingmerth,79,5.7
41,T36,,Sean O'Hair,84,5.7
42,T36,,Xander Schauffele,96,5.7
43,T44,,Lucas Glover,93,5.6
44,T44,,Sebastián Muñoz,51,5.6
45,T44,,Webb Simpson,102,5.6
46,T47,,Ryan Blaum,100,5.5
47,T47,,Tony Finau,106,5.5
48,T47,,J.B. Holmes,83,5.5
49,T47,,Charl Schwartzel,63,5.5
50,T47,,Brendan Steele,89,5.5
51,T52,,Martin Flores,88,5.4
52,T52,,Cody Gribble,79,5.4
53,T52,,Billy Hurley III,80,5.4
54,T52,,Ryan Moore,82,5.4
55,T52,,Tag Ridings,67,5.4
56,T52,,Michael Thompson,60,5.4
57,T58,,Byeong Hun An,77,5.3
58,T58,,Rafa Cabrera Bello,63,5.3
59,T58,,Luke Donald,50,5.3
60,T58,,Brian Gay,82,5.3
61,T58,,Charley Hoffman,112,5.3
62,T58,,Sung Kang,104,5.3
63,T58,,Michael Kim,94,5.3
64,T58,,Danny Lee,93,5.3
65,T58,,Ollie Schniederjans,92,5.3
66,T58,,Brandt Snedeker,53,5.3
67,T58,,Nick Watney,75,5.3
68,T58,,Bubba Watson,71,5.3
69,T58,,Steve Wheatcroft,51,5.3
70,T58,,Gary Woodland,94,5.3
71,T72,,Charles Howell III,86,5.2
72,T72,,John Huh,92,5.2
73,T72,,Nicholas Lindheim,58,5.2
74,T72,,Kevin Streelman,90,5.2
75,T72,,Harold Varner III,101,5.2
76,T72,,Camilo Villegas,76,5.2
77,T78,,Ben Crane,86,5.1
78,T78,,Morgan Hoffmann,92,5.1
79,T78,,Dustin Johnson,77,5.1
80,T78,,Søren Kjeldsen,58,5.1
81,T78,,Martin Laird,83,5.1
82,T78,,Rory McIlroy,51,5.1
83,T84,,Harris English,84,5.0
84,T84,,Andres Gonzales,73,5.0
85,T84,,Brandon Hagy,85,5.0
86,T84,,Chris Kirk,89,5.0
87,T84,,Jamie Lovemark,98,5.0
88,T84,,Peter Malnati,91,5.0
89,T84,,Seung-Yul Noh,91,5.0
90,T84,,Seamus Power,86,5.0
91,T84,,Nick Taylor,97,5.0
92,T84,,Jimmy Walker,68,5.0
93,T94,,Tom Hoge,54,4.9
94,T94,,Matt Jones,64,4.9
95,T94,,Whee Kim,74,4.9
96,T94,,Russell Knox,75,4.9
97,T94,,Ben Martin,86,4.9
98,T94,,Grayson Murray,94,4.9
99,T94,,Robert Streb,98,4.9
100,T101,,Scott Brown,95,4.8
101,T101,,Jim Furyk,54,4.8
102,T101,,Bill Haas,92,4.8
103,T101,,James Hahn,96,4.8
104,T101,,D.A. Points,68,4.8
105,T101,,Sam Saunders,76,4.8
106,T101,,J.J. Spaun,92,4.8
107,T101,,Daniel Summerhays,100,4.8
108,T101,,Hudson Swafford,94,4.8
