,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,,Justin Thomas,86,1.699,1544,909,37.09,40
1,2,,Jordan Spieth,85,1.702,1586,932,35.84,4
2,T3,,Jason Day,71,1.7180000000000002,1266,737,35.74,T133
3,T3,,Rickie Fowler,78,1.7180000000000002,1491,868,34.76,50
4,T3,,Brooks Koepka,88,1.7180000000000002,1464,852,36.59,169
5,6,,Anirban Lahiri,72,1.73,1422,822,34.23,148
6,T7,,Whee Kim,74,1.734,1318,760,30.52,T172
7,T7,,Graeme McDowell,56,1.734,1054,608,32.07,167
8,T7,,Phil Mickelson,85,1.734,1569,905,33.04,160
9,10,,David Lingmerth,79,1.736,1394,803,31.59,161
10,T11,,Brian Harman,104,1.7369999999999999,1897,1092,31.13,151
11,T11,,Cameron Smith,86,1.7369999999999999,1619,932,32.94,155
12,13,,Chris Kirk,89,1.74,1735,997,30.02,61
13,14,,Jonas Blixt,74,1.7409999999999999,1349,775,31.09,180
14,15,,Camilo Villegas,76,1.743,1398,802,32.88,177
15,T16,,J.T. Poston,95,1.744,1753,1005,31.77,94
16,T16,,Patrick Reed,107,1.744,1871,1073,31.59,T172
17,T18,,Zach Johnson,81,1.746,1472,843,30.12,131
18,T18,,Hideki Matsuyama,83,1.746,1564,896,34.0,14
19,T18,,Grayson Murray,94,1.746,1809,1036,32.36,135
20,T21,,Wesley Bryan,95,1.7469999999999999,1705,976,30.26,183
21,T21,,Cody Gribble,79,1.7469999999999999,1518,869,30.99,164
22,T21,,Adam Hadwin,98,1.7469999999999999,1918,1098,31.42,116
23,T24,,Brian Gay,82,1.7480000000000002,1559,892,28.48,T145
24,T24,,Dustin Johnson,77,1.7480000000000002,1489,852,32.51,9
25,T24,,Carl Pettersson,63,1.7480000000000002,1075,615,29.41,188
26,T27,,Brian Campbell,55,1.75,1017,581,29.83,T149
27,T27,,Luke Donald,50,1.75,936,535,27.72,176
28,T29,,Matt Every,76,1.751,1327,758,32.93,184
29,T29,,Tom Hoge,54,1.751,958,547,31.74,T80
30,T29,,Danny Lee,93,1.751,1854,1059,30.97,77
31,T29,,Sam Saunders,76,1.751,1439,822,32.28,109
32,T33,,Russell Henley,99,1.7519999999999998,1974,1127,30.4,41
33,T33,,Pat Perez,93,1.7519999999999998,1833,1046,31.26,82
34,35,,Peter Malnati,91,1.7530000000000001,1676,956,29.63,168
35,T36,,Chez Reavie,98,1.754,1922,1096,29.12,54
36,T36,,Chris Stroud,67,1.754,1233,703,30.39,T72
37,T38,,Aaron Baddeley,61,1.755,1127,642,29.8,166
38,T38,,Daniel Berger,91,1.755,1776,1012,31.32,T52
39,T38,,Søren Kjeldsen,58,1.755,960,547,28.7,174
40,T38,,Brandt Snedeker,53,1.755,960,547,31.26,T80
41,T42,,Patrick Cantlay,52,1.756,1050,598,29.65,13
42,T42,,Marc Leishman,94,1.756,1832,1043,30.38,T37
43,T42,,Trey Mullinax,88,1.756,1633,930,31.32,71
44,T45,,Greg Chalmers,75,1.757,1344,765,28.87,185
45,T45,,Jason Dufner,89,1.757,1699,967,31.74,46
46,T45,,Derek Fathauer,81,1.757,1490,848,31.09,162
47,T48,,Jon Rahm,90,1.758,1763,1003,32.67,19
48,T48,,Webb Simpson,102,1.758,1962,1116,30.34,T107
49,T50,,Ryan Blaum,100,1.7590000000000001,1984,1128,29.96,106
50,T50,,Xander Schauffele,96,1.7590000000000001,1887,1073,31.37,28
51,T50,,Vaughn Taylor,90,1.7590000000000001,1773,1008,30.19,T62
52,T53,,Scott Brown,95,1.76,1855,1054,29.75,129
53,T53,,Kevin Na,86,1.76,1617,919,30.57,104
54,T53,,Tim Wilkinson,64,1.76,1176,668,28.87,T133
55,T56,,Charley Hoffman,112,1.761,2180,1238,31.85,76
56,T56,,Martin Laird,83,1.761,1643,933,28.99,99
57,T56,,Seamus Power,86,1.761,1664,945,30.47,98
58,T56,,Tag Ridings,67,1.761,1233,700,31.33,T87
59,T60,,Blayne Barber,77,1.7619999999999998,1522,864,30.44,31
60,T60,,Ricky Barnes,100,1.7619999999999998,1854,1052,28.83,T145
61,T60,,Stewart Cink,93,1.7619999999999998,1935,1098,30.81,22
62,T63,,Tony Finau,106,1.764,2277,1291,32.12,17
63,T63,,Robert Garrigus,78,1.764,1589,901,31.15,10
64,T63,,J.B. Holmes,83,1.764,1422,806,32.21,171
65,T63,,Ryan Moore,82,1.764,1632,925,30.15,T113
66,T63,,Seung-Yul Noh,91,1.764,1812,1027,30.15,101
67,T63,,Charl Schwartzel,63,1.764,1136,644,31.83,179
