,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,,Shane Lowry,52,90.32,599,541
1,2,,Brian Harman,104,89.96,1454,1308
2,3,,Michael Thompson,60,89.78,773,694
3,4,,Cameron Smith,86,89.54,1291,1156
4,5,,Rafa Cabrera Bello,63,89.51,753,674
5,6,,Patrick Reed,107,89.31,1450,1295
6,7,,Brian Gay,82,89.27,1239,1106
7,8,,Luke Donald,50,89.18,767,684
8,9,,Ryan Blaum,100,89.17,1478,1318
9,10,,David Lingmerth,79,89.12,1167,1040
10,11,,Kevin Kisner,105,89.07,1308,1165
11,12,,Hunter Mahan,73,89.03,1085,966
12,13,,Spencer Levin,89,88.94,1239,1102
13,14,,Geoff Ogilvy,80,88.93,1220,1085
14,15,,Xander Schauffele,96,88.91,1262,1122
15,16,,Charles Howell III,86,88.9,1252,1113
16,17,,Chez Reavie,98,88.87,1420,1262
17,18,,Harris English,84,88.86,1221,1085
18,19,,Brandt Snedeker,53,88.79,687,610
19,20,,Steve Wheatcroft,51,88.76,712,632
20,21,,J.T. Poston,95,88.67,1315,1166
21,22,,Louis Oosthuizen,69,88.64,863,765
22,23,,Bryce Molder,74,88.61,1168,1035
23,24,,Marc Leishman,94,88.59,1245,1103
24,25,,Greg Chalmers,75,88.58,1243,1101
25,26,,Scott Brown,95,88.57,1426,1263
26,27,,Zach Johnson,81,88.53,1160,1027
27,28,,Brandon Hagy,85,88.52,1254,1110
28,29,,Richy Werenski,81,88.5,1122,993
29,30,,Jason Bohn,75,88.44,1142,1010
30,T31,,Mackenzie Hughes,106,88.41,1725,1525
31,T31,,Seamus Power,86,88.41,1242,1098
32,33,,Ernie Els,52,88.39,603,533
33,34,,Daniel Summerhays,100,88.38,1437,1270
34,35,,Gonzalo Fernandez-Castaño,63,88.36,799,706
35,T36,,Blayne Barber,77,88.34,1201,1061
36,T36,,Ian Poulter,72,88.34,1021,902
37,38,,Derek Fathauer,81,88.33,1174,1037
38,39,,Brian Campbell,55,88.32,745,658
39,40,,Phil Mickelson,85,88.31,1257,1110
40,41,,Adam Hadwin,98,88.3,1359,1200
41,T42,,Chad Collins,66,88.28,998,881
42,T42,,Peter Malnati,91,88.28,1323,1168
43,44,,Matt Jones,64,88.27,929,820
44,45,,Kevin Tway,96,88.24,1377,1215
45,46,,John Huh,92,88.18,1387,1223
46,47,,Russell Henley,99,88.17,1471,1297
47,48,,Hudson Swafford,94,88.16,1410,1243
48,49,,Andres Gonzales,73,88.15,1038,915
49,50,,William McGirt,89,88.14,1273,1122
50,51,,Michael Kim,94,88.11,1547,1363
51,52,,Jim Herman,77,88.09,1226,1080
52,53,,J.J. Spaun,92,88.08,1325,1167
53,54,,Billy Hurley III,80,88.06,1256,1106
54,55,,David Hearn,93,88.03,1320,1162
55,56,,Whee Kim,74,88.02,1035,911
56,57,,Webb Simpson,102,88.01,1460,1285
57,58,,Rickie Fowler,78,88.0,1058,931
58,T59,,Ryan Moore,82,87.99,1199,1055
59,T59,,Shawn Stefani,72,87.99,1107,974
60,61,,Stewart Cink,93,87.97,1388,1221
61,62,,Seung-Yul Noh,91,87.95,1361,1197
62,63,,Martin Laird,83,87.94,1244,1094
63,64,,Billy Horschel,88,87.93,1417,1246
64,65,,Danny Lee,93,87.92,1383,1216
65,66,,Graham DeLaet,82,87.9,1289,1133
66,67,,Patrick Cantlay,52,87.89,842,740
67,68,,Ricky Barnes,100,87.86,1433,1259
