,Putting_from_-_20-25_RANK THIS WEEK,Putting_from_-_20-25_RANK LAST WEEK,Putting_from_-_20-25_PLAYER NAME,Putting_from_-_20-25_ROUNDS,Putting_from_-_20-25_% MADE,Putting_from_-_20-25_ATTEMPTS,Putting_from_-_20-25_PUTTS MADE
0,1,,Graeme McDowell,56,23.53,68,16
1,2,,Rickie Fowler,78,22.47,89,20
2,3,,Jordan Spieth,85,22.35,85,19
3,4,,Kevin Na,86,21.57,102,22
4,5,,Zac Blair,105,20.97,124,26
5,6,,Brooks Koepka,88,20.0,65,13
6,7,,Peter Malnati,91,19.63,107,21
7,8,,Patton Kizzire,84,19.42,103,20
8,9,,Phil Mickelson,85,19.23,78,15
9,10,,Brandt Snedeker,53,18.97,58,11
10,T11,,David Lingmerth,79,18.18,88,16
11,T11,,Sebastián Muñoz,51,18.18,66,12
12,13,,Zach Johnson,81,18.1,105,19
13,14,,James Hahn,96,17.95,117,21
14,15,,Michael Thompson,60,17.81,73,13
15,16,,Adam Scott,58,17.74,62,11
16,17,,Patrick Cantlay,52,17.72,79,14
17,18,,Stewart Cink,93,17.6,125,22
18,19,,Bryce Molder,74,17.31,104,18
19,20,,Wesley Bryan,95,16.98,106,18
20,21,,Sam Saunders,76,16.84,95,16
21,T22,,Jim Furyk,54,16.67,66,11
22,T22,,Mackenzie Hughes,106,16.67,138,23
23,T22,,D.A. Points,68,16.67,84,14
24,25,,Russell Henley,99,16.54,133,22
25,26,,Morgan Hoffmann,92,16.52,115,19
26,27,,Daniel Berger,91,16.46,79,13
27,28,,Vaughn Taylor,90,16.38,116,19
28,29,,Jimmy Walker,68,16.18,68,11
29,30,,Justin Rose,66,15.79,76,12
30,31,,Rory Sabbatini,71,15.66,83,13
31,32,,Billy Hurley III,80,15.58,77,12
32,T33,,Brian Gay,82,15.56,90,14
33,T33,,Camilo Villegas,76,15.56,90,14
34,35,,Kevin Tway,96,15.53,103,16
35,T36,,Cody Gribble,79,15.38,91,14
36,T36,,Kyle Reifers,96,15.38,104,16
37,38,,Blayne Barber,77,15.31,98,15
38,39,,Martin Laird,83,15.25,118,18
39,T40,,Roberto Castro,70,15.09,53,8
40,T40,,Graham DeLaet,82,15.09,106,16
41,T42,,Steven Bowditch,59,15.0,60,9
42,T42,,Chad Campbell,97,15.0,140,21
43,44,,Brandon Hagy,85,14.94,87,13
44,T45,,Jason Dufner,89,14.89,94,14
45,T45,,Hideki Matsuyama,83,14.89,94,14
46,47,,Jason Bohn,75,14.85,101,15
47,48,,J.B. Holmes,83,14.75,61,9
48,49,,Whee Kim,74,14.71,102,15
49,50,,Nick Watney,75,14.68,109,16
50,51,,Chez Reavie,98,14.66,116,17
51,52,,Seamus Power,86,14.63,82,12
52,53,,Billy Horschel,88,14.55,165,24
53,54,,Kevin Streelman,90,14.5,131,19
54,T55,,Jason Day,71,14.49,69,10
55,T55,,Si Woo Kim,80,14.49,69,10
56,T57,,Johnson Wagner,71,14.42,104,15
57,T57,,Boo Weekley,75,14.42,104,15
58,T59,,Anirban Lahiri,72,14.29,91,13
59,T59,,Patrick Rodgers,76,14.29,112,16
60,61,,John Huh,92,14.16,113,16
61,62,,Kevin Kisner,105,14.15,106,15
62,63,,Jonas Blixt,74,14.08,71,10
63,64,,Sung Kang,104,14.06,128,18
64,65,,Grayson Murray,94,13.93,122,17
65,T66,,Tony Finau,106,13.82,123,17
66,T66,,C.T. Pan,88,13.82,123,17
67,T68,,Ryan Armour,63,13.7,73,10
68,T68,,Justin Thomas,86,13.7,73,10
69,70,,Gonzalo Fernandez-Castaño,63,13.56,59,8
70,71,,Louis Oosthuizen,69,13.51,74,10
71,T72,,Ernie Els,52,13.33,45,6
72,T72,,Brendan Steele,89,13.33,120,16
73,74,,Ryan Blaum,100,13.28,128,17
74,T75,,Cameron Percy,71,13.16,76,10
75,T75,,Webb Simpson,102,13.16,114,15
76,77,,Emiliano Grillo,90,13.13,99,13
77,78,,Patrick Reed,107,13.04,115,15
78,79,,Luke Donald,50,12.9,62,8
79,80,,Rod Pampling,71,12.84,109,14
80,81,,Byeong Hun An,77,12.82,78,10
81,82,,Xander Schauffele,96,12.62,103,13
82,T83,,Brian Harman,104,12.61,119,15
83,T83,,Seung-Yul Noh,91,12.61,111,14
84,T83,,Robert Streb,98,12.61,111,14
85,T86,,Matt Every,76,12.5,88,11
86,T86,,Tim Wilkinson,64,12.5,64,8
87,88,,Ricky Barnes,100,12.39,113,14
88,89,,Kelly Kraft,75,12.37,97,12
89,90,,Brett Stegmaier,78,12.36,89,11
90,91,,Steven Alker,69,12.33,73,9
91,92,,Branden Grace,70,12.28,57,7
92,93,,Nick Taylor,97,12.23,139,17
93,94,,Andres Gonzales,73,12.22,90,11
94,95,,Kevin Chappell,95,12.2,82,10
95,96,,Dustin Johnson,77,12.05,83,10
96,97,,Adam Hadwin,98,12.04,108,13
97,98,,Marc Leishman,94,11.97,117,14
98,T99,,Sergio Garcia,65,11.94,67,8
99,T99,,Matt Jones,64,11.94,67,8
100,101,,Jason Kokrak,95,11.9,126,15
101,102,,Carl Pettersson,63,11.84,76,9
102,T103,,Pat Perez,93,11.76,102,12
103,T103,,J.J. Spaun,92,11.76,119,14
104,T103,,Bubba Watson,71,11.76,68,8
105,T103,,Steve Wheatcroft,51,11.76,51,6
106,107,,Harold Varner III,101,11.72,128,15
107,108,,J.T. Poston,95,11.67,120,14
108,109,,Michael Kim,94,11.63,129,15
109,110,,Nicholas Lindheim,58,11.59,69,8
110,111,,Troy Merritt,82,11.58,95,11
111,112,,Keegan Bradley,104,11.57,121,14
