,Putting_from_15-25_RANK THIS WEEK,Putting_from_15-25_RANK LAST WEEK,Putting_from_15-25_PLAYER NAME,Putting_from_15-25_ROUNDS,Putting_from_15-25_% MADE,Putting_from_15-25_ATTEMPTS,Putting_from_15-25_PUTTS MADE
0,1,,Graeme McDowell,56,26.21,145,38
1,2,,Kevin Na,86,23.94,213,51
2,3,,Jordan Spieth,85,22.16,194,43
3,4,,Rickie Fowler,78,21.61,199,43
4,5,,Zac Blair,105,21.43,280,60
5,6,,Billy Hurley III,80,21.4,229,49
6,7,,Zach Johnson,81,21.28,235,50
7,8,,Brooks Koepka,88,21.23,179,38
8,9,,Russell Henley,99,21.14,298,63
9,10,,Nicholas Lindheim,58,21.12,161,34
10,11,,Jonas Blixt,74,21.08,166,35
11,12,,Chez Reavie,98,20.8,274,57
12,13,,Rory Sabbatini,71,20.63,189,39
13,14,,Mackenzie Hughes,106,20.54,331,68
14,15,,Whee Kim,74,20.09,214,43
15,16,,Sebastián Muñoz,51,20.0,140,28
16,17,,Graham DeLaet,82,19.92,241,48
17,18,,Peter Malnati,91,19.83,237,47
18,19,,Justin Thomas,86,19.8,202,40
19,20,,Wesley Bryan,95,19.75,238,47
20,21,,Matt Jones,64,19.53,169,33
21,22,,Blayne Barber,77,19.48,231,45
22,23,,Pat Perez,93,19.37,222,43
23,24,,Cody Gribble,79,19.33,238,46
24,25,,David Lingmerth,79,19.27,218,42
25,T26,,James Hahn,96,19.17,266,51
26,T26,,Camilo Villegas,76,19.17,193,37
27,28,,Stewart Cink,93,19.08,283,54
28,29,,Morgan Hoffmann,92,19.01,242,46
29,30,,Patrick Cantlay,52,18.9,164,31
30,31,,Martin Laird,83,18.83,239,45
31,32,,Tag Ridings,67,18.82,186,35
32,33,,Steven Bowditch,59,18.71,139,26
33,34,,Trey Mullinax,88,18.67,225,42
34,35,,Luke Donald,50,18.62,145,27
35,36,,Adam Hadwin,98,18.5,254,47
36,37,,Cameron Percy,71,18.46,195,36
37,38,,Brian Gay,82,18.26,219,40
38,39,,Carl Pettersson,63,18.24,159,29
39,T40,,Brian Campbell,55,18.18,143,26
40,T40,,Webb Simpson,102,18.18,275,50
41,T40,,Michael Thompson,60,18.18,165,30
42,43,,Daniel Berger,91,18.13,193,35
43,44,,Robert Streb,98,18.05,266,48
44,45,,Sam Saunders,76,17.79,208,37
45,T46,,J.B. Holmes,83,17.78,180,32
46,T46,,Brandt Snedeker,53,17.78,135,24
47,48,,Ernie Els,52,17.71,96,17
48,49,,Seamus Power,86,17.7,209,37
49,50,,Seung-Yul Noh,91,17.67,249,44
50,51,,Johnson Wagner,71,17.65,221,39
51,52,,Lucas Glover,93,17.61,301,53
52,53,,Gonzalo Fernandez-Castaño,63,17.57,148,26
53,T54,,Billy Horschel,88,17.5,320,56
54,T54,,Sung Kang,104,17.5,280,49
55,56,,Søren Kjeldsen,58,17.46,126,22
56,57,,C.T. Pan,88,17.36,265,46
57,58,,Scott Brown,95,17.34,271,47
58,59,,Ryo Ishikawa,56,17.33,150,26
59,60,,Harold Varner III,101,17.3,318,55
60,61,,Bubba Watson,71,17.26,168,29
61,62,,Nick Taylor,97,17.22,302,52
62,63,,Dominic Bozzelli,69,17.2,186,32
63,64,,Aaron Baddeley,61,17.18,163,28
64,65,,Andres Gonzales,73,17.09,199,34
65,66,,Jason Dufner,89,17.08,240,41
66,67,,Harris English,84,17.06,211,36
67,68,,Steve Wheatcroft,51,17.05,129,22
68,69,,Sergio Garcia,65,17.02,141,24
69,T70,,Grayson Murray,94,17.0,300,51
70,T70,,Cameron Tringale,89,17.0,200,34
71,72,,Mark Anderson,54,16.91,136,23
72,73,,Patton Kizzire,84,16.82,220,37
73,74,,Emiliano Grillo,90,16.81,226,38
74,75,,Adam Scott,58,16.78,143,24
75,T76,,Cameron Smith,86,16.74,227,38
76,T76,,Scott Stallings,81,16.74,239,40
77,78,,Danny Lee,93,16.73,263,44
