,Average_Putting_Distance_-_GIR_1_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_1_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_1_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_1_Putts_ROUNDS,Average_Putting_Distance_-_GIR_1_Putts_AVG,Average_Putting_Distance_-_GIR_1_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_1_Putts_TOTAL PUTTS
0,T1,,Zac Blair,105,"13' 5""",3093.167,231
1,T1,,Michael Thompson,60,"13' 5""",1647.6670000000001,123
2,3,,Steve Wheatcroft,51,"12' 11""",1489.1670000000001,115
3,4,,Steven Bowditch,59,"12' 7""",1158.75,92
4,T5,,Billy Horschel,88,"12' 6""",2834.75,227
5,T5,,Kyle Reifers,96,"12' 6""",2330.75,186
6,T7,,Blayne Barber,77,"12' 2""",2796.833,230
7,T7,,Mark Hubbard,81,"12' 2""",1871.25,154
8,9,,Cody Gribble,79,"12' 0""",2604.667,217
9,T10,,Russell Henley,99,"11' 11""",3337.5,280
10,T10,,Nick Watney,75,"11' 11""",2084.667,175
11,T12,,Bryce Molder,74,"11' 10""",2021.9170000000001,171
12,T12,,Patrick Rodgers,76,"11' 10""",2098.25,177
13,14,,Jim Furyk,54,"11' 9""",1278.0,109
14,T15,,Graham DeLaet,82,"11' 8""",2491.917,213
15,T15,,John Huh,92,"11' 8""",2500.083,214
16,T15,,Billy Hurley III,80,"11' 8""",2529.333,217
17,T15,,Nicholas Lindheim,58,"11' 8""",1613.1670000000001,138
18,T19,,Martin Flores,88,"11' 7""",2275.0,196
19,T19,,Peter Malnati,91,"11' 7""",2724.417,236
20,T21,,Louis Oosthuizen,69,"11' 6""",1643.4170000000001,143
21,T21,,Tag Ridings,67,"11' 6""",1876.5829999999999,163
22,T21,,Camilo Villegas,76,"11' 6""",2283.917,199
23,T24,,Ryan Armour,63,"11' 5""",1659.3329999999999,145
24,T24,,Emiliano Grillo,90,"11' 5""",2129.75,186
25,T24,,Mackenzie Hughes,106,"11' 5""",3417.25,299
26,T24,,J.J. Spaun,92,"11' 5""",2324.25,204
27,T28,,Jonas Blixt,74,"11' 4""",2025.4170000000001,179
28,T28,,Stewart Cink,93,"11' 4""",3006.667,265
29,T28,,Ben Crane,86,"11' 4""",2261.0,200
30,T28,,Whee Kim,74,"11' 4""",1958.75,173
31,T28,,Shane Lowry,52,"11' 4""",1300.5,115
32,T28,,Graeme McDowell,56,"11' 4""",1838.75,162
33,T28,,Sebastián Muñoz,51,"11' 4""",1453.4170000000001,128
34,T28,,D.A. Points,68,"11' 4""",1890.3329999999999,167
35,T28,,Johnson Wagner,71,"11' 4""",1878.3329999999999,166
36,T37,,Kevin Na,86,"11' 3""",2449.833,218
37,T37,,Xander Schauffele,96,"11' 3""",2615.25,232
38,T37,,Brett Stegmaier,78,"11' 3""",1793.6670000000001,160
39,T40,,Brett Drewitt,57,"11' 2""",1359.75,122
40,T40,,Kevin Kisner,105,"11' 2""",2578.833,231
41,T40,,Geoff Ogilvy,80,"11' 2""",1994.25,179
42,T40,,Shawn Stefani,72,"11' 2""",1894.75,170
