,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,,Jimmy Walker,68,1.456,1703,1170
1,2,,Brandt Snedeker,53,1.4569999999999999,1311,900
2,3,,Ernie Els,52,1.463,1369,936
3,4,,Whee Kim,74,1.475,1912,1296
4,5,,David Lingmerth,79,1.4809999999999999,1999,1350
5,6,,Rickie Fowler,78,1.49,2039,1368
6,7,,Justin Thomas,86,1.492,2122,1422
7,T8,,Rafa Cabrera Bello,63,1.494,1613,1080
8,T8,,Brooks Koepka,88,1.494,2152,1440
9,T8,,Jordan Spieth,85,1.494,2097,1404
10,11,,Zach Johnson,81,1.5019999999999998,2082,1386
11,T12,,Jim Furyk,54,1.5030000000000001,1380,918
12,T12,,Louis Oosthuizen,69,1.5030000000000001,1677,1116
13,14,,Jonathan Randolph,68,1.504,1705,1134
14,15,,Shane Lowry,52,1.507,1329,882
15,16,,Brian Harman,104,1.5090000000000001,2717,1800
16,T17,,Harris English,84,1.511,2067,1368
17,T17,,Graeme McDowell,56,1.511,1523,1008
18,T17,,Patrick Reed,107,1.511,2720,1800
19,20,,Adam Hadwin,98,1.515,2672,1764
20,T21,,Jason Day,71,1.52,1806,1188
21,T21,,J.B. Holmes,83,1.52,2079,1368
22,T21,,Webb Simpson,102,1.52,2709,1782
23,24,,Kevin Na,86,1.5219999999999998,2246,1476
24,T25,,Hideki Matsuyama,83,1.524,2085,1368
25,T25,,Chez Reavie,98,1.524,2606,1710
26,T27,,Matt Kuchar,95,1.525,2526,1656
27,T27,,Rory McIlroy,51,1.525,1318,864
28,T29,,Sergio Garcia,65,1.527,1704,1116
29,T29,,Branden Grace,70,1.527,1732,1134
30,T29,,Marc Leishman,94,1.527,2474,1620
31,T32,,Wesley Bryan,95,1.528,2503,1638
32,T32,,Charl Schwartzel,63,1.528,1650,1080
33,34,,Martin Laird,83,1.5290000000000001,2285,1494
34,35,,Si Woo Kim,80,1.5319999999999998,2068,1350
35,36,,Trey Mullinax,88,1.5330000000000001,2262,1476
36,37,,Kevin Kisner,105,1.534,2706,1764
37,38,,Jamie Lovemark,98,1.537,2656,1728
38,39,,Bill Haas,92,1.54,2356,1530
39,T40,,Paul Casey,94,1.541,2496,1620
40,T40,,Daniel Summerhays,100,1.541,2607,1692
41,42,,Russell Henley,99,1.544,2696,1746
42,43,,Xander Schauffele,96,1.546,2561,1656
43,44,,Stewart Cink,93,1.548,2591,1674
44,45,,Charley Hoffman,112,1.551,3016,1944
45,T46,,Ryan Brehm,83,1.556,2157,1386
46,T46,,Brendan Steele,89,1.556,2352,1512
47,48,,Pat Perez,93,1.557,2522,1620
48,49,,Kevin Chappell,95,1.558,2524,1620
49,50,,Daniel Berger,91,1.5590000000000002,2413,1548
50,T51,,Troy Merritt,82,1.5619999999999998,2137,1368
51,T51,,Francesco Molinari,75,1.5619999999999998,2024,1296
52,T51,,Jon Rahm,90,1.5619999999999998,2334,1494
53,54,,J.T. Poston,95,1.5630000000000002,2447,1566
54,55,,Jonas Blixt,74,1.564,1971,1260
