,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,,Brian Stuard,93,8.64,243,21
1,2,,Cody Gribble,79,8.61,302,26
2,T3,,Jason Day,71,8.54,199,17
3,T3,,Steve Wheatcroft,51,8.54,164,14
4,5,,Blayne Barber,77,8.06,273,22
5,6,,Jordan Spieth,85,7.97,251,20
6,T7,,Peter Malnati,91,7.86,280,22
7,T7,,Xander Schauffele,96,7.86,318,25
8,9,,Jonas Blixt,74,7.76,232,18
9,10,,Brandt Snedeker,53,7.69,130,10
10,11,,Zac Blair,105,7.51,333,25
11,12,,Sebastián Muñoz,51,7.5,160,12
12,13,,Brooks Koepka,88,7.47,241,18
13,14,,Tom Hoge,54,7.41,135,10
14,15,,Justin Rose,66,7.37,217,16
15,16,,Rory McIlroy,51,7.3,137,10
16,17,,Camilo Villegas,76,7.2,236,17
17,18,,Michael Thompson,60,7.11,197,14
18,19,,Jon Rahm,90,6.77,266,18
19,20,,Justin Thomas,86,6.7,209,14
20,21,,Kevin Kisner,105,6.67,300,20
21,22,,Mark Hubbard,81,6.64,256,17
22,23,,Sean O'Hair,84,6.57,289,19
23,24,,Steven Bowditch,59,6.51,169,11
24,25,,D.A. Points,68,6.49,231,15
25,26,,K.J. Choi,72,6.44,202,13
26,27,,Tony Finau,106,6.43,389,25
27,28,,Kevin Na,86,6.41,234,15
28,29,,Brian Gay,82,6.39,266,17
29,30,,Russell Knox,75,6.37,204,13
30,31,,Dustin Johnson,77,6.36,220,14
31,32,,Danny Lee,93,6.32,285,18
32,33,,Vaughn Taylor,90,6.27,287,18
33,34,,Brad Fritsch,56,6.25,160,10
34,T35,,Ricky Barnes,100,6.21,290,18
35,T35,,Stewart Cink,93,6.21,338,21
36,T35,,Brett Drewitt,57,6.21,161,10
37,38,,Alex Cejka,85,6.18,259,16
38,T39,,Daniel Berger,91,6.16,276,17
39,T39,,Shane Lowry,52,6.16,146,9
40,41,,Patrick Rodgers,76,6.13,310,19
41,42,,Geoff Ogilvy,80,6.12,294,18
42,T43,,Russell Henley,99,6.11,360,22
43,T43,,Rick Lamb,54,6.11,131,8
44,45,,Luke List,102,6.08,378,23
45,T46,,David Hearn,93,6.05,281,17
46,T46,,Francesco Molinari,75,6.05,215,13
47,48,,Greg Chalmers,75,6.04,265,16
48,49,,Kyle Reifers,96,5.99,334,20
49,50,,Louis Oosthuizen,69,5.96,218,13
50,51,,Spencer Levin,89,5.94,286,17
51,52,,Seung-Yul Noh,91,5.92,287,17
52,53,,Billy Hurley III,80,5.88,289,17
53,T54,,Tag Ridings,67,5.82,189,11
54,T54,,Kevin Tway,96,5.82,292,17
55,T56,,Bryce Molder,74,5.81,258,15
56,T56,,Shawn Stefani,72,5.81,258,15
57,T58,,Robert Garrigus,78,5.8,224,13
58,T58,,Charles Howell III,86,5.8,293,17
59,T60,,Patrick Cantlay,52,5.79,190,11
60,T60,,Rory Sabbatini,71,5.79,190,11
61,62,,Scott Piercy,70,5.75,174,10
62,T63,,Morgan Hoffmann,92,5.73,349,20
63,T63,,Daniel Summerhays,100,5.73,314,18
64,65,,Ben Crane,86,5.72,297,17
65,T66,,Mackenzie Hughes,106,5.67,423,24
66,T66,,Graeme McDowell,56,5.67,194,11
67,68,,Adam Scott,58,5.66,159,9
68,69,,Ryan Brehm,83,5.65,248,14
69,T70,,Andres Gonzales,73,5.6,250,14
70,T70,,Sung Kang,104,5.6,339,19
71,72,,Chris Stroud,67,5.59,179,10
72,73,,Ryan Armour,63,5.58,215,12
73,74,,Smylie Kaufman,76,5.51,236,13
74,75,,Fabián Gómez,61,5.47,201,11
75,76,,Nick Watney,75,5.45,257,14
76,77,,Sam Saunders,76,5.43,221,12
77,78,,Adam Hadwin,98,5.38,279,15
78,T79,,John Huh,92,5.36,317,17
79,T79,,Nicholas Lindheim,58,5.36,168,9
80,81,,Kyle Stanley,104,5.35,374,20
81,82,,Marc Leishman,94,5.34,281,15
82,83,,J.B. Holmes,83,5.32,188,10
83,84,,Pat Perez,93,5.3,321,17
84,T85,,Bryson DeChambeau,91,5.28,284,15
85,T85,,Brian Harman,104,5.28,303,16
86,87,,Ian Poulter,72,5.26,209,11
87,T88,,David Lingmerth,79,5.2,250,13
88,T88,,Seamus Power,86,5.2,269,14
89,90,,Chez Reavie,98,5.18,309,16
90,91,,Bubba Watson,71,5.15,194,10
91,92,,Paul Casey,94,5.13,273,14
92,93,,Keegan Bradley,104,5.1,353,18
93,94,,Rickie Fowler,78,5.08,236,12
94,T95,,Chad Campbell,97,5.04,377,19
95,T95,,Lucas Glover,93,5.04,357,18
96,T95,,Chris Kirk,89,5.04,278,14
97,98,,Matt Every,76,5.03,199,10
98,T99,,Wesley Bryan,95,5.02,259,13
99,T99,,Harris English,84,5.02,299,15
100,T101,,Scott Brown,95,5.0,320,16
101,T101,,Martin Flores,88,5.0,320,16
102,T101,,Jimmy Walker,68,5.0,180,9
103,T104,,Matt Kuchar,95,4.97,302,15
104,T104,,Tim Wilkinson,64,4.97,181,9
105,106,,Billy Horschel,88,4.96,363,18
106,107,,Jim Furyk,54,4.94,162,8
107,108,,Gary Woodland,94,4.93,284,14
108,109,,Cameron Smith,86,4.91,265,13
109,T110,,Emiliano Grillo,90,4.9,245,12
110,T110,,Zach Johnson,81,4.9,245,12
111,T112,,Rafa Cabrera Bello,63,4.88,164,8
112,T112,,Matt Jones,64,4.88,205,10
113,114,,Julián Etulain,68,4.86,185,9
114,115,,Gonzalo Fernandez-Castaño,63,4.85,165,8
115,T116,,Patrick Reed,107,4.84,289,14
116,T116,,Boo Weekley,75,4.84,248,12
117,T118,,Martin Laird,83,4.83,269,13
118,T118,,Tyrone Van Aswegen,105,4.83,331,16
119,120,,Johnson Wagner,71,4.78,230,11
120,T121,,Aaron Baddeley,61,4.76,168,8
121,T121,,Troy Merritt,82,4.76,252,12
122,T123,,Dominic Bozzelli,69,4.64,194,9
123,T123,,Brian Campbell,55,4.64,151,7
124,T123,,Ben Martin,86,4.64,280,13
125,T123,,Carl Pettersson,63,4.64,194,9
126,127,,Whee Kim,74,4.59,218,10
127,128,,Jason Dufner,89,4.55,264,12
128,129,,Jamie Lovemark,98,4.53,309,14
129,T130,,Graham DeLaet,82,4.51,355,16
130,T130,,Phil Mickelson,85,4.51,266,12
131,132,,Luke Donald,50,4.49,178,8
132,133,,Bill Haas,92,4.45,292,13
133,134,,Miguel Angel Carballo,63,4.44,180,8
134,T135,,Søren Kjeldsen,58,4.42,113,5
135,T135,,Ryan Moore,82,4.42,249,11
136,137,,Brendan Steele,89,4.35,276,12
137,138,,J.J. Spaun,92,4.32,301,13
138,139,,Cameron Tringale,89,4.23,284,12
139,140,,Robert Streb,98,4.18,359,15
140,141,,Ernie Els,52,4.13,121,5
141,T142,,Kevin Chappell,95,4.07,270,11
142,T142,,Derek Fathauer,81,4.07,246,10
143,T142,,Patton Kizzire,84,4.07,295,12
144,T142,,Richy Werenski,81,4.07,246,10
145,146,,Jhonattan Vegas,95,4.0,300,12
146,147,,Ken Duke,77,3.98,226,9
147,148,,Jason Kokrak,95,3.97,353,14
148,149,,Hideki Matsuyama,83,3.92,204,8
149,150,,Byeong Hun An,77,3.9,205,8
150,151,,Webb Simpson,102,3.88,309,12
151,152,,Hunter Mahan,73,3.87,284,11
152,T153,,Trey Mullinax,88,3.82,262,10
153,T153,,Grayson Murray,94,3.82,288,11
154,155,,Brandon Hagy,85,3.81,289,11
155,156,,Retief Goosen,52,3.8,158,6
156,157,,Sergio Garcia,65,3.77,159,6
157,T158,,Roberto Castro,70,3.74,214,8
158,T158,,Anirban Lahiri,72,3.74,187,7
159,160,,Jason Bohn,75,3.72,242,9
160,161,,Harold Varner III,101,3.69,352,13
161,162,,Andrew Loupe,55,3.68,190,7
162,T163,,Ryan Blaum,100,3.65,329,12
163,T163,,Jim Herman,77,3.65,301,11
164,165,,Hudson Swafford,94,3.58,335,12
165,166,,Mark Anderson,54,3.55,169,6
166,167,,Charl Schwartzel,63,3.53,170,6
167,168,,Scott Stallings,81,3.52,284,10
168,169,,Si Woo Kim,80,3.38,207,7
169,170,,Charley Hoffman,112,3.34,359,12
170,T171,,Ollie Schniederjans,92,3.33,330,11
171,T171,,Nick Taylor,97,3.33,360,12
172,T173,,Brett Stegmaier,78,3.32,241,8
173,T173,,Kevin Streelman,90,3.32,301,10
174,175,,Jonathan Randolph,68,3.31,181,6
175,176,,Michael Kim,94,3.21,343,11
176,T177,,Kelly Kraft,75,2.93,239,7
177,T177,,William McGirt,89,2.93,307,9
178,179,,Ryo Ishikawa,56,2.88,139,4
179,180,,J.T. Poston,95,2.82,248,7
180,181,,Bud Cauley,92,2.8,321,9
181,182,,C.T. Pan,88,2.66,338,9
182,183,,J.J. Henry,92,2.63,380,10
183,184,,Rod Pampling,71,2.62,267,7
184,185,,Branden Grace,70,2.31,173,4
185,186,,James Hahn,96,2.28,351,8
186,187,,Ryan Palmer,61,2.25,178,4
187,T188,,Steven Alker,69,2.07,193,4
188,T188,,Chad Collins,66,2.07,193,4
189,190,,Cameron Percy,71,2.03,246,5
