,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,T1,,Zac Blair,105,27,583,4.6
1,T1,,Tony Finau,106,27,627,4.3
2,T1,,Cody Gribble,79,27,501,5.4
3,T1,,Xander Schauffele,96,27,510,5.3
4,5,,Mackenzie Hughes,106,25,680,3.7
5,6,,Luke List,102,24,566,4.2
6,7,,Peter Malnati,91,23,559,4.1
7,T8,,Blayne Barber,77,22,482,4.6
8,T8,,Russell Henley,99,22,574,3.8
9,T8,,Morgan Hoffmann,92,22,606,3.6
10,T8,,Brooks Koepka,88,22,500,4.4
11,T8,,Brian Stuard,93,22,480,4.6
12,T13,,Ricky Barnes,100,21,563,3.7
13,T13,,Chad Campbell,97,21,545,3.9
14,T13,,Stewart Cink,93,21,555,3.8
15,T13,,Pat Perez,93,21,521,4.0
16,T13,,Jon Rahm,90,21,466,4.5
17,T13,,Kyle Reifers,96,21,472,4.4
18,T13,,Jordan Spieth,85,21,483,4.3
19,T13,,Kyle Stanley,104,21,636,3.3
20,T21,,Billy Horschel,88,20,483,4.1
21,T21,,Billy Hurley III,80,20,500,4.0
22,T21,,Kevin Kisner,105,20,535,3.7
23,T24,,Jonas Blixt,74,19,462,4.1
24,T24,,Keegan Bradley,104,19,601,3.2
25,T24,,Lucas Glover,93,19,561,3.4
26,T24,,Sung Kang,104,19,581,3.3
27,T24,,Spencer Levin,89,19,471,4.0
28,T24,,Sean O'Hair,84,19,480,4.0
29,T24,,Patrick Rodgers,76,19,442,4.3
30,T24,,Vaughn Taylor,90,19,547,3.5
31,T24,,Kevin Tway,96,19,545,3.5
32,T33,,Daniel Berger,91,18,487,3.7
33,T33,,Ryan Brehm,83,18,407,4.4
34,T33,,Alex Cejka,85,18,423,4.3
35,T33,,David Hearn,93,18,503,3.6
36,T33,,Charles Howell III,86,18,469,3.8
37,T33,,John Huh,92,18,539,3.3
38,T33,,Matt Kuchar,95,18,531,3.4
39,T33,,Danny Lee,93,18,561,3.2
40,T33,,Geoff Ogilvy,80,18,454,4.0
41,T33,,Chez Reavie,98,18,566,3.2
