,3-Putt_Avoidance_-_5-10_RANK THIS WEEK,3-Putt_Avoidance_-_5-10_RANK LAST WEEK,3-Putt_Avoidance_-_5-10_PLAYER NAME,3-Putt_Avoidance_-_5-10_ROUNDS,3-Putt_Avoidance_-_5-10_%,3-Putt_Avoidance_-_5-10_TOTAL 3 PUTTS,3-Putt_Avoidance_-_5-10_ATTEMPTS,3-Putt_Avoidance_-_5-10_2 PUTT OR BETTER %
0,T1,,Steven Alker,69,0.0,,166,100.0
1,T1,,Ryan Armour,63,0.0,,187,100.0
2,T1,,Aaron Baddeley,61,0.0,,176,100.0
3,T1,,Ricky Barnes,100,0.0,,308,100.0
4,T1,,Jason Bohn,75,0.0,,205,100.0
5,T1,,Dominic Bozzelli,69,0.0,,210,100.0
6,T1,,Keegan Bradley,104,0.0,,301,100.0
7,T1,,Rafa Cabrera Bello,63,0.0,,146,100.0
8,T1,,Brian Campbell,55,0.0,,146,100.0
9,T1,,Miguel Angel Carballo,63,0.0,,160,100.0
10,T1,,Paul Casey,94,0.0,,231,100.0
11,T1,,Alex Cejka,85,0.0,,195,100.0
12,T1,,Greg Chalmers,75,0.0,,253,100.0
13,T1,,K.J. Choi,72,0.0,,202,100.0
14,T1,,Stewart Cink,93,0.0,,242,100.0
15,T1,,Jason Day,71,0.0,,212,100.0
16,T1,,Luke Donald,50,0.0,,134,100.0
17,T1,,Harris English,84,0.0,,234,100.0
18,T1,,Julián Etulain,68,0.0,,193,100.0
19,T1,,Derek Fathauer,81,0.0,,226,100.0
20,T1,,Tony Finau,106,0.0,,335,100.0
21,T1,,Brad Fritsch,56,0.0,,151,100.0
22,T1,,Brian Gay,82,0.0,,239,100.0
23,T1,,Lucas Glover,93,0.0,,283,100.0
24,T1,,Retief Goosen,52,0.0,,158,100.0
25,T1,,Branden Grace,70,0.0,,154,100.0
26,T1,,David Hearn,93,0.0,,252,100.0
27,T1,,J.J. Henry,92,0.0,,228,100.0
28,T1,,Mark Hubbard,81,0.0,,195,100.0
29,T1,,John Huh,92,0.0,,262,100.0
30,T1,,Billy Hurley III,80,0.0,,243,100.0
31,T1,,Ryo Ishikawa,56,0.0,,158,100.0
32,T1,,Zach Johnson,81,0.0,,224,100.0
33,T1,,Dustin Johnson,77,0.0,,212,100.0
34,T1,,Matt Jones,64,0.0,,181,100.0
35,T1,,Smylie Kaufman,76,0.0,,222,100.0
36,T1,,Whee Kim,74,0.0,,189,100.0
37,T1,,Kevin Kisner,105,0.0,,256,100.0
38,T1,,Søren Kjeldsen,58,0.0,,123,100.0
39,T1,,Kelly Kraft,75,0.0,,244,100.0
40,T1,,Matt Kuchar,95,0.0,,269,100.0
41,T1,,Rick Lamb,54,0.0,,133,100.0
42,T1,,Danny Lee,93,0.0,,267,100.0
43,T1,,Spencer Levin,89,0.0,,229,100.0
44,T1,,David Lingmerth,79,0.0,,239,100.0
45,T1,,Andrew Loupe,55,0.0,,169,100.0
46,T1,,Jamie Lovemark,98,0.0,,266,100.0
47,T1,,Shane Lowry,52,0.0,,99,100.0
48,T1,,Ben Martin,86,0.0,,251,100.0
49,T1,,Graeme McDowell,56,0.0,,178,100.0
50,T1,,Troy Merritt,82,0.0,,256,100.0
51,T1,,Phil Mickelson,85,0.0,,237,100.0
52,T1,,Ryan Moore,82,0.0,,216,100.0
53,T1,,Seung-Yul Noh,91,0.0,,252,100.0
54,T1,,Louis Oosthuizen,69,0.0,,168,100.0
55,T1,,Ryan Palmer,61,0.0,,153,100.0
