,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
0,1,,K.J. Choi,72,1.82,33,6.0
1,2,,Rick Lamb,54,1.72,29,5.0
2,3,,Daniel Berger,91,1.58,57,9.0
3,T4,,Jason Day,71,1.56,45,7.0
4,T4,,Shawn Stefani,72,1.56,45,7.0
5,6,,Matt Kuchar,95,1.54,65,10.0
6,7,,Brooks Koepka,88,1.43,42,6.0
7,8,,Camilo Villegas,76,1.36,44,6.0
8,9,,Alex Cejka,85,1.35,52,7.0
9,10,,Cody Gribble,79,1.34,67,9.0
10,T11,,Steven Bowditch,59,1.25,32,4.0
11,T11,,Ryan Brehm,83,1.25,48,6.0
12,13,,Blayne Barber,77,1.22,49,6.0
13,T14,,Brad Fritsch,56,1.18,34,4.0
14,T14,,Chez Reavie,98,1.18,68,8.0
15,T14,,Chris Stroud,67,1.18,34,4.0
16,17,,Brian Stuard,93,1.16,43,5.0
17,T18,,Rafa Cabrera Bello,63,1.14,35,4.0
18,T18,,Jim Furyk,54,1.14,35,4.0
19,T20,,Jason Dufner,89,1.11,45,5.0
20,T20,,Spencer Levin,89,1.11,45,5.0
21,22,,Geoff Ogilvy,80,1.08,65,7.0
22,23,,Boo Weekley,75,1.07,56,6.0
23,T24,,Robert Garrigus,78,1.06,47,5.0
24,T24,,Troy Merritt,82,1.06,47,5.0
25,T26,,Sam Saunders,76,1.05,38,4.0
26,T26,,Adam Scott,58,1.05,19,2.0
27,28,,Kevin Kisner,105,1.04,67,7.0
28,T29,,Russell Knox,75,1.03,39,4.0
29,T29,,Brandt Snedeker,53,1.03,29,3.0
30,31,,Louis Oosthuizen,69,1.02,49,5.0
31,32,,Peter Malnati,91,1.0,60,6.0
32,T33,,Brian Harman,104,0.98,61,6.0
33,T33,,Carl Pettersson,63,0.98,41,4.0
34,35,,Phil Mickelson,85,0.96,52,5.0
35,T36,,Patrick Cantlay,52,0.95,42,4.0
36,T36,,Mark Hubbard,81,0.95,63,6.0
37,T36,,Kelly Kraft,75,0.95,42,4.0
38,T36,,Sean O'Hair,84,0.95,63,6.0
39,40,,Tom Hoge,54,0.94,32,3.0
40,T41,,Greg Chalmers,75,0.93,43,4.0
41,T41,,Martin Laird,83,0.93,43,4.0
42,T41,,Jon Rahm,90,0.93,43,4.0
43,44,,Lucas Glover,93,0.92,76,7.0
44,45,,Mark Anderson,54,0.91,33,3.0
45,T46,,Byeong Hun An,77,0.88,34,3.0
46,T46,,Steve Wheatcroft,51,0.88,34,3.0
47,48,,Ryan Armour,63,0.87,46,4.0
48,T49,,Tony Finau,106,0.86,81,7.0
49,T49,,Kevin Na,86,0.86,58,5.0
50,T51,,Zac Blair,105,0.85,59,5.0
51,T51,,Danny Lee,93,0.85,59,5.0
52,T53,,Jonas Blixt,74,0.83,48,4.0
53,T53,,Smylie Kaufman,76,0.83,60,5.0
54,T55,,Russell Henley,99,0.82,85,7.0
55,T55,,Nick Watney,75,0.82,49,4.0
56,T57,,Sung Kang,104,0.81,74,6.0
57,T57,,Jamie Lovemark,98,0.81,62,5.0
58,T59,,Mackenzie Hughes,106,0.79,76,6.0
59,T59,,Pat Perez,93,0.79,76,6.0
60,T61,,D.A. Points,68,0.78,51,4.0
61,T61,,J.J. Spaun,92,0.78,64,5.0
62,T63,,Steven Alker,69,0.77,39,3.0
63,T63,,Harris English,84,0.77,65,5.0
64,65,,Stewart Cink,93,0.76,66,5.0
65,T66,,Scott Piercy,70,0.75,40,3.0
66,T66,,Cameron Smith,86,0.75,53,4.0
67,T66,,Daniel Summerhays,100,0.75,80,6.0
68,T69,,Brett Drewitt,57,0.73,41,3.0
69,T69,,Fabián Gómez,61,0.73,41,3.0
70,T69,,Chris Kirk,89,0.73,55,4.0
71,72,,C.T. Pan,88,0.72,69,5.0
72,T73,,Ryo Ishikawa,56,0.71,28,2.0
