,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,,Steven Bowditch,59,"56' 2""",56.167,1,56.0,56
1,2,,Jonathan Randolph,68,"51' 6""",51.5,1,52.0,52
2,3,,Vaughn Taylor,90,"38' 4""",76.583,2,70.0,7
3,4,,Emiliano Grillo,90,"37' 7""",75.167,2,59.0,17
4,5,,Patrick Rodgers,76,"36' 2""",36.167,1,36.0,36
5,6,,Sean O'Hair,84,"34' 11""",104.667,3,49.0,22
6,7,,Ben Crane,86,"33' 11""",101.75,3,52.0,12
7,8,,Tyrone Van Aswegen,105,"32' 3""",64.5,2,56.0,8
8,9,,Kevin Chappell,95,"31' 5""",94.25,3,78.0,4
9,10,,Tim Wilkinson,64,"31' 2""",62.25,2,48.0,15
10,11,,Blayne Barber,77,"30' 3""",121.083,4,54.0,14
11,12,,David Hearn,93,"29' 11""",89.75,3,51.0,1
12,13,,Rory McIlroy,51,"29' 1""",58.083,2,30.0,28
13,14,,Ernie Els,52,"28' 5""",85.25,3,57.0,14
14,15,,Marc Leishman,94,"28' 2""",140.917,5,55.0,5
15,16,,C.T. Pan,88,"27' 11""",83.667,3,35.0,24
16,17,,Chad Collins,66,"27' 7""",82.75,3,55.0,7
17,18,,Charles Howell III,86,"27' 4""",54.583,2,27.0,27
18,19,,Seung-Yul Noh,91,"27' 2""",135.75,5,43.0,4
19,20,,Graeme McDowell,56,"27' 0""",81.083,3,37.0,21
20,T21,,Cody Gribble,79,"25' 4""",126.75,5,41.0,7
21,T21,,Johnson Wagner,71,"25' 4""",50.667,2,29.0,22
22,23,,Xander Schauffele,96,"25' 0""",125.0,5,60.0,3
23,24,,Nick Watney,75,"24' 7""",147.417,6,96.0,7
24,25,,Jim Furyk,54,"24' 6""",48.917,2,32.0,17
25,26,,Justin Rose,66,"24' 3""",72.75,3,43.0,9
26,27,,Jim Herman,77,"24' 1""",72.167,3,37.0,6
27,T28,,Patrick Reed,107,"23' 5""",23.416999999999998,1,23.0,23
28,T28,,Jimmy Walker,68,"23' 5""",46.833,2,38.0,9
29,30,,Wesley Bryan,95,"23' 4""",186.333,8,43.0,4
30,31,,Francesco Molinari,75,"22' 6""",22.5,1,23.0,23
31,32,,Cameron Percy,71,"22' 2""",88.583,4,42.0,11
32,33,,Dustin Johnson,77,"21' 9""",174.083,8,50.0,4
33,34,,Si Woo Kim,80,"21' 7""",43.167,2,31.0,12
34,35,,Danny Lee,93,"21' 5""",64.167,3,33.0,7
35,36,,Rick Lamb,54,"21' 4""",42.667,2,24.0,18
36,37,,Patrick Cantlay,52,"21' 2""",105.667,5,36.0,6
37,38,,Carl Pettersson,63,"20' 10""",83.417,4,37.0,8
38,39,,Kyle Reifers,96,"20' 5""",122.5,6,42.0,5
39,40,,Boo Weekley,75,"20' 2""",40.25,2,33.0,8
40,T41,,Matt Kuchar,95,"19' 10""",99.25,5,32.0,11
41,T41,,Adam Scott,58,"19' 10""",39.667,2,22.0,18
42,43,,Camilo Villegas,76,"19' 7""",39.167,2,32.0,8
43,44,,Stewart Cink,93,"19' 0""",133.25,7,39.0,3
44,45,,Kyle Stanley,104,"18' 10""",207.0,11,50.0,3
45,46,,Brooks Koepka,88,"18' 9""",149.75,8,45.0,3
46,T47,,Anirban Lahiri,72,"18' 8""",93.333,5,32.0,5
47,T47,,Jon Rahm,90,"18' 8""",93.333,5,38.0,10
48,T47,,Jhonattan Vegas,95,"18' 8""",74.667,4,37.0,5
49,50,,Jordan Spieth,85,"18' 7""",55.833,3,36.0,9
50,51,,Michael Thompson,60,"18' 6""",74.083,4,48.0,6
51,52,,Charl Schwartzel,63,"18' 5""",73.667,4,43.0,9
52,53,,Aaron Baddeley,61,"18' 4""",18.333,1,18.0,18
53,54,,Mark Hubbard,81,"18' 3""",109.583,6,33.0,11
54,T55,,Keegan Bradley,104,"18' 1""",108.417,6,45.0,2
55,T55,,John Huh,92,"18' 1""",54.25,3,26.0,8
56,57,,J.J. Spaun,92,"17' 8""",106.167,6,57.0,6
57,58,,Sung Kang,104,"17' 3""",103.583,6,30.0,2
58,59,,William McGirt,89,"17' 2""",103.167,6,56.0,2
59,60,,Richy Werenski,81,"17' 0""",68.083,4,30.0,5
60,61,,Andres Gonzales,73,"16' 5""",82.083,5,38.0,2
61,T62,,Sergio Garcia,65,"16' 0""",16.0,1,16.0,16
62,T62,,Ryo Ishikawa,56,"16' 0""",31.916999999999998,2,23.0,9
63,64,,Ryan Armour,63,"15' 9""",31.5,2,19.0,12
64,65,,Scott Stallings,81,"15' 4""",61.417,4,22.0,5
65,66,,Whee Kim,74,"15' 1""",60.333,4,22.0,10
66,T67,,Jonas Blixt,74,"15' 0""",60.0,4,36.0,3
67,T67,,D.A. Points,68,"15' 0""",15.0,1,15.0,15
68,69,,Brandon Hagy,85,"14' 11""",134.083,9,28.0,6
69,70,,Troy Merritt,82,"14' 10""",44.5,3,28.0,3
70,T71,,Pat Perez,93,"14' 9""",59.083,4,19.0,9
71,T71,,Brett Stegmaier,78,"14' 9""",88.417,6,30.0,3
72,T71,,Kevin Tway,96,"14' 9""",88.667,6,38.0,5
73,74,,Russell Henley,99,"14' 8""",58.75,4,19.0,4
74,75,,Daniel Berger,91,"14' 6""",72.417,5,25.0,8
75,T76,,Tony Finau,106,"14' 1""",196.667,14,34.0,2
76,T76,,Billy Horschel,88,"14' 1""",14.083,1,14.0,14
77,78,,Tag Ridings,67,"14' 0""",56.0,4,44.0,3
78,79,,Grayson Murray,94,"13' 9""",55.0,4,19.0,4
79,80,,Webb Simpson,102,"13' 7""",108.333,8,37.0,5
80,T81,,Ricky Barnes,100,"13' 4""",93.417,7,29.0,2
81,T81,,Billy Hurley III,80,"13' 4""",40.083,3,29.0,3
82,83,,Martin Laird,83,"13' 2""",105.167,8,33.0,3
83,T84,,Tom Hoge,54,"13' 0""",13.0,1,13.0,13
84,T84,,Louis Oosthuizen,69,"13' 0""",78.083,6,34.0,5
85,T84,,Chez Reavie,98,"13' 0""",51.917,4,22.0,8
86,T87,,Spencer Levin,89,"12' 11""",38.75,3,18.0,7
87,T87,,Luke List,102,"12' 11""",141.917,11,46.0,2
88,89,,Scott Brown,95,"12' 10""",38.583,3,25.0,3
89,T90,,Byeong Hun An,77,"12' 9""",63.917,5,29.0,2
90,T90,,Paul Casey,94,"12' 9""",63.667,5,17.0,10
91,92,,Jason Kokrak,95,"12' 6""",49.917,4,27.0,5
92,93,,Brian Campbell,55,"12' 5""",24.75,2,13.0,12
93,T94,,J.B. Holmes,83,"12' 4""",74.0,6,25.0,2
94,T94,,Cameron Tringale,89,"12' 4""",37.0,3,19.0,6
95,T96,,Bud Cauley,92,"12' 3""",49.0,4,18.0,9
96,T96,,Jason Dufner,89,"12' 3""",85.833,7,21.0,7
97,T96,,Smylie Kaufman,76,"12' 3""",49.083,4,18.0,10
