,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,,Justin Thomas,86,37.09,336,906
1,2,,Brooks Koepka,88,36.59,311,850
2,3,,Jordan Spieth,85,35.84,333,929
3,4,,Jason Day,71,35.74,262,733
4,5,,Rickie Fowler,78,34.76,301,866
5,6,,Anirban Lahiri,72,34.23,281,821
6,7,,Hideki Matsuyama,83,34.0,304,894
7,8,,Phil Mickelson,85,33.04,297,899
8,9,,Cameron Smith,86,32.94,306,929
9,10,,Matt Every,76,32.93,248,753
10,11,,Camilo Villegas,76,32.88,263,800
11,12,,Jon Rahm,90,32.67,326,998
12,13,,Dustin Johnson,77,32.51,277,852
13,14,,Grayson Murray,94,32.36,334,1032
14,15,,Sam Saunders,76,32.28,265,821
15,16,,J.B. Holmes,83,32.21,259,804
16,17,,Scott Piercy,70,32.14,251,781
17,18,,Tony Finau,106,32.12,414,1289
18,19,,Rory McIlroy,51,32.11,175,545
19,20,,Graeme McDowell,56,32.07,195,608
20,T21,,Charley Hoffman,112,31.85,393,1234
21,T21,,Luke List,102,31.85,386,1212
22,23,,Justin Rose,66,31.84,242,760
23,24,,Charl Schwartzel,63,31.83,205,644
24,25,,J.T. Poston,95,31.77,319,1004
25,T26,,Jason Dufner,89,31.74,306,964
26,T26,,Tom Hoge,54,31.74,173,545
27,T28,,David Lingmerth,79,31.59,253,801
28,T28,,Patrick Reed,107,31.59,339,1073
29,30,,Adam Hadwin,98,31.42,344,1095
30,31,,Xander Schauffele,96,31.37,336,1071
31,32,,Tag Ridings,67,31.33,219,699
32,T33,,Daniel Berger,91,31.32,316,1009
33,T33,,Shane Lowry,52,31.32,171,546
34,T33,,Trey Mullinax,88,31.32,291,929
35,T36,,Pat Perez,93,31.26,326,1043
36,T36,,Brandt Snedeker,53,31.26,171,547
37,38,,Robert Garrigus,78,31.15,280,899
38,39,,Brian Harman,104,31.13,339,1089
39,40,,Kevin Chappell,95,31.1,311,1000
40,T41,,Jonas Blixt,74,31.09,240,772
41,T41,,Derek Fathauer,81,31.09,263,846
42,43,,Rory Sabbatini,71,31.0,244,787
43,44,,Cody Gribble,79,30.99,269,868
44,45,,Danny Lee,93,30.97,328,1059
45,46,,Ollie Schniederjans,92,30.88,319,1033
46,47,,Adam Scott,58,30.86,208,674
47,48,,Smylie Kaufman,76,30.85,257,833
48,49,,Brandon Hagy,85,30.83,275,892
49,50,,Stewart Cink,93,30.81,338,1097
50,51,,Bubba Watson,71,30.78,213,692
51,52,,Sung Kang,104,30.64,371,1211
52,53,,Jimmy Walker,68,30.62,207,676
53,54,,Jamie Lovemark,98,30.58,333,1089
54,55,,Kevin Na,86,30.57,280,916
55,56,,Keegan Bradley,104,30.53,370,1212
56,57,,Whee Kim,74,30.52,231,757
57,58,,Seamus Power,86,30.47,287,942
58,T59,,Blayne Barber,77,30.44,263,864
59,T59,,Francesco Molinari,75,30.44,256,841
60,T61,,Russell Henley,99,30.4,342,1125
61,T61,,Sebastián Muñoz,51,30.4,169,556
62,T61,,Kevin Tway,96,30.4,311,1023
63,64,,Chris Stroud,67,30.39,213,701
64,65,,Marc Leishman,94,30.38,315,1037
65,66,,Michael Kim,94,30.36,323,1064
66,67,,Webb Simpson,102,30.34,338,1114
67,68,,Wesley Bryan,95,30.26,295,975
68,69,,Vaughn Taylor,90,30.19,304,1007
69,T70,,Patton Kizzire,84,30.15,262,869
70,T70,,Ryan Moore,82,30.15,278,922
71,T70,,Seung-Yul Noh,91,30.15,309,1025
72,73,,Zach Johnson,81,30.12,253,840
73,T74,,Jason Kokrak,95,30.08,330,1097
74,T74,,Sean O'Hair,84,30.08,293,974
75,76,,Brendan Steele,89,30.06,291,968
76,77,,Chris Kirk,89,30.02,299,996
77,78,,Russell Knox,75,29.98,244,814
78,79,,Ryan Blaum,100,29.96,338,1128
79,80,,Nicholas Lindheim,58,29.95,198,661
80,81,,Brian Campbell,55,29.83,173,580
81,82,,Aaron Baddeley,61,29.8,191,641
82,83,,Scott Brown,95,29.75,313,1052
83,84,,Paul Casey,94,29.72,321,1080
84,85,,Patrick Cantlay,52,29.65,177,597
85,86,,Kyle Stanley,104,29.64,375,1265
86,T87,,Peter Malnati,91,29.63,283,955
87,T87,,Jhonattan Vegas,95,29.63,309,1043
88,89,,Billy Hurley III,80,29.62,271,915
89,90,,Dominic Bozzelli,69,29.56,214,724
90,T91,,Brad Fritsch,56,29.5,177,600
91,T91,,Mackenzie Hughes,106,29.5,357,1210
92,93,,Lucas Glover,93,29.49,327,1109
93,94,,Morgan Hoffmann,92,29.47,295,1001
94,95,,Carl Pettersson,63,29.41,180,612
95,96,,Rafa Cabrera Bello,63,29.37,185,630
96,97,,Hudson Swafford,94,29.35,324,1104
97,98,,Ben Martin,86,29.31,277,945
98,99,,Harris English,84,29.3,242,826
99,100,,Matt Jones,64,29.29,186,635
100,T101,,Andres Gonzales,73,29.27,245,837
101,T101,,Cameron Tringale,89,29.27,281,960
102,103,,Emiliano Grillo,90,29.23,299,1023
103,104,,Gary Woodland,94,29.21,309,1058
104,105,,Daniel Summerhays,100,29.2,297,1017
105,106,,Bud Cauley,92,29.13,303,1040
106,107,,Chez Reavie,98,29.12,318,1092
107,108,,Ryan Brehm,83,29.11,257,883
108,109,,Sergio Garcia,65,29.1,211,725
109,110,,Bryson DeChambeau,91,29.09,299,1028
110,111,,Troy Merritt,82,29.04,250,861
111,112,,Kevin Kisner,105,29.03,326,1123
112,113,,Martin Laird,83,28.99,269,928
113,114,,Byeong Hun An,77,28.94,235,812
114,115,,Kelly Kraft,75,28.91,233,806
115,116,,Graham DeLaet,82,28.88,270,935
116,T117,,Greg Chalmers,75,28.87,220,762
117,T117,,Tim Wilkinson,64,28.87,192,665
118,119,,Ricky Barnes,100,28.83,303,1051
119,120,,Robert Streb,98,28.82,317,1100
120,121,,Jonathan Randolph,68,28.81,191,663
121,122,,Matt Kuchar,95,28.77,303,1053
122,123,,Rick Lamb,54,28.71,172,599
123,T124,,Søren Kjeldsen,58,28.7,157,547
124,T124,,Brian Stuard,93,28.7,279,972
125,T124,,Harold Varner III,101,28.7,345,1202
126,127,,Andrew Loupe,55,28.67,160,558
127,T128,,Charles Howell III,86,28.57,282,987
128,T128,,Ryo Ishikawa,56,28.57,182,637
129,130,,Gonzalo Fernandez-Castaño,63,28.53,178,624
130,131,,Brian Gay,82,28.48,254,892
131,132,,J.J. Spaun,92,28.45,295,1037
132,133,,Ian Poulter,72,28.43,224,788
133,134,,Fabián Gómez,61,28.32,194,685
134,135,,Kevin Streelman,90,28.3,298,1053
135,136,,Richy Werenski,81,28.29,254,898
136,137,,Retief Goosen,52,28.03,148,528
137,138,,Chad Collins,66,28.02,190,678
138,139,,Si Woo Kim,80,28.0,210,750
139,140,,Miguel Angel Carballo,63,27.97,186,665
140,141,,Nick Taylor,97,27.86,314,1127
141,142,,Louis Oosthuizen,69,27.84,189,679
