,Average_Putting_Distance_-_GIR_1_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_1_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_1_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_1_Putts_ROUNDS,Average_Putting_Distance_-_GIR_1_Putts_AVG,Average_Putting_Distance_-_GIR_1_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_1_Putts_TOTAL PUTTS
0,1,1,Alexandre Rocha,65,"12' 5""",1559.6670000000001,126
1,2,2,Scott McCarron,65,"12' 3""",1778.5829999999999,145
2,3,3,Dean Wilson,62,"12' 2""",1887.1670000000001,155
3,4,4,Johnson Wagner,81,"12' 1""",2529.5,210
4,T5,T5,Matt McQuillan,59,"12' 0""",1816.1670000000001,151
5,T5,T5,Shaun Micheel,77,"12' 0""",2024.4170000000001,169
6,T7,T7,Hunter Haas,96,"11' 11""",3230.333,272
7,T7,T7,Steve Marino,76,"11' 11""",2492.167,209
8,T7,T7,Graeme McDowell,50,"11' 11""",1513.25,127
9,T7,T7,Charl Schwartzel,58,"11' 11""",1440.4170000000001,121
10,T11,T11,Fabián Gómez,84,"11' 10""",2414.083,204
11,T11,T11,Martin Piller,63,"11' 10""",1634.1670000000001,138
12,T11,T11,John Senden,94,"11' 10""",3059.333,258
13,T14,T14,Sung Kang,63,"11' 9""",1749.4170000000001,149
14,T14,T14,Ben Martin,74,"11' 9""",2297.167,196
15,T14,T14,Michael Putnam,67,"11' 9""",1705.75,145
16,T14,T14,John Rollins,85,"11' 9""",2754.083,235
17,T18,T18,Richard Johnson,64,"11' 8""",1503.1670000000001,129
18,T18,T18,David Toms,78,"11' 8""",2469.833,211
19,T18,T18,Marc Turnesa,54,"11' 8""",1488.3329999999999,128
20,T21,T21,Stephen Ames,69,"11' 7""",1986.0,172
21,T21,T21,Stewart Cink,72,"11' 7""",1810.0,156
22,T21,T21,David Duval,67,"11' 7""",1934.5,167
23,T21,T21,Billy Mayfair,94,"11' 7""",3084.667,267
24,T21,T21,William McGirt,103,"11' 7""",3086.25,267
25,T26,T26,Pat Perez,76,"11' 6""",2663.667,232
26,T26,T26,Tag Ridings,87,"11' 6""",2440.667,213
27,T26,T26,Cameron Tringale,110,"11' 6""",3389.0,294
28,T26,T26,Jhonattan Vegas,84,"11' 6""",2315.333,201
29,T30,T30,Lucas Glover,74,"11' 5""",2424.333,212
30,T30,T30,Vijay Singh,79,"11' 5""",2589.5,226
31,T30,T30,Kevin Stadler,88,"11' 5""",2563.75,224
32,T33,T33,Trevor Immelman,84,"11' 4""",2195.333,193
33,T33,T33,John Merrick,71,"11' 4""",2168.167,192
34,T33,T33,Nick O'Hern,89,"11' 4""",2713.167,240
35,T33,T33,D.A. Points,89,"11' 4""",2591.167,229
36,T37,T37,J.J. Henry,96,"11' 3""",2479.083,220
37,T37,T37,Rod Pampling,72,"11' 3""",2045.3329999999999,182
38,T37,T37,Aron Price,58,"11' 3""",1809.25,161
39,T37,T37,Chez Reavie,92,"11' 3""",3113.417,276
40,T37,T37,Jim Renner,65,"11' 3""",1789.0,159
41,T37,T37,Will Strickler,51,"11' 3""",1367.75,122
42,T37,T37,Y.E. Yang,63,"11' 3""",1379.25,123
