,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Bryce Molder,82,90.5,1263,1143
1,2,2,Freddie Jacobson,92,90.25,1241,1120
2,3,3,Jerry Kelly,85,89.95,1224,1101
3,4,4,Luke Donald,73,89.85,936,841
4,5,5,Zach Johnson,79,89.82,1149,1032
5,6,6,Chris Couch,73,89.68,1201,1077
6,7,7,J.J. Henry,96,89.48,1445,1293
7,8,8,Brian Gay,90,89.44,1316,1177
8,9,9,Y.E. Yang,63,89.27,755,674
9,10,10,Steve Stricker,70,89.16,950,847
10,11,11,Charles Howell III,108,89.14,1648,1469
11,12,12,Trevor Immelman,84,89.13,1224,1091
12,13,13,Nick Watney,80,89.08,1108,987
13,T14,T14,John Senden,94,89.03,1458,1298
14,T14,T14,Charlie Wi,83,89.03,1376,1225
15,16,16,Ryan Moore,79,89.0,1073,955
16,17,17,Colt Knost,80,88.99,1226,1091
17,18,18,Kevin Streelman,90,88.77,1282,1138
18,T19,T19,Billy Horschel,75,88.73,1136,1008
19,T19,T19,Brendan Steele,89,88.73,1420,1260
20,21,21,Aaron Baddeley,77,88.72,1117,991
21,22,22,Matt Kuchar,94,88.69,1300,1153
22,23,23,Michael Thompson,79,88.68,1237,1097
23,T24,T24,Nate Smith,66,88.67,971,861
24,T24,T24,Brandt Snedeker,85,88.67,1200,1064
25,26,26,Blake Adams,116,88.58,1892,1676
26,27,27,Greg Chalmers,88,88.56,1425,1262
27,28,28,William McGirt,103,88.55,1677,1485
28,29,29,Ian Poulter,52,88.53,715,633
29,30,30,Richard Johnson,64,88.48,990,876
30,31,31,Geoff Ogilvy,69,88.43,985,871
31,32,32,Johnson Wagner,81,88.39,1275,1127
32,33,33,Spencer Levin,113,88.38,1738,1536
33,34,34,Dean Wilson,62,88.37,1040,919
34,T35,T35,Padraig Harrington,60,88.36,825,729
35,T35,T35,Tim Herron,85,88.36,1417,1252
36,T35,T35,Marc Turnesa,54,88.36,825,729
37,T38,T38,Briny Baird,60,88.35,893,789
38,T38,T38,Retief Goosen,50,88.35,721,637
39,T38,T38,Mark Wilson,89,88.35,1270,1122
40,41,41,Jonathan Byrd,83,88.34,1329,1174
41,42,42,Ben Crane,76,88.28,1135,1002
42,T43,T43,Jason Day,76,88.26,1056,932
43,T43,T43,Justin Rose,79,88.26,1175,1037
44,45,45,Carl Pettersson,95,88.25,1643,1450
45,46,46,Steve Flesch,88,88.23,1436,1267
46,T47,T47,Michael Bradley,74,88.21,1086,958
47,T47,T47,Tim Petrovic,88,88.21,1417,1250
48,T49,T49,Kevin Na,84,88.16,1216,1072
49,T49,T49,Michael Putnam,67,88.16,971,856
50,51,51,Stewart Cink,72,88.15,945,833
51,52,52,Ángel Cabrera,50,88.14,641,565
52,53,53,Scott McCarron,65,88.1,983,866
53,54,54,D.A. Points,89,88.09,1369,1206
54,T55,T55,Hunter Mahan,92,88.08,1376,1212
55,T55,T55,Matt McQuillan,59,88.08,864,761
56,T55,T55,Ryan Palmer,82,88.08,1124,990
57,58,58,Ben Curtis,66,88.05,1138,1002
58,59,59,Ben Martin,74,88.04,1196,1053
59,60,60,Phil Mickelson,79,88.01,1076,947
60,61,61,Bill Haas,93,87.97,1322,1163
61,62,62,Roland Thatcher,67,87.91,1117,982
62,63,63,Cameron Tringale,110,87.88,1782,1566
63,64,64,Vaughn Taylor,89,87.85,1539,1352
64,65,65,Tommy Gainey,104,87.84,1661,1459
65,66,66,Will Strickler,51,87.77,785,689
66,67,67,Jason Bohn,74,87.76,1250,1097
67,68,68,Scott Piercy,78,87.74,1158,1016
68,T69,T69,Brendon de Jonge,105,87.71,1676,1470
69,T69,T69,Nathan Green,81,87.71,1294,1135
70,T71,T71,Michael Connell,76,87.66,1345,1179
71,T71,T71,Martin Laird,77,87.66,1143,1002
72,T73,T73,Jim Furyk,87,87.65,1296,1136
73,T73,T73,David Hearn,88,87.65,1385,1214
74,75,75,Andres Romero,77,87.63,1245,1091
75,76,76,Andres Gonzales,60,87.62,856,750
76,77,77,Daniel Summerhays,75,87.6,1250,1095
77,T78,T78,Steve Elkington,50,87.5,784,686
78,T78,T78,Josh Teater,104,87.5,1704,1491
79,80,80,Lee Janzen,62,87.46,909,795
80,81,81,Alexandre Rocha,65,87.43,907,793
81,T82,T82,Hunter Haas,96,87.41,1541,1347
82,T82,T82,Justin Leonard,82,87.41,1382,1208
83,84,84,K.J. Choi,77,87.4,1040,909
84,85,85,Troy Matteson,91,87.38,1514,1323
85,86,86,David Toms,78,87.37,1061,927
86,87,87,David Mathis,83,87.36,1282,1120
87,88,88,Paul Stankowski,78,87.33,1200,1048
88,89,89,Steven Bowditch,86,87.32,1451,1267
89,T90,T90,Marc Leishman,87,87.31,1474,1287
90,T90,T90,Jeff Overton,92,87.31,1355,1183
91,92,92,Stephen Ames,69,87.29,1117,975
92,93,93,Gary Woodland,93,87.28,1297,1132
93,94,94,Kevin Kisner,70,87.26,1052,918
94,95,95,Webb Simpson,98,87.21,1532,1336
