,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
0,1,1,Andres Gonzales,60,1.411,1524,1080
1,T2,T2,Joe Ogilvie,75,1.421,1918,1350
2,T2,T2,Jim Renner,65,1.421,1663,1170
3,4,4,D.J. Brigman,67,1.425,1718,1206
4,5,5,George McNeill,69,1.426,1771,1242
5,6,6,Freddie Jacobson,92,1.43,2368,1656
6,7,7,Rod Pampling,72,1.431,1854,1296
7,8,8,Shane Bertsch,62,1.445,1613,1116
8,9,9,Scott Gutschewski,67,1.4469999999999998,1745,1206
9,10,10,Woody Austin,59,1.4480000000000002,1538,1062
10,11,11,Nate Smith,66,1.449,1721,1188
11,12,12,Lee Janzen,62,1.453,1621,1116
12,13,13,John Merrick,71,1.46,1866,1278
13,14,14,Bio Kim,71,1.4609999999999999,1867,1278
14,15,15,Aron Price,58,1.4669999999999999,1532,1044
15,16,16,Joseph Bramlett,73,1.4680000000000002,1929,1314
16,17,17,Kevin Kisner,70,1.469,1851,1260
17,18,18,Justin Hicks,60,1.475,1593,1080
18,19,19,James Driscoll,71,1.4769999999999999,1888,1278
19,20,20,Fabián Gómez,84,1.479,2237,1512
20,21,21,Michael Thompson,79,1.482,2108,1422
21,22,22,Briny Baird,60,1.483,1602,1080
22,23,23,Richard Johnson,64,1.484,1709,1152
23,T24,T24,Jim Herman,69,1.485,1844,1242
24,T24,T24,Paul Stankowski,78,1.485,2085,1404
25,26,26,Ángel Cabrera,50,1.486,1337,900
26,T27,T27,David Mathis,83,1.4869999999999999,2221,1494
27,T27,T27,Matt McQuillan,59,1.4869999999999999,1579,1062
28,29,29,Alexandre Rocha,65,1.4880000000000002,1741,1170
29,30,30,Kevin Chappell,78,1.489,2090,1404
30,31,31,David Hearn,88,1.4909999999999999,2361,1584
31,32,32,Scott McCarron,65,1.493,1747,1170
