,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Johnson Wagner,81,"11' 8""",2553.917,219,70,"1"""
1,2,2,Dean Wilson,62,"11' 5""",1896.8329999999999,166,54,"1"""
2,T3,T3,Shaun Micheel,77,"11' 4""",2011.1670000000001,177,56,"4"""
3,T3,T3,Alexandre Rocha,65,"11' 4""",1586.75,140,68,"3"""
4,T5,T5,Richard Johnson,64,"11' 3""",1524.9170000000001,136,61,"9"""
5,T5,T5,Matt McQuillan,59,"11' 3""",1778.3329999999999,158,56,"4"""
6,7,7,David Toms,78,"11' 2""",2484.75,222,59,"1"""
7,T8,T8,Graeme McDowell,50,"11' 1""",1527.0,138,52,"5"""
8,T8,T8,Nick O'Hern,89,"11' 1""",2685.333,243,50,"2"""
9,T10,T10,Fabián Gómez,84,"11' 0""",2410.25,219,49,"3"""
10,T10,T10,Martin Piller,63,"11' 0""",1668.5829999999999,152,62,"2"""
11,T12,T12,Stephen Ames,69,"10' 11""",2025.0829999999999,185,65,"1"""
12,T12,T12,David Duval,67,"10' 11""",1956.25,179,46,"5"""
13,T12,T12,Steve Marino,76,"10' 11""",2501.0,229,49,"2"""
14,T12,T12,Michael Putnam,67,"10' 11""",1759.8329999999999,161,58,"4"""
15,T12,T12,Marc Turnesa,54,"10' 11""",1438.5829999999999,132,41,"7"""
16,T17,T17,Hunter Haas,96,"10' 10""",3242.583,300,59,"5"""
17,T17,T17,Scott McCarron,65,"10' 10""",1686.75,156,50,"4"""
18,T17,T17,William McGirt,103,"10' 10""",3093.833,285,55,"4"""
19,T20,T20,Greg Chalmers,88,"10' 8""",2579.583,242,64,"4"""
20,T20,T20,Brian Gay,90,"10' 8""",2583.417,242,42,"2"""
21,T20,T20,Aron Price,58,"10' 8""",1840.1670000000001,172,47,"4"""
22,T20,T20,John Rollins,85,"10' 8""",2667.167,250,54,"4"""
23,T20,T20,Nate Smith,66,"10' 8""",1595.4170000000001,149,39,"9"""
24,T25,T25,Lucas Glover,74,"10' 7""",2366.583,223,64,"1"""
25,T25,T25,Sung Kang,63,"10' 7""",1623.8329999999999,154,51,"4"""
26,T25,T25,Colt Knost,80,"10' 7""",1944.9170000000001,184,47,"1"""
27,T25,T25,Rod Pampling,72,"10' 7""",2104.083,199,47,"2"""
28,T25,T25,Pat Perez,76,"10' 7""",2665.25,252,53,"2"""
29,T25,T25,Charl Schwartzel,58,"10' 7""",1486.8329999999999,140,67,"4"""
30,T31,T31,Trevor Immelman,84,"10' 6""",2187.167,208,60,"1"""
