,Total_1_Putts_-_15-20_RANK THIS WEEK,Total_1_Putts_-_15-20_RANK LAST WEEK,Total_1_Putts_-_15-20_PLAYER NAME,Total_1_Putts_-_15-20_ROUNDS,Total_1_Putts_-_15-20_TOTAL,Total_1_Putts_-_15-20_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_15-20_PCT OF ALL 1-PUTTS
0,1,1,David Hearn,88,43,518,8.3
1,T2,T2,Blake Adams,116,41,762,5.4
2,T2,T2,Hunter Haas,96,41,609,6.7
3,T4,T4,Bill Lunde,92,39,516,7.6
4,T4,T4,Jarrod Lyle,83,39,510,7.6
5,T6,T6,Arjun Atwal,91,38,605,6.3
6,T6,T6,Charlie Wi,83,38,584,6.5
7,T8,T8,Brian Davis,105,37,659,5.6
8,T8,T8,John Senden,94,37,523,7.1
9,T8,T8,Cameron Tringale,110,37,651,5.7
10,T11,T11,Tommy Gainey,104,36,625,5.8
11,T11,T11,Zach Johnson,79,36,488,7.4
12,T11,T11,Carl Pettersson,95,36,644,5.6
13,T11,T11,Vaughn Taylor,89,36,593,6.1
14,T15,T15,Greg Chalmers,88,35,623,5.6
15,T15,T15,Brendon de Jonge,105,35,672,5.2
16,T15,T15,Spencer Levin,113,35,631,5.5
17,T15,T15,Chez Reavie,92,35,557,6.3
18,19,19,Lucas Glover,74,34,430,7.9
19,T20,T20,K.J. Choi,77,33,400,8.3
20,T20,T20,Charles Howell III,108,33,627,5.3
21,T20,T20,Marc Leishman,87,33,547,6.0
22,T20,T20,William McGirt,103,33,605,5.5
23,T20,T20,Bryce Molder,82,33,549,6.0
24,T20,T20,Kyle Stanley,98,33,539,6.1
25,26,26,Scott Stallings,84,32,459,7.0
26,T27,T27,Chris Couch,73,31,499,6.2
27,T27,T27,Matt Kuchar,94,31,537,5.8
28,T29,T29,Steven Bowditch,86,30,581,5.2
29,T29,T29,Keegan Bradley,91,30,526,5.7
30,T29,T29,Jason Day,76,30,465,6.5
31,T29,T29,Bill Haas,93,30,485,6.2
32,T29,T29,J.J. Henry,96,30,502,6.0
33,T29,T29,Chris Kirk,87,30,542,5.5
34,T29,T29,Hunter Mahan,92,30,549,5.5
35,T29,T29,Steve Marino,76,30,455,6.6
36,T29,T29,Jeff Overton,92,30,517,5.8
37,T29,T29,Pat Perez,76,30,526,5.7
38,T29,T29,Tag Ridings,87,30,521,5.8
39,T40,T40,Billy Mayfair,94,29,567,5.1
40,T40,T40,Nick O'Hern,89,29,521,5.6
41,T42,T42,Jason Bohn,74,28,472,5.9
42,T42,T42,Ben Curtis,66,28,431,6.5
43,T42,T42,James Driscoll,71,28,421,6.7
44,T42,T42,Tim Herron,85,28,539,5.2
45,T42,T42,John Merrick,71,28,400,7.0
46,T42,T42,Tim Petrovic,88,28,566,4.9
47,T42,T42,Webb Simpson,98,28,607,4.6
48,T42,T42,Chris Stroud,88,28,532,5.3
49,T42,T42,Michael Thompson,79,28,497,5.6
50,T42,T42,Bo Van Pelt,92,28,501,5.6
51,T42,T42,Jhonattan Vegas,84,28,458,6.1
52,T42,T42,Nick Watney,80,28,470,6.0
53,T54,T54,Jason Dufner,78,27,450,6.0
54,T54,T54,Fabián Gómez,84,27,452,6.0
55,T54,T54,Colt Knost,80,27,462,5.8
56,T54,T54,Jimmy Walker,79,27,554,4.9
57,T54,T54,Gary Woodland,93,27,452,6.0
58,T59,T59,Cameron Beckman,71,26,455,5.7
59,T59,T59,Chris DiMarco,93,26,578,4.5
60,T59,T59,Luke Donald,73,26,418,6.2
61,T59,T59,Rickie Fowler,84,26,502,5.2
62,T59,T59,David Mathis,83,26,511,5.1
63,T64,T64,Robert Allenby,84,25,469,5.3
64,T64,T64,Matt Bettencourt,84,25,546,4.6
65,T64,T64,Chad Campbell,99,25,559,4.5
66,T64,T64,Michael Connell,76,25,491,5.1
67,T64,T64,Brian Gay,90,25,555,4.5
68,T64,T64,Nathan Green,81,25,522,4.8
69,T64,T64,Freddie Jacobson,92,25,539,4.6
70,T64,T64,Dustin Johnson,72,25,356,7.0
71,T64,T64,Kent Jones,76,25,444,5.6
72,T64,T64,Matt Jones,71,25,459,5.4
73,T64,T64,Kevin Kisner,70,25,404,6.2
74,T64,T64,Troy Matteson,91,25,544,4.6
75,T64,T64,Ryan Moore,79,25,447,5.6
76,T64,T64,Sean O'Hair,71,25,400,6.3
77,T64,T64,Joe Ogilvie,75,25,457,5.5
78,T64,T64,Scott Piercy,78,25,457,5.5
79,T64,T64,D.A. Points,89,25,552,4.5
80,T64,T64,Chris Riley,76,25,458,5.5
81,T64,T64,John Rollins,85,25,476,5.3
82,T64,T64,Vijay Singh,79,25,508,4.9
83,T64,T64,Paul Stankowski,78,25,475,5.3
84,T64,T64,Kevin Streelman,90,25,508,4.9
85,T86,T86,Jonathan Byrd,83,24,519,4.6
86,T86,T86,Ernie Els,71,24,350,6.9
87,T86,T86,Steve Flesch,88,24,590,4.1
88,T86,T86,Bobby Gates,82,24,430,5.6
89,T86,T86,Paul Goydos,81,24,502,4.8
90,T86,T86,Charley Hoffman,93,24,516,4.7
