,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Charlie Wi,83,"35' 8""",71.333,2,55,17
1,2,2,Robert Allenby,84,"33' 11""",67.75,2,35,32
2,T3,T3,Troy Merritt,63,"32' 10""",131.167,4,75,5
3,T3,T3,Jhonattan Vegas,84,"32' 10""",131.25,4,69,12
4,5,5,Joe Ogilvie,75,"31' 9""",126.917,4,52,4
5,T6,T6,Ben Martin,74,"31' 2""",156.0,5,83,6
6,T6,T6,Billy Mayfair,94,"31' 2""",155.833,5,67,10
7,8,8,Y.E. Yang,63,"31' 1""",31.083000000000002,1,31,31
8,9,9,Marc Turnesa,54,"30' 6""",61.0,2,46,15
9,10,10,Tag Ridings,87,"28' 9""",172.667,6,58,18
10,11,11,Jim Renner,65,"28' 5""",56.75,2,35,22
11,12,12,Robert Garrigus,83,"27' 3""",163.417,6,57,2
12,13,13,Stewart Cink,72,"27' 1""",81.167,3,59,10
13,14,14,J.P. Hayes,56,"27' 0""",81.0,3,48,12
14,15,15,Shane Bertsch,62,"26' 11""",53.833,2,30,24
15,16,16,Brendon de Jonge,105,"26' 2""",130.833,5,66,4
16,17,17,Joe Durant,71,"26' 0""",26.0,1,26,26
17,18,18,Ángel Cabrera,50,"25' 11""",155.5,6,103,2
18,T19,T19,Nathan Green,81,"25' 10""",103.333,4,53,6
19,T19,T19,Gary Woodland,93,"25' 10""",155.0,6,39,9
20,21,21,Hunter Haas,96,"25' 7""",76.75,3,53,4
21,22,22,Kyle Stanley,98,"25' 2""",125.917,5,40,11
22,23,23,Jerry Kelly,85,"24' 11""",49.75,2,27,22
23,24,24,Jason Dufner,78,"24' 10""",49.667,2,43,7
24,25,25,Troy Matteson,91,"24' 5""",73.25,3,37,2
25,26,26,Brian Davis,105,"24' 4""",72.917,3,40,16
26,27,27,Sergio Garcia,61,"23' 6""",117.5,5,44,13
27,T28,T28,Tom Gillis,55,"23' 3""",46.417,2,33,13
28,T28,T28,Alex Prugh,82,"23' 3""",92.833,4,57,6
29,T30,T30,John Merrick,71,"23' 2""",92.667,4,38,7
30,T30,T30,Phil Mickelson,79,"23' 2""",92.667,4,38,5
31,32,32,Jim Furyk,87,"23' 1""",46.167,2,32,14
32,33,33,Matt McQuillan,59,"22' 10""",68.5,3,46,10
33,34,34,K.J. Choi,77,"22' 8""",68.0,3,29,19
34,35,35,Colt Knost,80,"22' 7""",22.583000000000002,1,23,23
35,36,36,Sean O'Hair,71,"22' 6""",134.917,6,59,8
36,37,37,Scott McCarron,65,"22' 0""",131.833,6,44,3
37,38,38,Charley Hoffman,93,"21' 11""",65.75,3,37,5
38,39,39,Justin Rose,79,"21' 7""",64.667,3,32,7
39,40,40,Brandt Jobe,100,"21' 6""",43.0,2,31,12
40,41,41,John Senden,94,"21' 3""",169.75,8,69,9
41,42,42,Pat Perez,76,"20' 2""",60.583,3,25,13
42,43,43,Hunter Mahan,92,"20' 1""",120.417,6,37,4
43,T44,T44,Freddie Jacobson,92,"19' 11""",19.917,1,20,20
44,T44,T44,Davis Love III,70,"19' 11""",39.75,2,35,5
45,T44,T44,Nick Watney,80,"19' 11""",139.583,7,25,10
46,47,47,Bubba Watson,85,"19' 10""",258.25,13,54,3
47,48,48,Steven Bowditch,86,"19' 9""",98.583,5,41,8
48,T49,T49,Ben Curtis,66,"19' 8""",19.667,1,20,20
49,T49,T49,Dean Wilson,62,"19' 8""",19.667,1,20,20
50,51,51,Bryce Molder,82,"19' 6""",19.5,1,20,20
51,T52,T52,Chris DiMarco,93,"19' 5""",19.417,1,19,19
52,T52,T52,D.A. Points,89,"19' 5""",136.0,7,68,4
53,54,54,Keegan Bradley,91,"19' 4""",96.833,5,28,13
54,55,55,Carl Pettersson,95,"19' 3""",115.25,6,44,7
55,T56,T56,Trevor Immelman,84,"19' 2""",57.417,3,35,9
56,T56,T56,Sung Kang,63,"19' 2""",153.5,8,57,4
57,58,58,Arjun Atwal,91,"18' 11""",18.917,1,19,19
58,T59,T59,Dustin Johnson,72,"18' 8""",93.5,5,28,8
