,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,David Toms,78,0.8,113,9.0
1,2,2,Graeme McDowell,50,0.76,66,5.0
2,3,3,Y.E. Yang,63,0.73,82,6.0
3,T4,T4,Stewart Cink,72,0.7,115,8.0
4,T4,T4,Hunter Mahan,92,0.7,214,15.0
5,T4,T4,Matt McQuillan,59,0.7,100,7.0
6,T4,T4,Jim Renner,65,0.7,114,8.0
7,8,8,David Duval,67,0.69,131,9.0
8,9,9,Charl Schwartzel,58,0.68,103,7.0
9,10,10,Joe Ogilvie,75,0.67,119,8.0
10,T11,T11,Brandt Snedeker,85,0.63,126,8.0
11,T11,T11,Kevin Stadler,88,0.63,142,9.0
12,13,13,Sung Kang,63,0.62,97,6.0
13,14,14,Lee Janzen,62,0.61,98,6.0
14,15,15,Billy Mayfair,94,0.59,203,12.0
15,T16,T16,Hunter Haas,96,0.58,156,9.0
16,T16,T16,Steve Stricker,70,0.58,121,7.0
17,T18,T18,Shaun Micheel,77,0.57,141,8.0
18,T18,T18,Kevin Na,84,0.57,123,7.0
19,20,20,Marc Leishman,87,0.56,161,9.0
20,21,21,D.A. Points,89,0.55,165,9.0
21,22,22,Jason Bohn,74,0.54,112,6.0
22,23,23,Steve Marino,76,0.53,150,8.0
23,24,24,John Rollins,85,0.52,154,8.0
24,T25,T25,Billy Horschel,75,0.51,137,7.0
25,T25,T25,Ryuji Imada,83,0.51,176,9.0
26,T25,T25,Rod Pampling,72,0.51,156,8.0
27,T25,T25,Tag Ridings,87,0.51,158,8.0
28,29,29,Rory Sabbatini,85,0.5,119,6.0
29,T30,T30,Steve Elkington,50,0.49,102,5.0
30,T30,T30,Ben Martin,74,0.49,164,8.0
31,T30,T30,Dean Wilson,62,0.49,122,6.0
32,T33,T33,Jason Day,76,0.48,125,6.0
33,T33,T33,Steve Flesch,88,0.48,165,8.0
34,T33,T33,Rocco Mediate,53,0.48,84,4.0
35,T36,T36,Robert Garrigus,83,0.47,127,6.0
36,T36,T36,Bobby Gates,82,0.47,148,7.0
37,T36,T36,Robert Karlsson,61,0.47,85,4.0
38,T36,T36,Spencer Levin,113,0.47,215,10.0
39,T36,T36,Scott McCarron,65,0.47,148,7.0
40,T36,T36,Zack Miller,86,0.47,170,8.0
41,T36,T36,Nick O'Hern,89,0.47,149,7.0
42,T36,T36,Martin Piller,63,0.47,106,5.0
43,T36,T36,Vijay Singh,79,0.47,170,8.0
44,T36,T36,Mark Wilson,89,0.47,148,7.0
