,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Matt McQuillan,59,10.27,185,19
1,2,2,Steve Marino,76,9.52,252,24
2,3,3,Kevin Na,84,9.13,241,22
3,4,4,Jason Day,76,8.71,241,21
4,5,5,Tim Petrovic,88,8.62,290,25
5,6,6,Graeme McDowell,50,8.57,140,12
6,7,7,Brandt Snedeker,85,8.49,271,23
7,8,8,Charl Schwartzel,58,8.38,191,16
8,9,9,David Duval,67,8.33,228,19
9,10,10,Pat Perez,76,8.3,253,21
10,11,11,Y.E. Yang,63,8.28,157,13
11,12,12,Vijay Singh,79,7.87,305,24
12,T13,T13,Jim Renner,65,7.8,205,16
13,T13,T13,Kevin Stadler,88,7.8,295,23
14,T15,T15,Lucas Glover,74,7.63,236,18
15,T15,T15,Hunter Mahan,92,7.63,354,27
16,17,17,Johnson Wagner,81,7.5,320,24
17,18,18,Padraig Harrington,60,7.43,175,13
18,19,19,Chris Kirk,87,7.42,283,21
19,20,20,Steve Flesch,88,7.27,289,21
20,21,21,Sergio Garcia,61,7.22,180,13
21,T22,T22,Joe Ogilvie,75,7.21,222,16
22,T22,T22,Nate Smith,66,7.21,208,15
23,24,24,Robert Karlsson,61,6.98,172,12
24,25,25,Fabián Gómez,84,6.93,274,19
25,26,26,Kevin Streelman,90,6.92,289,20
26,27,27,Sung Kang,63,6.91,188,13
27,28,28,Brandt Jobe,100,6.89,363,25
28,29,29,Aron Price,58,6.88,218,15
29,30,30,Rickie Fowler,84,6.85,248,17
30,31,31,Steve Stricker,70,6.83,205,14
31,T32,T32,Cameron Beckman,71,6.72,238,16
32,T32,T32,Robert Garrigus,83,6.72,268,18
33,34,34,Nick O'Hern,89,6.71,298,20
34,35,35,Shane Bertsch,62,6.63,196,13
35,36,36,Dean Wilson,62,6.61,227,15
36,37,37,John Rollins,85,6.57,289,19
37,T38,T38,D.A. Points,89,6.56,320,21
38,T38,T38,David Toms,78,6.56,244,16
39,40,40,Matt Bettencourt,84,6.55,275,18
40,41,41,Alexandre Rocha,65,6.53,245,16
41,T42,T42,Stewart Cink,72,6.48,216,14
42,T42,T42,Ben Martin,74,6.48,293,19
43,T42,T42,Bubba Watson,85,6.48,247,16
44,T45,T45,Webb Simpson,98,6.44,326,21
45,T45,T45,Camilo Villegas,69,6.44,202,13
46,47,47,Greg Chalmers,88,6.43,311,20
47,48,48,Adam Scott,60,6.35,189,12
48,T49,T49,Hunter Haas,96,6.34,331,21
49,T49,T49,Bio Kim,71,6.34,205,13
50,51,51,Billy Mayfair,94,6.2,371,23
51,52,52,Rod Pampling,72,6.18,259,16
52,53,53,Stephen Ames,69,6.17,243,15
53,T54,T54,Paul Goydos,81,6.1,246,15
54,T54,T54,Billy Horschel,75,6.1,246,15
55,56,56,Jhonattan Vegas,84,6.06,330,20
56,57,57,Freddie Jacobson,92,6.05,281,17
57,58,58,Tag Ridings,87,6.04,298,18
58,59,59,Ernie Els,71,6.0,250,15
59,60,60,Brian Gay,90,5.99,284,17
60,61,61,Michael Thompson,79,5.96,285,17
61,62,62,Retief Goosen,50,5.92,152,9
62,T63,T63,Jason Bohn,74,5.86,239,14
63,T63,T63,Joseph Bramlett,73,5.86,256,15
64,65,65,J.P. Hayes,56,5.85,171,10
65,T66,T66,Michael Bradley,74,5.81,258,15
66,T66,T66,Sean O'Hair,71,5.81,241,14
67,T66,T66,Scott Piercy,78,5.81,258,15
68,69,69,Arjun Atwal,91,5.8,293,17
69,70,70,Ryuji Imada,83,5.77,312,18
70,T71,T71,Harrison Frazar,58,5.73,157,9
71,T71,T71,Martin Piller,63,5.73,192,11
72,73,73,Chez Reavie,92,5.72,332,19
73,T74,T74,Tommy Gainey,104,5.68,352,20
74,T74,T74,Matt Kuchar,94,5.68,264,15
75,T76,T76,Steve Elkington,50,5.67,194,11
76,T76,T76,Scott McCarron,65,5.67,247,14
77,T78,T78,Brendon de Jonge,105,5.65,336,19
78,T78,T78,Tim Herron,85,5.65,336,19
79,80,80,Kris Blanks,92,5.64,337,19
80,T81,T81,J.J. Henry,96,5.63,391,22
81,T81,T81,Michael Putnam,67,5.63,231,13
82,83,83,Lee Janzen,62,5.61,196,11
83,84,84,Charles Howell III,108,5.6,411,23
84,85,85,Trevor Immelman,84,5.59,322,18
85,T86,T86,Carl Pettersson,95,5.56,378,21
86,T86,T86,Kyle Stanley,98,5.56,324,18
87,88,88,Colt Knost,80,5.52,290,16
88,T89,T89,Chris Couch,73,5.5,291,16
89,T89,T89,Chris Stroud,88,5.5,327,18
90,91,91,Ángel Cabrera,50,5.48,146,8
91,92,92,Paul Stankowski,78,5.47,256,14
92,T93,T93,Briny Baird,60,5.45,220,12
93,T93,T93,Heath Slocum,89,5.45,312,17
