,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,1,1,Blake Adams,116,367,762,48.2
1,2,2,Brian Davis,105,337,659,51.1
2,3,3,Brendon de Jonge,105,329,672,49.0
3,T4,T4,Spencer Levin,113,326,631,51.7
4,T4,T4,Vaughn Taylor,89,326,593,55.0
5,6,6,Greg Chalmers,88,325,623,52.2
6,7,7,Charles Howell III,108,316,627,50.4
7,8,8,Cameron Tringale,110,315,651,48.4
8,9,9,Arjun Atwal,91,313,605,51.7
9,T10,T10,Carl Pettersson,95,311,644,48.3
10,T10,T10,Josh Teater,104,311,606,51.3
11,12,12,Chris DiMarco,93,308,578,53.3
12,13,13,Steve Flesch,88,304,590,51.5
13,14,14,William McGirt,103,303,605,50.1
14,15,15,Jimmy Walker,79,301,554,54.3
15,T16,T16,Tim Petrovic,88,299,566,52.8
16,T16,T16,Webb Simpson,98,299,607,49.3
17,T18,T18,Hunter Haas,96,298,609,48.9
18,T18,T18,Kevin Na,84,298,555,53.7
19,20,20,Billy Mayfair,94,294,567,51.9
20,21,21,Ryuji Imada,83,293,546,53.7
21,22,22,Steven Bowditch,86,292,581,50.3
22,23,23,Chris Kirk,87,291,542,53.7
23,24,24,Kyle Stanley,98,285,539,52.9
24,T25,T25,Tommy Gainey,104,284,625,45.4
25,T25,T25,Freddie Jacobson,92,284,539,52.7
26,27,27,Charlie Wi,83,282,584,48.3
27,28,28,Marc Leishman,87,281,547,51.4
28,T29,T29,Brian Gay,90,280,555,50.5
29,T29,T29,Matt Kuchar,94,280,537,52.1
30,T29,T29,Jarrod Lyle,83,280,510,54.9
31,T29,T29,Troy Matteson,91,280,544,51.5
32,T29,T29,D.J. Trahan,91,280,526,53.2
33,34,34,Brandt Snedeker,85,279,531,52.5
34,T35,T35,Nathan Green,81,276,522,52.9
35,T35,T35,Tim Herron,85,276,539,51.2
36,T35,T35,Bryce Molder,82,276,549,50.3
37,T35,T35,D.A. Points,89,276,552,50.0
38,T39,T39,Justin Leonard,82,275,513,53.6
39,T39,T39,Chez Reavie,92,275,557,49.4
40,41,41,Tag Ridings,87,274,521,52.6
41,42,42,Chad Campbell,99,273,559,48.8
