,One-Putt_Percentage_-_Round_3_RANK THIS WEEK,One-Putt_Percentage_-_Round_3_RANK LAST WEEK,One-Putt_Percentage_-_Round_3_PLAYER NAME,One-Putt_Percentage_-_Round_3_%,One-Putt_Percentage_-_Round_3_# OF 1 PUTTS,One-Putt_Percentage_-_Round_3_# OF HOLES
0,1,1,Steve Stricker,49.35,151,306
1,2,2,Anthony Kim,46.76,101,216
2,3,3,Jonathan Byrd,46.73,143,306
3,4,4,Bryce Molder,46.67,126,270
4,5,5,Andres Romero,46.41,142,306
5,6,6,Kevin Na,46.18,133,288
6,7,7,Luke Donald,45.83,132,288
7,8,8,Jason Day,45.42,139,306
8,9,9,Greg Chalmers,44.77,137,306
9,10,10,Dean Wilson,44.44,80,180
10,11,11,Brandt Snedeker,44.14,143,324
11,T12,T12,Zach Johnson,44.12,135,306
12,T12,T12,Charlie Wi,44.12,135,306
13,14,14,Ángel Cabrera,43.75,63,144
14,15,15,Vijay Singh,43.7,118,270
15,16,16,J.B. Holmes,43.52,94,216
16,T17,T17,Aaron Baddeley,43.46,133,306
17,T17,T17,Vaughn Taylor,43.46,133,306
18,T19,T19,Nathan Green,43.33,117,270
19,T19,T19,J.P. Hayes,43.33,78,180
20,21,21,Matt Bettencourt,43.25,109,252
21,T22,T22,Chris Kirk,43.06,124,288
22,T22,T22,Martin Laird,43.06,124,288
23,T22,T22,Roland Thatcher,43.06,93,216
24,25,25,Nick Watney,42.9,139,324
25,26,26,Matt Kuchar,42.86,162,378
26,27,27,Brian Davis,42.75,177,414
27,28,28,Ryuji Imada,42.74,100,234
28,29,29,David Duval,42.59,69,162
29,T30,T30,Matt Jones,42.22,76,180
30,T30,T30,Steve Marino,42.22,114,270
31,32,32,Ryan Palmer,42.16,129,306
32,T33,T33,Kevin Chappell,41.88,98,234
33,T33,T33,Padraig Harrington,41.88,98,234
34,35,35,Freddie Jacobson,41.8,158,378
35,T36,T36,Steve Elkington,41.67,60,144
36,T36,T36,Rickie Fowler,41.67,135,324
37,T38,T38,Arjun Atwal,41.36,134,324
38,T38,T38,Matt McQuillan,41.36,67,162
39,40,40,Jimmy Walker,41.32,119,288
40,41,41,D.A. Points,41.05,133,324
41,42,42,Colt Knost,41.03,96,234
42,43,43,D.J. Trahan,40.97,118,288
43,44,44,Chris DiMarco,40.85,125,306
44,T45,T45,Woody Austin,40.74,88,216
45,T45,T45,Graeme McDowell,40.74,66,162
46,T45,T45,Pat Perez,40.74,110,270
47,T45,T45,Martin Piller,40.74,66,162
48,49,49,Retief Goosen,40.4,80,198
49,50,50,Cameron Beckman,40.28,87,216
50,51,51,Michael Putnam,40.17,94,234
51,52,52,Tom Gillis,40.12,65,162
52,53,53,Bo Van Pelt,40.0,144,360
53,T54,T54,Stephen Ames,39.81,86,216
54,T54,T54,Michael Connell,39.81,86,216
55,T56,T56,Charl Schwartzel,39.68,100,252
56,T56,T56,Will Strickler,39.68,50,126
57,T58,T58,Chris Couch,39.58,114,288
58,T58,T58,Nick O'Hern,39.58,114,288
59,T60,T60,Ryan Moore,39.54,121,306
60,T60,T60,Chris Stroud,39.54,121,306
61,62,62,Brian Gay,39.47,135,342
62,63,63,Robert Allenby,39.2,127,324
63,64,64,Hunter Mahan,39.15,148,378
64,T65,T65,Alex Cejka,38.89,70,180
65,T65,T65,Jim Furyk,38.89,133,342
66,T65,T65,Sergio Garcia,38.89,105,270
67,T65,T65,Justin Leonard,38.89,105,270
68,T65,T65,Shaun Micheel,38.89,84,216
69,T65,T65,Phil Mickelson,38.89,133,342
70,T65,T65,Adam Scott,38.89,91,234
71,T65,T65,Paul Stankowski,38.89,105,270
72,T65,T65,Brendan Steele,38.89,126,324
73,T65,T65,Kevin Streelman,38.89,133,342
74,75,75,Charles Howell III,38.66,167,432
75,76,76,Y.E. Yang,38.46,90,234
76,T77,T77,Brendon de Jonge,38.41,159,414
77,T77,T77,Webb Simpson,38.41,159,414
78,T79,T79,Ben Curtis,38.33,69,180
79,T79,T79,Harrison Frazar,38.33,69,180
80,T81,T81,Robert Garrigus,38.24,117,306
81,T81,T81,Marc Leishman,38.24,117,306
82,83,83,Lucas Glover,38.15,103,270
83,84,84,Garrett Willis,37.96,82,216
