,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Brian Gay,90,102.06,1020,39,1002
1,2,2,Will Strickler,51,101.85,593,25,579
2,3,3,Brandt Snedeker,85,101.72,931,40,907
3,4,4,Johnson Wagner,81,101.61,993,50,959
4,5,5,David Toms,78,101.37,805,34,782
5,6,6,Kevin Na,84,101.29,927,36,903
6,7,7,Jason Day,76,101.25,802,33,779
7,T8,T8,Chez Reavie,92,101.19,1175,54,1135
8,T8,T8,Y.E. Yang,63,101.19,589,21,575
9,10,10,Luke Donald,73,101.14,701,24,685
10,11,11,Hunter Mahan,92,101.04,1060,45,1026
11,12,12,Graeme McDowell,50,100.99,507,23,489
12,13,13,Padraig Harrington,60,100.92,652,25,633
13,14,14,Carl Pettersson,95,100.87,1263,45,1229
14,T15,T15,William McGirt,103,100.75,1328,43,1295
15,T15,T15,Dean Wilson,62,100.75,800,30,776
16,T17,T17,Matt McQuillan,59,100.73,685,31,659
17,T17,T17,Ryan Moore,79,100.73,822,25,803
18,19,19,Colt Knost,80,100.72,968,30,945
19,T20,T20,Blake Adams,116,100.69,1441,50,1401
20,T20,T20,Bill Haas,93,100.69,1013,28,992
21,22,22,Shane Bertsch,62,100.68,737,29,713
22,23,23,Steve Elkington,50,100.67,595,14,585
23,24,24,Michael Putnam,67,100.66,752,27,730
24,25,25,Scott McCarron,65,100.64,778,29,754
25,26,26,Michael Thompson,79,100.62,961,31,936
26,27,27,Trevor Immelman,84,100.61,976,31,951
27,28,28,J.P. Hayes,56,100.59,679,22,661
28,29,29,Aron Price,58,100.57,707,29,682
29,T30,T30,Greg Chalmers,88,100.55,1091,36,1061
30,T30,T30,Ben Martin,74,100.55,907,34,878
31,32,32,Shaun Micheel,77,100.54,925,33,897
32,33,33,Freddie Jacobson,92,100.51,979,29,955
33,34,34,John Rollins,85,100.48,1034,43,996
34,35,35,Cameron Tringale,110,100.44,1379,54,1331
35,36,36,Ángel Cabrera,50,100.42,481,14,469
