,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Luke Donald,73,1.24,15,1206
1,2,2,Freddie Jacobson,92,1.75,29,1656
2,T3,T3,Greg Chalmers,88,1.83,29,1584
3,T3,T3,Matt Kuchar,94,1.83,29,1584
4,T3,T3,Bryce Molder,82,1.83,27,1476
5,6,6,Kevin Kisner,70,1.98,25,1260
6,7,7,George McNeill,69,2.01,25,1242
7,8,8,Jonathan Byrd,83,2.03,30,1476
8,T9,T9,Richard Johnson,64,2.08,24,1152
9,T9,T9,Colt Knost,80,2.08,30,1440
10,11,11,Carl Pettersson,95,2.11,36,1710
11,12,12,Brendon de Jonge,105,2.12,40,1890
12,13,13,Spencer Levin,113,2.16,44,2034
13,14,14,Vaughn Taylor,89,2.18,35,1602
14,15,15,Nate Smith,66,2.19,26,1188
15,16,16,Dean Wilson,62,2.24,25,1116
16,T17,T17,Kevin Na,84,2.25,34,1512
17,T17,T17,Steve Stricker,70,2.25,28,1242
18,19,19,Tim Petrovic,88,2.27,36,1584
19,20,20,Sergio Garcia,61,2.28,25,1098
20,21,21,Trevor Immelman,84,2.31,35,1512
21,22,22,Webb Simpson,98,2.32,41,1764
22,T23,T23,Zach Johnson,79,2.35,33,1404
23,T23,T23,Matt Jones,71,2.35,30,1278
24,T25,T25,Chris Couch,73,2.36,31,1314
25,T25,T25,Tag Ridings,87,2.36,37,1566
26,T27,T27,J.J. Henry,96,2.37,41,1728
27,T27,T27,Ryan Moore,79,2.37,32,1350
28,29,29,Nick Watney,80,2.38,33,1386
29,T30,T30,Brian Gay,90,2.41,39,1620
30,T30,T30,Charlie Wi,83,2.41,36,1494
31,32,32,Lee Janzen,62,2.42,27,1116
32,33,33,Steve Elkington,50,2.44,22,900
33,34,34,Michael Bradley,74,2.48,33,1332
34,35,35,David Toms,78,2.49,35,1404
35,36,36,Ian Poulter,52,2.51,23,918
36,37,37,Joe Ogilvie,75,2.52,34,1350
37,38,38,Aaron Baddeley,77,2.53,35,1386
38,39,39,Brandt Snedeker,85,2.55,39,1530
39,40,40,Paul Stankowski,78,2.56,36,1404
