,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,T1,T1,Hunter Haas,96,28,609,4.6
1,T1,T1,Brandt Jobe,100,28,548,5.1
2,T1,T1,Hunter Mahan,92,28,549,5.1
3,T1,T1,Cameron Tringale,110,28,651,4.3
4,T1,T1,Johnson Wagner,81,28,479,5.8
5,T6,T6,Billy Mayfair,94,26,567,4.6
6,T6,T6,Tim Petrovic,88,26,566,4.6
7,T8,T8,Steve Marino,76,25,455,5.5
8,T8,T8,Brandt Snedeker,85,25,531,4.7
9,T10,T10,Tommy Gainey,104,24,625,3.8
10,T10,T10,Charles Howell III,108,24,627,3.8
11,T10,T10,William McGirt,103,24,605,4.0
12,T10,T10,Vijay Singh,79,24,508,4.7
13,T14,T14,Blake Adams,116,23,762,3.0
14,T14,T14,Fabián Gómez,84,23,452,5.1
15,T14,T14,J.J. Henry,96,23,502,4.6
16,T14,T14,Kevin Na,84,23,555,4.1
17,T14,T14,John Senden,94,23,523,4.4
18,T14,T14,Webb Simpson,98,23,607,3.8
19,T14,T14,Kevin Stadler,88,23,470,4.9
20,T21,T21,Chad Campbell,99,22,559,3.9
21,T21,T21,Greg Chalmers,88,22,623,3.5
22,T21,T21,Jason Day,76,22,465,4.7
23,T21,T21,Chris Kirk,87,22,542,4.1
24,T21,T21,Ben Martin,74,22,441,5.0
25,T21,T21,Kevin Streelman,90,22,508,4.3
26,T21,T21,Jhonattan Vegas,84,22,458,4.8
27,T28,T28,Kris Blanks,92,21,529,4.0
28,T28,T28,Steve Flesch,88,21,590,3.6
29,T28,T28,Lucas Glover,74,21,430,4.9
30,T28,T28,Spencer Levin,113,21,631,3.3
31,T28,T28,Matt McQuillan,59,21,347,6.1
32,T28,T28,Nick O'Hern,89,21,521,4.0
33,T28,T28,Pat Perez,76,21,526,4.0
34,T28,T28,Carl Pettersson,95,21,644,3.3
35,T28,T28,D.A. Points,89,21,552,3.8
36,T28,T28,Tag Ridings,87,21,521,4.0
37,T28,T28,John Rollins,85,21,476,4.4
38,T39,T39,Matt Bettencourt,84,20,546,3.7
39,T39,T39,David Duval,67,20,396,5.1
40,T39,T39,Tim Herron,85,20,539,3.7
41,T39,T39,Ryuji Imada,83,20,546,3.7
42,T39,T39,Kyle Stanley,98,20,539,3.7
43,T44,T44,Brendon de Jonge,105,19,672,2.8
44,T44,T44,Rickie Fowler,84,19,502,3.8
45,T44,T44,Robert Garrigus,83,19,475,4.0
46,T44,T44,Bill Haas,93,19,485,3.9
47,T44,T44,Trevor Immelman,84,19,436,4.4
48,T44,T44,Troy Matteson,91,19,544,3.5
