,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Steve Stricker,70,44.77,556,1242
1,2,2,Kevin Na,84,44.25,669,1512
2,3,3,Luke Donald,73,43.86,529,1206
3,4,4,Jason Day,76,43.53,572,1314
4,5,5,Greg Chalmers,88,43.24,685,1584
5,6,6,Geoff Ogilvy,69,42.76,508,1188
6,7,7,Brandt Snedeker,85,42.48,650,1530
7,8,8,Bryce Molder,82,41.94,619,1476
8,9,9,Andres Romero,77,41.92,581,1386
9,10,10,Charlie Wi,83,41.7,623,1494
10,11,11,Ryan Moore,79,41.41,559,1350
11,12,12,Anthony Kim,72,41.39,529,1278
12,13,13,Pat Perez,76,41.37,566,1368
13,14,14,Rickie Fowler,84,41.29,602,1458
14,15,15,Chris Couch,73,41.25,542,1314
15,16,16,Matt Kuchar,94,41.16,652,1584
16,17,17,Roland Thatcher,67,41.04,495,1206
17,18,18,Ryan Palmer,82,40.97,590,1440
18,19,19,Y.E. Yang,63,40.96,435,1062
19,20,20,Nick Watney,80,40.91,567,1386
20,21,21,Zach Johnson,79,40.74,572,1404
21,22,22,Aaron Baddeley,77,40.62,563,1386
22,23,23,Dean Wilson,62,40.59,453,1116
23,T24,T24,Padraig Harrington,60,40.4,429,1062
24,T24,T24,Robert Karlsson,61,40.4,429,1062
25,26,26,Jimmy Walker,79,40.37,574,1422
26,27,27,Brian Gay,90,40.19,651,1620
27,T28,T28,Matt Jones,71,40.14,513,1278
28,T28,T28,D.A. Points,89,40.14,643,1602
29,30,30,Arjun Atwal,91,40.05,656,1638
30,31,31,Webb Simpson,98,40.02,706,1764
31,32,32,Steve Marino,76,39.99,547,1368
32,33,33,Vaughn Taylor,89,39.89,639,1602
33,34,34,Steve Flesch,88,39.84,631,1584
34,35,35,Brian Davis,105,39.68,750,1890
35,36,36,Ryuji Imada,83,39.63,592,1494
36,37,37,Ian Poulter,52,39.54,363,918
37,38,38,Steven Bowditch,86,39.53,612,1548
38,39,39,Ben Crane,76,39.5,519,1314
39,40,40,Phil Mickelson,79,39.47,547,1386
40,41,41,Chris Kirk,87,39.4,617,1566
41,42,42,Kevin Streelman,90,39.26,636,1620
42,43,43,Mark Wilson,89,39.21,614,1566
43,44,44,Martin Laird,77,39.11,535,1368
44,T45,T45,Hunter Mahan,92,39.08,626,1602
45,T45,T45,Adam Scott,60,39.08,415,1062
46,T47,T47,David Duval,67,39.05,471,1206
47,T47,T47,Camilo Villegas,69,39.05,478,1224
48,49,49,Matt Bettencourt,84,38.96,589,1512
49,50,50,Carl Pettersson,95,38.83,664,1710
50,51,51,Stuart Appleby,65,38.8,454,1170
51,52,52,Charl Schwartzel,58,38.79,391,1008
52,T53,T53,Jonathan Byrd,83,38.75,572,1476
53,T53,T53,Justin Leonard,82,38.75,572,1476
54,55,55,Lucas Glover,74,38.74,516,1332
55,56,56,Michael Connell,76,38.67,529,1368
56,57,57,Retief Goosen,50,38.66,341,882
57,58,58,Freddie Jacobson,92,38.65,640,1656
58,59,59,Brendon de Jonge,105,38.62,730,1890
59,60,60,Nathan Green,81,38.61,563,1458
60,61,61,Vijay Singh,79,38.54,548,1422
61,T62,T62,Blake Adams,116,38.51,804,2088
62,T62,T62,Tim Petrovic,88,38.51,610,1584
63,64,64,Scott McCarron,65,38.46,450,1170
64,65,65,Marc Leishman,87,38.31,600,1566
65,T66,T66,Ben Curtis,66,38.22,454,1188
66,T66,T66,Harrison Frazar,58,38.22,399,1044
67,68,68,Bo Van Pelt,92,38.09,617,1620
68,69,69,Graeme McDowell,50,37.94,321,846
69,70,70,J.P. Hayes,56,37.9,382,1008
70,71,71,Jeff Overton,92,37.85,620,1638
71,T72,T72,Paul Goydos,81,37.79,551,1458
