,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Jason Day,76,"81' 11""",58001,59,"4' 7""","144' 2"""
1,2,2,Brandt Snedeker,85,"81' 6""",65553,67,"4' 7""","179' 11"""
2,3,3,Hunter Mahan,92,"81' 4""",74161,76,"4' 7""","220' 2"""
3,4,4,Graeme McDowell,50,"81' 1""",35998,37,"4' 7""","139' 11"""
4,5,5,Rickie Fowler,84,"81' 0""",64153,66,"4' 7""","148' 9"""
5,T6,T6,Lucas Glover,74,"80' 11""",59235,61,"4' 7""","138' 9"""
6,T6,T6,Johnson Wagner,81,"80' 11""",67980,70,"4' 6""","202' 9"""
7,8,8,David Toms,78,"80' 4""",56864,59,"4' 6""","184' 3"""
8,9,9,Matt McQuillan,59,"80' 0""",46062,48,"4' 6""","170' 7"""
9,10,10,Steve Marino,76,"79' 7""",59222,62,"4' 6""","158' 4"""
10,11,11,Ben Martin,74,"79' 2""",61752,65,"4' 5""","162' 10"""
11,12,12,Kevin Na,84,"79' 1""",64540,68,"4' 6""","128' 5"""
12,T13,T13,Cameron Beckman,71,"78' 10""",60563,64,"4' 5""","167' 1"""
13,T13,T13,Martin Piller,63,"78' 10""",49215,52,"4' 5""","171' 3"""
14,15,15,Steve Stricker,70,"78' 9""",50060,53,"4' 5""","173' 8"""
15,16,16,Pat Perez,76,"78' 8""",66110,70,"4' 5""","144' 3"""
16,17,17,Ángel Cabrera,50,"78' 7""",33008,35,"4' 5""","152' 5"""
17,18,18,Andres Romero,77,"78' 4""",63914,68,"4' 5""","144' 8"""
18,19,19,Luke Donald,73,"78' 3""",48802,52,"4' 5""","143' 4"""
19,T20,T20,Fabián Gómez,84,"77' 11""",64544,69,"4' 5""","192' 8"""
20,T20,T20,Geoff Ogilvy,69,"77' 11""",50472,54,"4' 5""","137' 4"""
21,T20,T20,Will Strickler,51,"77' 11""",40212,43,"4' 5""","192' 6"""
22,23,23,Hunter Haas,96,"77' 9""",79329,85,"4' 4""","147' 5"""
23,24,24,John Senden,94,"77' 8""",75526,81,"4' 4""","160' 2"""
24,25,25,Matt Bettencourt,84,"77' 6""",71616,77,"4' 4""","165' 6"""
25,26,26,Roland Thatcher,67,"77' 5""",56650,61,"4' 4""","155' 8"""
26,27,27,Charlie Wi,83,"77' 3""",71401,77,"4' 4""","153' 3"""
27,28,28,Jim Renner,65,"77' 2""",49077,53,"4' 4""","152' 7"""
28,29,29,Chez Reavie,92,"77' 0""",75740,82,"4' 4""","181' 5"""
29,T30,T30,Greg Chalmers,88,"76' 10""",72875,79,"4' 4""","149' 3"""
30,T30,T30,Aron Price,58,"76' 10""",45189,49,"4' 4""","148' 2"""
31,32,32,Tommy Gainey,104,"76' 9""",83771,91,"4' 4""","132' 7"""
32,T33,T33,Jeff Overton,92,"76' 8""",67168,73,"4' 4""","151' 1"""
33,T33,T33,Kevin Streelman,90,"76' 8""",65341,71,"4' 3""","150' 5"""
34,35,35,Charl Schwartzel,58,"76' 7""",36768,40,"4' 3""","165' 2"""
35,36,36,John Rollins,85,"76' 6""",66072,72,"4' 3""","149' 2"""
36,37,37,Brian Gay,90,"76' 5""",67886,74,"4' 4""","153' 9"""
37,T38,T38,Blake Adams,116,"76' 4""",96217,105,"4' 4""","145' 6"""
38,T38,T38,Shane Bertsch,62,"76' 4""",47609,52,"4' 4""","172' 9"""
39,T38,T38,Webb Simpson,98,"76' 4""",76035,83,"4' 3""","132' 8"""
40,T38,T38,Michael Thompson,79,"76' 4""",63217,69,"4' 4""","131' 9"""
41,T38,T38,Dean Wilson,62,"76' 4""",52210,57,"4' 3""","142' 9"""
