,Putts_per_Round_-_Round_3_RANK THIS WEEK,Putts_per_Round_-_Round_3_RANK LAST WEEK,Putts_per_Round_-_Round_3_PLAYER NAME,Putts_per_Round_-_Round_3_AVG,Putts_per_Round_-_Round_3_TOTAL PUTTS,Putts_per_Round_-_Round_3_TOTAL ROUNDS
0,1,1,Kevin Na,26.75,428,16
1,2,2,Steve Stricker,27.12,461,17
2,3,3,Bryce Molder,27.13,407,15
3,4,4,Ángel Cabrera,27.14,190,7
4,5,5,Andres Romero,27.18,462,17
5,6,6,Greg Chalmers,27.41,466,17
6,7,7,Freddie Jacobson,27.47,522,19
7,8,8,Jonathan Byrd,27.53,468,17
8,9,9,Dean Wilson,27.6,276,10
9,10,10,Matt Kuchar,27.71,582,21
10,11,11,Luke Donald,27.75,444,16
11,12,12,Charlie Wi,27.76,472,17
12,13,13,Jason Day,27.82,473,17
13,14,14,Martin Laird,27.88,446,16
14,15,15,Matt Jones,27.9,279,10
15,T16,T16,Aaron Baddeley,27.94,475,17
16,T16,T16,Nick Watney,27.94,503,18
17,T18,T18,Kevin Chappell,28.0,336,12
18,T18,T18,Chris DiMarco,28.0,448,16
19,T18,T18,Nathan Green,28.0,392,14
20,T18,T18,J.B. Holmes,28.0,336,12
21,T18,T18,Zach Johnson,28.0,476,17
22,T18,T18,Anthony Kim,28.0,336,12
23,T24,T24,Rickie Fowler,28.06,505,18
24,T24,T24,Jimmy Walker,28.06,449,16
25,26,26,Retief Goosen,28.09,309,11
26,27,27,Tom Gillis,28.11,253,9
27,T28,T28,Matt Bettencourt,28.14,394,14
28,T28,T28,Steven Bowditch,28.14,394,14
29,30,30,Cameron Beckman,28.18,310,11
30,T31,T31,Michael Connell,28.25,339,12
31,T31,T31,Joe Ogilvie,28.25,339,12
32,33,33,Brian Gay,28.28,509,18
33,34,34,Blake Adams,28.3,651,23
34,T35,T35,Colt Knost,28.33,340,12
35,T35,T35,Matt McQuillan,28.33,255,9
36,T35,T35,Jim Renner,28.33,255,9
37,38,38,Vaughn Taylor,28.41,483,17
38,39,39,Michael Putnam,28.42,341,12
39,T40,T40,Arjun Atwal,28.44,512,18
40,T40,T40,Graeme McDowell,28.44,256,9
41,42,42,Stephen Ames,28.45,313,11
42,43,43,Rod Pampling,28.46,370,13
43,44,44,Ryan Palmer,28.47,484,17
44,45,45,Webb Simpson,28.48,655,23
45,T46,T46,Shane Bertsch,28.5,285,10
46,T46,T46,Steve Elkington,28.5,228,8
47,T46,T46,Andres Gonzales,28.5,228,8
48,T46,T46,Brandt Snedeker,28.5,513,18
49,T50,T50,Woody Austin,28.55,314,11
50,T50,T50,Bobby Gates,28.55,314,11
51,T50,T50,Ben Martin,28.55,314,11
52,T53,T53,Charles Howell III,28.57,657,23
53,T53,T53,Paul Stankowski,28.57,400,14
54,T53,T53,Will Strickler,28.57,200,7
55,56,56,Michael Bradley,28.58,343,12
56,T57,T57,J.P. Hayes,28.6,286,10
57,T57,T57,Nick O'Hern,28.6,429,15
58,59,59,Ryuji Imada,28.62,372,13
59,60,60,D.J. Brigman,28.67,258,9
60,61,61,David Toms,28.69,459,16
61,T62,T62,Alex Cejka,28.7,287,10
62,T62,T62,Brian Davis,28.7,660,23
63,T62,T62,Sung Kang,28.7,287,10
64,65,65,Shaun Micheel,28.73,316,11
65,T66,T66,Chris Kirk,28.75,460,16
66,T66,T66,Roland Thatcher,28.75,345,12
67,68,68,Scott McCarron,28.78,259,9
68,T69,T69,Pat Perez,28.8,432,15
69,T69,T69,Vijay Singh,28.8,432,15
70,71,71,Carl Pettersson,28.81,605,21
71,T72,T72,Lee Janzen,28.82,317,11
72,T72,T72,Ryan Moore,28.82,490,17
73,T74,T74,Padraig Harrington,28.85,375,13
74,T74,T74,John Merrick,28.85,375,13
75,76,76,George McNeill,28.86,404,14
76,T77,T77,Chris Stroud,28.88,462,16
77,T77,T77,Marc Turnesa,28.88,231,8
78,79,79,David Duval,28.89,260,9
79,80,80,James Driscoll,28.91,318,11
80,T81,T81,Jason Bohn,28.93,405,14
81,T81,T81,Geoff Ogilvy,28.93,405,14
82,T83,T83,Marc Leishman,28.94,492,17
83,T83,T83,David Mathis,28.94,463,16
84,T85,T85,Brendon de Jonge,28.95,637,22
85,T85,T85,Hunter Mahan,28.95,608,21
86,T85,T85,Josh Teater,28.95,608,21
87,T88,T88,Justin Leonard,29.0,435,15
88,T88,T88,Alex Prugh,29.0,319,11
89,T88,T88,D.J. Trahan,29.0,464,16
90,T88,T88,Y.E. Yang,29.0,377,13
91,T92,T92,Steve Flesch,29.06,494,17
92,T92,T92,D.A. Points,29.06,523,18
93,94,94,Sergio Garcia,29.07,436,15
94,95,95,Aron Price,29.09,320,11
95,96,96,Ben Curtis,29.1,291,10
96,97,97,Kevin Streelman,29.11,553,19
97,98,98,Justin Rose,29.12,495,17
98,T99,T99,Jerry Kelly,29.13,466,16
99,T99,T99,Steve Marino,29.13,437,15
100,T99,T99,Nate Smith,29.13,233,8
101,102,102,Michael Thompson,29.14,408,14
102,103,103,Kyle Stanley,29.16,554,19
103,104,104,Trevor Immelman,29.17,525,18
104,105,105,Chris Couch,29.19,467,16
105,T106,T106,Joseph Bramlett,29.2,292,10
106,T106,T106,Scott Gutschewski,29.2,292,10
107,108,108,Martin Piller,29.22,263,9
108,109,109,Garrett Willis,29.25,351,12
109,110,110,Adam Scott,29.31,381,13
110,T111,T111,Lucas Glover,29.33,440,15
111,T111,T111,Brandt Jobe,29.33,616,21
