,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Kevin Na,84,27.75,2331,84,22
1,2,2,Greg Chalmers,88,27.77,2388,86,22
2,3,3,Steve Stricker,70,27.96,1929,69,22
3,4,4,Luke Donald,73,28.03,1878,67,22
4,5,5,Freddie Jacobson,92,28.19,2368,84,23
5,6,6,Brian Gay,90,28.28,2432,86,20
6,7,7,Rickie Fowler,84,28.35,2296,81,21
7,8,8,Jason Day,76,28.37,2071,73,23
8,9,9,Bryce Molder,82,28.38,2270,80,23
9,10,10,Aaron Baddeley,77,28.39,2129,75,22
10,T11,T11,Andres Romero,77,28.41,2131,75,22
11,T11,T11,Charlie Wi,83,28.41,2358,83,23
12,13,13,Nick Watney,80,28.44,2190,77,22
13,T14,T14,Ryan Moore,79,28.47,2135,75,22
14,T14,T14,Geoff Ogilvy,69,28.47,1879,66,24
15,16,16,Brandt Snedeker,85,28.51,2423,85,23
16,17,17,Matt Kuchar,94,28.52,2510,88,24
17,18,18,Chris Couch,73,28.53,2083,73,23
18,19,19,Steve Flesch,88,28.55,2398,84,22
19,20,20,Jimmy Walker,79,28.57,2257,79,22
20,21,21,Anthony Kim,72,28.59,2030,71,22
21,22,22,Joe Ogilvie,75,28.63,1918,67,24
22,T23,T23,Scott McCarron,65,28.64,1747,61,23
23,T23,T23,Tim Petrovic,88,28.64,2406,84,22
24,25,25,Dean Wilson,62,28.66,1777,62,22
25,26,26,Nate Smith,66,28.68,1721,60,22
26,27,27,Y.E. Yang,63,28.69,1693,59,24
27,28,28,Ryan Palmer,82,28.7,2296,80,23
28,T29,T29,Blake Adams,116,28.71,3216,112,23
29,T29,T29,Zach Johnson,79,28.71,2239,78,22
30,T29,T29,Matt McQuillan,59,28.71,1579,55,23
31,32,32,Bio Kim,71,28.72,1867,65,22
32,33,33,Nathan Green,81,28.74,2213,77,24
33,34,34,Carl Pettersson,95,28.75,2674,93,23
34,35,35,Matt Jones,71,28.76,2042,71,23
35,36,36,Webb Simpson,98,28.77,2819,98,23
36,37,37,Arjun Atwal,91,28.79,2620,91,22
37,38,38,Shane Bertsch,62,28.8,1613,56,21
38,39,39,Brendon de Jonge,105,28.81,2910,101,23
39,T40,T40,Steven Bowditch,86,28.84,2365,82,23
40,T40,T40,David Mathis,83,28.84,2221,77,23
41,T40,T40,Pat Perez,76,28.84,2192,76,24
42,43,43,Vaughn Taylor,89,28.85,2568,89,24
43,44,44,Michael Thompson,79,28.88,2108,73,24
44,45,45,Jonathan Byrd,83,28.9,2370,82,23
45,46,46,Martin Laird,77,28.91,2197,76,21
46,T47,T47,Robert Karlsson,61,28.92,1706,59,23
47,T47,T47,Kevin Kisner,70,28.92,1851,64,25
48,49,49,Lee Janzen,62,28.95,1621,56,23
49,T50,T50,Jerry Kelly,85,28.96,2317,80,25
50,T50,T50,Paul Stankowski,78,28.96,2085,72,24
51,T50,T50,David Toms,78,28.96,2143,74,24
52,T53,T53,Stewart Cink,72,28.97,1912,66,24
53,T53,T53,Rod Pampling,72,28.97,1854,64,21
54,55,55,Padraig Harrington,60,28.98,1710,59,24
55,56,56,Tim Herron,85,28.99,2348,81,22
56,T57,T57,Matt Bettencourt,84,29.01,2437,84,23
57,T57,T57,Ryuji Imada,83,29.01,2408,83,24
58,T59,T59,Stuart Appleby,65,29.02,1886,65,23
59,T59,T59,Woody Austin,59,29.02,1538,53,22
60,T61,T61,Kevin Chappell,78,29.03,2090,72,24
61,T61,T61,George McNeill,69,29.03,1771,61,23
62,T63,T63,D.A. Points,89,29.04,2585,89,23
63,T63,T63,Camilo Villegas,69,29.04,1975,68,24
64,T65,T65,James Driscoll,71,29.05,1888,65,22
65,T65,T65,Chris Kirk,87,29.05,2527,87,24
66,T67,T67,Retief Goosen,50,29.06,1424,49,25
67,T67,T67,Ian Poulter,52,29.06,1482,51,23
68,T69,T69,Ángel Cabrera,50,29.07,1337,46,23
69,T69,T69,Roland Thatcher,67,29.07,1948,67,24
70,T71,T71,Ben Crane,76,29.08,2123,73,24
71,T71,T71,Hunter Haas,96,29.08,2675,92,23
72,T71,T71,Phil Mickelson,79,29.08,2239,77,23
73,T71,T71,Scott Piercy,78,29.08,2152,74,23
74,75,75,Mark Wilson,89,29.09,2531,87,23
75,T76,T76,Brian Davis,105,29.1,3056,105,21
76,T76,T76,Chris DiMarco,93,29.1,2590,89,24
77,78,78,J.P. Hayes,56,29.11,1572,54,23
78,T79,T79,D.J. Brigman,67,29.12,1718,59,24
79,T79,T79,Colt Knost,80,29.12,2155,74,25
80,81,81,Sergio Garcia,61,29.13,1777,61,22
81,82,82,Marc Leishman,87,29.14,2535,87,24
