,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Chris Couch,73,46.3,175,378
1,2,2,Ryan Palmer,82,44.93,186,414
2,3,3,Luke Donald,73,44.75,145,324
3,4,4,Padraig Harrington,60,44.12,135,306
4,5,5,Geoff Ogilvy,69,43.89,158,360
5,6,6,Andres Romero,77,43.69,173,396
6,7,7,Kevin Na,84,43.59,204,468
7,8,8,Y.E. Yang,63,43.14,132,306
8,9,9,Vaughn Taylor,89,43.0,209,486
9,10,10,Charlie Wi,83,42.44,191,450
10,11,11,Greg Chalmers,88,42.39,206,486
11,12,12,Steve Stricker,70,42.28,137,324
12,13,13,Matt Kuchar,94,42.27,175,414
13,14,14,Anthony Kim,72,42.0,189,450
14,15,15,Jimmy Walker,79,41.9,181,432
15,16,16,Steve Flesch,88,41.77,203,486
16,17,17,Ryan Moore,79,41.53,157,378
17,18,18,Ben Crane,76,41.41,164,396
18,19,19,Brian Gay,90,41.24,193,468
19,20,20,Aaron Baddeley,77,41.16,163,396
20,T21,T21,Brendon de Jonge,105,41.11,222,540
21,T21,T21,Phil Mickelson,79,41.11,148,360
22,23,23,Jason Day,76,40.83,147,360
23,24,24,Dean Wilson,62,40.74,154,378
24,25,25,Brian Davis,105,40.56,219,540
25,26,26,Robert Karlsson,61,40.52,124,306
26,27,27,Mark Wilson,89,40.44,182,450
27,T28,T28,D.A. Points,89,40.38,189,468
28,T28,T28,Webb Simpson,98,40.38,189,468
29,30,30,Chris Kirk,87,40.28,203,504
30,31,31,Tim Petrovic,88,40.23,210,522
31,T32,T32,Paul Goydos,81,40.22,181,450
32,T32,T32,Matt Jones,71,40.22,181,450
33,34,34,Pat Perez,76,40.05,173,432
34,35,35,Vijay Singh,79,40.0,180,450
35,36,36,Justin Leonard,82,39.96,187,468
36,37,37,Camilo Villegas,69,39.86,165,414
37,38,38,Brandt Snedeker,85,39.74,186,468
38,39,39,Nick Watney,80,39.68,150,378
39,40,40,Hunter Mahan,92,39.58,171,432
40,41,41,Carl Pettersson,95,39.51,192,486
41,42,42,Freddie Jacobson,92,39.33,177,450
42,43,43,Harrison Frazar,58,39.18,134,342
43,44,44,Rickie Fowler,84,39.13,162,414
44,45,45,Arjun Atwal,91,39.08,204,522
45,T46,T46,Stuart Appleby,65,38.89,168,432
46,T46,T46,Joe Ogilvie,75,38.89,168,432
47,T46,T46,Jeff Overton,92,38.89,175,450
48,49,49,David Mathis,83,38.67,174,450
49,50,50,Blake Adams,116,38.56,236,612
50,51,51,Zack Miller,86,38.52,208,540
51,52,52,Tim Herron,85,38.49,194,504
52,T53,T53,Bryce Molder,82,38.46,180,468
53,T53,T53,John Senden,94,38.46,180,468
54,T53,T53,Kevin Streelman,90,38.46,180,468
55,T56,T56,Ben Curtis,66,38.41,159,414
56,T56,T56,Steve Marino,76,38.41,159,414
57,T58,T58,Jason Bohn,74,38.38,152,396
58,T58,T58,Rocco Mediate,53,38.38,152,396
59,T58,T58,Roland Thatcher,67,38.38,152,396
60,61,61,Dustin Johnson,72,38.33,138,360
61,62,62,Matt Bettencourt,84,38.31,200,522
62,63,63,Chez Reavie,92,38.27,186,486
63,64,64,Rory Sabbatini,85,38.19,165,432
64,65,65,Jason Dufner,78,38.16,158,414
65,66,66,Zach Johnson,79,38.13,151,396
66,67,67,Ryuji Imada,83,38.12,199,522
67,T68,T68,Michael Connell,76,38.03,178,468
68,T68,T68,David Hearn,88,38.03,178,468
69,70,70,Paul Stankowski,78,37.96,164,432
70,71,71,Chris Riley,76,37.78,170,450
71,72,72,Tom Gillis,55,37.72,129,342
72,73,73,Chris DiMarco,93,37.63,210,558
73,T74,T74,Charley Hoffman,93,37.61,176,468
74,T74,T74,Jerry Kelly,85,37.61,176,468
75,76,76,Rich Beem,53,37.57,142,378
76,77,77,David Duval,67,37.5,162,432
77,78,78,Ian Poulter,52,37.41,101,270
78,79,79,Kevin Chappell,78,37.39,175,468
79,T80,T80,Stephen Ames,69,37.37,148,396
80,T80,T80,Lucas Glover,74,37.37,148,396
81,T80,T80,Justin Rose,79,37.37,148,396
82,83,83,Woody Austin,59,37.35,121,324
83,84,84,Charl Schwartzel,58,37.3,94,252
84,85,85,John Rollins,85,37.24,181,486
85,T86,T86,Jarrod Lyle,83,36.97,193,522
86,T86,T86,Bo Van Pelt,92,36.97,173,468
87,88,88,Ricky Barnes,78,36.96,153,414
88,89,89,Ángel Cabrera,50,36.93,113,306
89,90,90,Jim Furyk,87,36.89,166,450
90,91,91,Martin Laird,77,36.87,146,396
91,92,92,Cameron Beckman,71,36.81,159,432
92,93,93,Nathan Green,81,36.75,172,468
93,94,94,Steven Bowditch,86,36.71,185,504
94,T95,T95,Robert Garrigus,83,36.67,165,450
95,T95,T95,Derek Lamely,65,36.67,165,450
96,97,97,David Toms,78,36.62,145,396
97,98,98,Kris Blanks,92,36.59,191,522
98,99,99,Nate Smith,66,36.57,158,432
99,T100,T100,Stewart Cink,72,36.51,138,378
100,T100,T100,Tag Ridings,87,36.51,184,504
101,T102,T102,Jonathan Byrd,83,36.44,164,450
102,T102,T102,Ben Martin,74,36.44,164,450
103,104,104,Marc Leishman,87,36.42,177,486
104,105,105,Billy Mayfair,94,36.4,190,522
105,106,106,Scott McCarron,65,36.36,144,396
106,107,107,Brandt Jobe,100,36.31,183,504
107,T108,T108,Retief Goosen,50,36.3,98,270
108,T108,T108,Hunter Haas,96,36.3,196,540
109,110,110,Adam Scott,60,36.27,111,306
110,T111,T111,Matt McQuillan,59,36.24,137,378
111,T111,T111,Bubba Watson,85,36.24,137,378
112,113,113,D.J. Brigman,67,36.23,150,414
113,114,114,Johnson Wagner,81,36.22,163,450
114,T115,T115,Kevin Kisner,70,36.11,156,432
115,T115,T115,Garrett Willis,71,36.11,156,432
116,117,117,Spencer Levin,113,36.02,201,558
117,T118,T118,Sean O'Hair,71,35.99,149,414
118,T118,T118,Martin Piller,63,35.99,149,414
119,120,120,Shaun Micheel,77,35.8,174,486
120,121,121,Michael Putnam,67,35.71,135,378
121,T122,T122,Bill Haas,93,35.56,160,450
122,T122,T122,Graeme McDowell,50,35.56,96,270
123,T124,T124,Keegan Bradley,91,35.52,179,504
124,T124,T124,Kyle Stanley,98,35.52,179,504
