,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Luke Donald,73,4.74,9,190,95.2
1,2,2,George McNeill,69,5.49,14,255,94.5
2,3,3,Jonathan Byrd,83,5.61,17,303,94.3
3,4,4,Matt Kuchar,94,5.78,16,277,94.2
4,5,5,Freddie Jacobson,92,5.98,18,301,94.0
5,6,6,Steve Stricker,70,6.05,13,215,93.9
6,7,7,Charlie Wi,83,6.11,22,360,93.8
7,8,8,Davis Love III,70,6.15,15,244,93.8
8,9,9,Y.E. Yang,63,6.43,11,171,93.5
9,10,10,Steve Elkington,50,6.44,13,202,93.5
10,11,11,Bryce Molder,82,6.46,19,294,93.5
11,12,12,Steve Flesch,88,6.54,21,321,93.4
12,13,13,Webb Simpson,98,6.55,23,351,93.4
13,14,14,Robert Karlsson,61,6.67,12,180,93.3
14,15,15,Kevin Kisner,70,6.75,16,237,93.2
15,16,16,Stewart Cink,72,6.84,16,234,93.1
16,17,17,Tag Ridings,87,6.85,23,336,93.1
17,18,18,Ben Crane,76,6.94,20,288,93.0
18,19,19,Jim Furyk,87,6.98,22,315,93.0
19,20,20,Aaron Baddeley,77,7.05,17,241,92.9
20,21,21,Dean Wilson,62,7.11,18,253,92.8
21,22,22,Tim Petrovic,88,7.17,22,307,92.8
22,23,23,Brendon de Jonge,105,7.28,26,357,92.7
23,T24,T24,Greg Chalmers,88,7.42,25,337,92.5
24,T24,T24,Richard Johnson,64,7.42,19,256,92.5
25,26,26,Kevin Na,84,7.45,19,255,92.5
26,27,27,Matt McQuillan,59,7.46,15,201,92.5
27,28,28,Trevor Immelman,84,7.47,26,348,92.5
28,29,29,Brandt Snedeker,85,7.51,22,293,92.4
29,30,30,Nick Watney,80,7.55,20,265,92.4
30,31,31,Carl Pettersson,95,7.58,30,396,92.4
31,32,32,Brian Davis,105,7.59,28,369,92.4
32,33,33,Jeff Overton,92,7.62,23,302,92.3
33,34,34,Chris Couch,73,7.72,24,311,92.2
34,35,35,J.B. Holmes,57,7.73,15,194,92.2
35,36,36,Ian Poulter,52,7.74,13,168,92.2
36,37,37,Colt Knost,80,7.84,25,319,92.1
37,38,38,Ryan Moore,79,7.85,19,242,92.1
38,39,39,Brian Gay,90,7.87,24,305,92.1
39,40,40,J.J. Henry,96,7.88,33,419,92.1
40,T41,T41,Shane Bertsch,62,7.91,17,215,92.0
41,T41,T41,David Toms,78,7.91,20,253,92.0
