,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
0,1,1,Luke Donald,73,0.87,45.224,52
1,2,2,Charlie Wi,83,0.8079999999999999,62.20399999999999,77
2,3,3,Steve Stricker,70,0.78,41.332,53
3,4,4,Bryce Molder,82,0.77,54.667,71
4,5,5,Kevin Na,84,0.65,44.17,68
5,6,6,Greg Chalmers,88,0.635,50.147,79
6,7,7,Freddie Jacobson,92,0.629,44.023,70
7,8,8,Brandt Snedeker,85,0.588,39.363,67
8,9,9,Zach Johnson,79,0.58,37.148,64
9,10,10,Jason Day,76,0.5760000000000001,33.978,59
10,11,11,Brian Gay,90,0.556,41.143,74
11,12,12,Ryan Moore,79,0.55,32.97,60
12,13,13,Nick Watney,80,0.546,33.88,62
13,14,14,Hunter Mahan,92,0.527,40.062,76
14,15,15,Scott McCarron,65,0.519,28.038,54
15,16,16,Geoff Ogilvy,69,0.517,27.923000000000002,54
16,17,17,Ángel Cabrera,50,0.509,17.831,35
17,18,18,Dean Wilson,62,0.49200000000000005,28.04,57
18,19,19,Carl Pettersson,95,0.485,43.69,90
19,20,20,Blake Adams,116,0.475,49.894,105
20,21,21,Michael Thompson,79,0.44799999999999995,30.897,69
21,22,22,David Toms,78,0.446,26.301,59
22,23,23,Matt McQuillan,59,0.436,20.905,48
23,24,24,Johnson Wagner,81,0.42700000000000005,29.91,70
24,25,25,Michael Putnam,67,0.423,22.421999999999997,53
25,26,26,Nate Smith,66,0.41100000000000003,21.759,53
26,27,27,Ben Martin,74,0.406,26.366,65
27,28,28,Andres Romero,77,0.4,27.229,68
28,29,29,Chris Couch,73,0.397,26.996,68
29,30,30,Charles Howell III,108,0.38,34.538000000000004,91
30,31,31,Matt Kuchar,94,0.379,26.909000000000002,71
31,32,32,Hunter Haas,96,0.364,30.913,85
32,33,33,Kevin Streelman,90,0.35600000000000004,25.244,71
33,34,34,Rickie Fowler,84,0.35100000000000003,23.156999999999996,66
34,T35,T35,Aaron Baddeley,77,0.324,20.08,62
35,T35,T35,Paul Stankowski,78,0.324,21.06,65
36,37,37,Steve Flesch,88,0.32,24.983,78
37,38,38,Steve Elkington,50,0.312,13.115,42
38,39,39,John Senden,94,0.302,24.445999999999998,81
39,40,40,Trevor Immelman,84,0.297,19.875,67
40,41,41,Will Strickler,51,0.294,12.645,43
41,42,42,Brendon de Jonge,105,0.273,25.104,92
42,T43,T43,Colt Knost,80,0.271,18.143,67
43,T43,T43,Webb Simpson,98,0.271,22.508000000000003,83
44,45,45,Ian Poulter,52,0.27,10.533,39
45,46,46,Y.E. Yang,63,0.267,11.232000000000001,42
46,47,47,Jerry Kelly,85,0.257,17.496,68
47,48,48,Retief Goosen,50,0.244,9.749,40
48,49,49,Scott Piercy,78,0.242,15.24,63
49,T50,T50,Ben Curtis,66,0.239,14.82,62
50,T50,T50,Anthony Kim,72,0.239,13.847999999999999,58
51,52,52,Padraig Harrington,60,0.237,10.685,45
52,53,53,Lucas Glover,74,0.23600000000000002,14.407,61
53,54,54,Mark Wilson,89,0.233,16.288,70
54,55,55,D.A. Points,89,0.22699999999999998,16.766,74
55,56,56,David Hearn,88,0.223,16.952,76
56,57,57,Jimmy Walker,79,0.222,16.859,76
57,58,58,Pat Perez,76,0.221,15.47,70
58,59,59,Marc Turnesa,54,0.21899999999999997,10.079,46
59,60,60,David Mathis,83,0.215,15.023,70
60,61,61,Martin Piller,63,0.20800000000000002,10.84,52
61,62,62,Cameron Tringale,110,0.19699999999999998,19.129,97
62,63,63,Roland Thatcher,67,0.19399999999999998,11.862,61
63,64,64,William McGirt,103,0.185,17.03,92
64,65,65,Tim Petrovic,88,0.177,13.623,77
65,66,66,Lee Janzen,62,0.17,8.521,50
66,67,67,Stewart Cink,72,0.16899999999999998,8.797,52
67,68,68,Joe Ogilvie,75,0.16699999999999998,10.16,61
68,69,69,Bill Haas,93,0.165,11.845999999999998,72
69,70,70,K.J. Choi,77,0.163,9.462,58
70,T71,T71,Steven Bowditch,86,0.161,12.58,78
71,T71,T71,Martin Laird,77,0.161,9.959,62
72,73,73,Jeff Overton,92,0.154,11.22,73
73,74,74,Vaughn Taylor,89,0.153,12.699000000000002,83
74,75,75,Jim Renner,65,0.149,7.912000000000001,53
75,76,76,Tim Herron,85,0.14800000000000002,11.431,77
76,77,77,Shane Bertsch,62,0.146,7.603,52
77,78,78,Andres Gonzales,60,0.14300000000000002,6.569,46
78,T79,T79,J.J. Henry,96,0.139,10.963,79
79,T79,T79,Kevin Kisner,70,0.139,7.897,57
80,81,81,Shaun Micheel,77,0.138,8.991,65
81,82,82,Ben Crane,76,0.134,8.282,62
82,83,83,Graeme McDowell,50,0.132,4.874,37
83,84,84,Rod Pampling,72,0.13,7.805,60
84,85,85,Richard Johnson,64,0.11699999999999999,6.31,54
85,86,86,Jonathan Byrd,83,0.11599999999999999,8.318,72
86,87,87,Tommy Gainey,104,0.11199999999999999,10.192,91
87,88,88,Nathan Green,81,0.10800000000000001,7.525,70
88,89,89,Aron Price,58,0.094,4.591,49
89,90,90,Steve Marino,76,0.08900000000000001,5.529,62
90,91,91,Matt Bettencourt,84,0.079,6.093999999999999,77
91,92,92,Briny Baird,60,0.078,3.8169999999999997,49
92,T93,T93,Robert Karlsson,61,0.066,2.9539999999999997,45
93,T93,T93,Tag Ridings,87,0.066,4.8469999999999995,74
94,95,95,John Merrick,71,0.057999999999999996,3.465,60
95,96,96,Charl Schwartzel,58,0.052000000000000005,2.092,40
96,97,97,Justin Rose,79,0.047,2.977,63
97,98,98,Arjun Atwal,91,0.044000000000000004,3.6719999999999997,83
98,99,99,Spencer Levin,113,0.04,3.736,94
99,100,100,Woody Austin,59,0.037000000000000005,1.8630000000000002,50
100,101,101,Bio Kim,71,0.033,1.889,58
101,102,102,Kent Jones,76,0.027999999999999997,1.854,67
102,103,103,J.P. Hayes,56,0.024,1.168,48
103,104,104,Stephen Ames,69,0.012,0.6970000000000001,60
104,105,105,Keegan Bradley,91,0.006999999999999999,0.528,77
105,106,106,Bill Lunde,92,0.003,0.239,77
106,107,107,Matt Jones,71,0.002,0.099,64
107,108,108,Alexandre Rocha,65,-0.001,-0.026000000000000002,49
108,109,109,Brandt Jobe,100,-0.015,-1.238,81
109,110,110,George McNeill,69,-0.018000000000000002,-1.067,58
110,111,111,Billy Horschel,75,-0.024,-1.48,62
111,112,112,James Driscoll,71,-0.025,-1.527,61
