,Putting_from_8_RANK THIS WEEK,Putting_from_8_RANK LAST WEEK,Putting_from_8_PLAYER NAME,Putting_from_8_ROUNDS,Putting_from_8_% MADE,Putting_from_8_ATTEMPTS,Putting_from_8_PUTTS MADE
0,1,1,Will Strickler,51,72.73,33,24
1,2,2,Bryce Molder,82,71.93,57,41
2,3,3,Ryan Moore,79,69.77,43,30
3,4,4,Nate Smith,66,68.09,47,32
4,5,5,Dean Wilson,62,65.96,47,31
5,6,6,David Toms,78,65.12,43,28
6,7,7,Tommy Gainey,104,65.08,63,41
7,8,8,Freddie Jacobson,92,64.71,51,33
8,9,9,Zach Johnson,79,64.0,50,32
9,10,10,D.A. Points,89,63.51,74,47
10,11,11,Ian Poulter,52,63.41,41,26
11,12,12,John Merrick,71,63.27,49,31
12,13,13,Ángel Cabrera,50,62.96,27,17
13,14,14,Luke Donald,73,62.79,43,27
14,T15,T15,Padraig Harrington,60,62.5,32,20
15,T15,T15,Jim Herman,69,62.5,40,25
16,T15,T15,Johnson Wagner,81,62.5,56,35
17,T18,T18,Ben Curtis,66,62.26,53,33
18,T18,T18,Tag Ridings,87,62.26,53,33
19,20,20,Chris Couch,73,62.22,45,28
20,21,21,Blake Adams,116,62.2,82,51
21,22,22,Nathan Green,81,62.12,66,41
22,23,23,Richard Johnson,64,61.9,42,26
23,24,24,Kevin Streelman,90,61.54,39,24
24,25,25,Justin Rose,79,61.36,44,27
25,T26,T26,Shane Bertsch,62,60.98,41,25
26,T26,T26,Camilo Villegas,69,60.98,41,25
27,28,28,John Senden,94,60.94,64,39
28,29,29,Steve Elkington,50,60.87,23,14
29,30,30,Adam Scott,60,60.53,38,23
30,31,31,Matt McQuillan,59,60.47,43,26
31,T32,T32,Jerry Kelly,85,60.42,48,29
32,T32,T32,Geoff Ogilvy,69,60.42,48,29
33,34,34,Nick Watney,80,60.38,53,32
34,35,35,Bill Lunde,92,59.68,62,37
35,36,36,Jason Dufner,78,59.62,52,31
36,37,37,Jason Day,76,59.57,47,28
37,38,38,Scott McCarron,65,59.46,37,22
38,39,39,Jason Bohn,74,59.42,69,41
39,40,40,Pat Perez,76,59.32,59,35
40,41,41,Scott Gutschewski,67,58.93,56,33
41,T42,T42,Mark Wilson,89,58.82,51,30
42,T42,T42,Y.E. Yang,63,58.82,34,20
43,44,44,Jimmy Walker,79,58.62,58,34
44,45,45,Zack Miller,86,58.33,72,42
45,T46,T46,K.J. Choi,77,57.89,38,22
46,T46,T46,Sung Kang,63,57.89,38,22
47,T46,T46,Michael Thompson,79,57.89,57,33
48,49,49,Hunter Mahan,92,57.14,70,40
49,50,50,Vijay Singh,79,56.94,72,41
50,51,51,Charley Hoffman,93,56.92,65,37
51,52,52,Ben Martin,74,56.86,51,29
52,53,53,Steve Stricker,70,56.76,37,21
53,54,54,Scott Piercy,78,56.67,60,34
54,55,55,Lucas Glover,74,56.6,53,30
55,T56,T56,Stephen Ames,69,56.52,46,26
56,T56,T56,Aaron Baddeley,77,56.52,46,26
57,T56,T56,Troy Merritt,63,56.52,46,26
58,59,59,Garrett Willis,71,56.36,55,31
59,60,60,J.B. Holmes,57,56.25,48,27
60,61,61,Rickie Fowler,84,56.1,41,23
61,T62,T62,Billy Horschel,75,56.0,50,28
62,T62,T62,Joe Ogilvie,75,56.0,50,28
63,64,64,Tom Gillis,55,55.81,43,24
64,65,65,Matt Kuchar,94,55.74,61,34
65,T66,T66,Jim Furyk,87,55.56,45,25
66,T66,T66,Chris Riley,76,55.56,63,35
67,68,68,Scott Stallings,84,55.36,56,31
68,69,69,Colt Knost,80,55.32,47,26
69,70,70,Charl Schwartzel,58,55.26,38,21
70,T71,T71,David Hearn,88,55.22,67,37
71,T71,T71,Steve Marino,76,55.22,67,37
72,73,73,Cameron Beckman,71,55.0,60,33
73,74,74,Steve Flesch,88,54.79,73,40
74,T75,T75,Derek Lamely,65,54.76,42,23
75,T75,T75,Nick O'Hern,89,54.76,42,23
76,T77,T77,J.J. Henry,96,54.72,53,29
77,T77,T77,Trevor Immelman,84,54.72,53,29
78,T77,T77,Kent Jones,76,54.72,53,29
79,80,80,Chad Campbell,99,54.69,64,35
80,81,81,Jeff Overton,92,54.29,70,38
81,T82,T82,Brian Davis,105,54.17,72,39
82,T82,T82,Martin Laird,77,54.17,48,26
83,84,84,Ryan Palmer,82,54.1,61,33
84,T85,T85,Andres Gonzales,60,54.05,37,20
85,T85,T85,Webb Simpson,98,54.05,74,40
86,87,87,Bill Haas,93,54.0,50,27
87,T88,T88,Bobby Gates,82,53.7,54,29
88,T88,T88,Phil Mickelson,79,53.7,54,29
89,T90,T90,Keegan Bradley,91,53.33,75,40
90,T90,T90,Tim Herron,85,53.33,60,32
91,T92,T92,Shaun Micheel,77,53.23,62,33
92,T92,T92,Kyle Stanley,98,53.23,62,33
93,T94,T94,Rich Beem,53,53.19,47,25
94,T94,T94,David Mathis,83,53.19,47,25
95,96,96,Brandt Snedeker,85,53.13,32,17
96,97,97,Charlie Wi,83,52.94,68,36
97,T98,T98,Justin Leonard,82,52.83,53,28
98,T98,T98,Michael Putnam,67,52.83,53,28
99,100,100,Alex Cejka,59,52.78,36,19
100,101,101,Troy Matteson,91,52.63,76,40
101,102,102,Jarrod Lyle,83,52.46,61,32
102,103,103,Brandt Jobe,100,52.24,67,35
103,104,104,D.J. Trahan,91,52.0,75,39
104,105,105,Bo Van Pelt,92,51.85,54,28
105,106,106,Chris Stroud,88,51.79,56,29
106,107,107,Anthony Kim,72,51.72,58,30
107,108,108,William McGirt,103,51.67,60,31
108,109,109,Chris DiMarco,93,51.61,62,32
109,T110,T110,Greg Chalmers,88,51.56,64,33
110,T110,T110,Chez Reavie,92,51.56,64,33
111,T112,T112,Kevin Kisner,70,51.43,35,18
112,T112,T112,Spencer Levin,113,51.43,70,36
113,114,114,Robert Karlsson,61,51.35,37,19
114,115,115,Charles Howell III,108,50.59,85,43
115,T116,T116,Kris Blanks,92,50.0,66,33
116,T116,T116,Steven Bowditch,86,50.0,72,36
