,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Steve Stricker,70,35.33,289,818
1,2,2,Andres Romero,77,34.47,294,853
2,3,3,Luke Donald,73,34.11,277,812
3,T4,T4,Steven Bowditch,86,33.8,316,935
4,T4,T4,Jason Day,76,33.8,288,852
5,6,6,Rickie Fowler,84,33.69,315,935
6,7,7,J.B. Holmes,57,33.54,212,632
7,8,8,Dustin Johnson,72,33.41,291,871
8,9,9,Webb Simpson,98,33.28,409,1229
9,10,10,Nick Watney,80,33.26,308,926
10,11,11,Kevin Na,84,33.12,305,921
11,12,12,Aaron Baddeley,77,32.99,291,882
12,13,13,Geoff Ogilvy,69,32.53,242,744
13,14,14,Brandt Snedeker,85,32.52,321,987
14,15,15,Ángel Cabrera,50,32.51,172,529
15,16,16,Hunter Mahan,92,32.36,356,1100
16,17,17,Charley Hoffman,93,32.24,355,1101
17,18,18,Chris Couch,73,32.16,273,849
18,19,19,Bubba Watson,85,31.96,317,992
19,20,20,Matt Kuchar,94,31.86,338,1061
20,21,21,Robert Garrigus,83,31.85,314,986
21,22,22,Bryce Molder,82,31.84,298,936
22,23,23,Martin Laird,77,31.57,287,909
23,24,24,Phil Mickelson,79,31.46,291,925
24,25,25,Kyle Stanley,98,31.45,346,1100
25,26,26,Carl Pettersson,95,31.42,345,1098
26,27,27,Steve Marino,76,31.33,281,897
27,28,28,Pat Perez,76,31.28,279,892
28,29,29,Scott Piercy,78,31.24,274,877
29,30,30,Joe Ogilvie,75,31.21,235,753
30,31,31,Lee Janzen,62,31.17,197,632
31,32,32,Anthony Kim,72,31.13,245,787
32,33,33,Steve Flesch,88,31.08,281,904
33,T34,T34,Chris Kirk,87,31.03,323,1041
34,T34,T34,Gary Woodland,93,31.03,360,1160
35,36,36,D.A. Points,89,30.95,321,1037
36,37,37,Freddie Jacobson,92,30.94,297,960
37,38,38,Adam Scott,60,30.83,222,720
38,39,39,Vijay Singh,79,30.72,290,944
39,40,40,Retief Goosen,50,30.69,174,567
40,41,41,Lucas Glover,74,30.67,269,877
41,42,42,Charlie Wi,83,30.6,291,951
42,43,43,Tommy Gainey,104,30.56,368,1204
43,44,44,Jhonattan Vegas,84,30.54,295,966
44,45,45,Ryan Palmer,82,30.53,280,917
45,46,46,Brendon de Jonge,105,30.49,368,1207
46,T47,T47,Robert Karlsson,61,30.46,205,673
47,T47,T47,Ryan Moore,79,30.46,258,847
48,49,49,Keegan Bradley,91,30.32,312,1029
49,50,50,Bio Kim,71,30.26,210,694
50,T51,T51,Brian Davis,105,30.19,384,1272
51,T51,T51,Matt Jones,71,30.19,240,795
52,53,53,Chez Reavie,92,30.16,342,1134
53,54,54,Y.E. Yang,63,30.12,200,664
54,55,55,Blake Adams,116,30.07,396,1317
55,56,56,Charl Schwartzel,58,30.06,199,662
56,57,57,George McNeill,69,30.0,210,700
57,58,58,Ben Martin,74,29.85,243,814
58,59,59,Hunter Haas,96,29.84,327,1096
59,60,60,Matt Bettencourt,84,29.81,279,936
60,61,61,Shane Bertsch,62,29.77,192,645
61,62,62,Cameron Beckman,71,29.74,226,760
62,63,63,Stewart Cink,72,29.71,227,764
63,64,64,David Toms,78,29.65,276,931
64,65,65,James Driscoll,71,29.61,220,743
65,T66,T66,Arjun Atwal,91,29.57,306,1035
66,T66,T66,Graeme McDowell,50,29.57,165,558
67,68,68,Josh Teater,104,29.54,348,1178
68,69,69,Jason Dufner,78,29.53,277,938
69,70,70,Brendan Steele,89,29.52,302,1023
70,71,71,Woody Austin,59,29.51,188,637
71,72,72,Jonathan Byrd,83,29.5,285,966
72,73,73,Bo Van Pelt,92,29.45,324,1100
73,74,74,Scott Stallings,84,29.44,275,934
74,75,75,Bill Lunde,92,29.39,323,1099
75,76,76,Jeff Overton,92,29.38,310,1055
76,77,77,Kevin Stadler,88,29.35,287,978
77,78,78,Aron Price,58,29.3,184,628
78,79,79,Kevin Streelman,90,29.28,311,1062
79,80,80,Greg Chalmers,88,29.26,275,940
80,81,81,David Mathis,83,29.21,260,890
81,T82,T82,Brandt Jobe,100,29.17,348,1193
82,T82,T82,Justin Rose,79,29.17,280,960
83,84,84,Zack Miller,86,29.15,265,909
84,85,85,Ian Poulter,52,29.12,175,601
85,86,86,Zach Johnson,79,29.11,271,931
86,87,87,Brian Gay,90,29.08,285,980
87,88,88,Bill Haas,93,29.06,333,1146
88,89,89,Jimmy Walker,79,29.03,263,906
89,90,90,Rory Sabbatini,85,28.99,278,959
90,91,91,Camilo Villegas,69,28.95,220,760
91,92,92,Paul Stankowski,78,28.91,244,844
92,93,93,John Rollins,85,28.9,298,1031
93,94,94,Troy Matteson,91,28.84,295,1023
94,95,95,John Merrick,71,28.83,224,777
95,96,96,Jason Bohn,74,28.81,244,847
96,97,97,Matt McQuillan,59,28.8,178,618
97,98,98,Kevin Chappell,78,28.79,241,837
98,T99,T99,David Duval,67,28.76,222,772
99,T99,T99,Tag Ridings,87,28.76,266,925
100,T99,T99,Vaughn Taylor,89,28.76,304,1057
101,102,102,Harrison Frazar,58,28.73,187,651
102,103,103,Scott McCarron,65,28.72,191,665
103,104,104,Boo Weekley,66,28.7,229,798
104,105,105,Marc Leishman,87,28.67,289,1008
105,106,106,Jim Renner,65,28.64,191,667
106,107,107,John Senden,94,28.61,343,1199
107,108,108,Ryuji Imada,83,28.57,274,959
108,109,109,Sung Kang,63,28.55,195,683
109,110,110,Andres Gonzales,60,28.52,172,603
110,111,111,Michael Thompson,79,28.44,244,858
111,112,112,Chris Stroud,88,28.42,287,1010
112,T113,T113,Billy Mayfair,94,28.4,315,1109
113,T113,T113,Tim Petrovic,88,28.4,267,940
114,115,115,Tim Herron,85,28.38,271,955
115,T116,T116,Roland Thatcher,67,28.29,219,774
116,T116,T116,Garrett Willis,71,28.29,226,799
117,T118,T118,Billy Horschel,75,28.25,235,832
118,T118,T118,Derek Lamely,65,28.25,200,708
119,T120,T120,Ben Crane,76,28.24,246,871
120,T120,T120,Padraig Harrington,60,28.24,192,680
121,122,122,Kevin Kisner,70,28.22,197,698
122,123,123,Rod Pampling,72,28.12,212,754
123,124,124,D.J. Brigman,67,28.11,181,644
124,125,125,Fabián Gómez,84,28.07,249,887
125,126,126,Robert Allenby,84,28.03,282,1006
126,127,127,Davis Love III,70,28.02,241,860
127,128,128,Cameron Tringale,110,28.0,359,1282
128,129,129,Will Strickler,51,27.97,146,522
129,130,130,Spencer Levin,113,27.85,371,1332
