,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
0,1,1,Charl Schwartzel,58,30.36,56,17
1,T2,T2,Jarrod Lyle,83,28.57,140,40
2,T2,T2,Steve Marino,76,28.57,112,32
3,4,4,Charlie Wi,83,27.74,137,38
4,5,5,Lucas Glover,74,26.77,127,34
5,6,6,James Driscoll,71,26.36,110,29
6,7,7,Jason Day,76,26.09,115,30
7,8,8,Zach Johnson,79,25.35,142,36
8,9,9,Andres Gonzales,60,25.3,83,21
9,10,10,Greg Chalmers,88,25.18,139,35
10,11,11,Scott McCarron,65,24.74,97,24
11,12,12,Steven Bowditch,86,24.59,122,30
12,13,13,Luke Donald,73,24.53,106,26
13,14,14,Robert Karlsson,61,23.86,88,21
14,15,15,Rickie Fowler,84,23.73,118,28
15,16,16,Kevin Kisner,70,23.58,106,25
16,17,17,Nick Watney,80,23.53,119,28
17,18,18,Pat Perez,76,23.48,132,31
18,19,19,Steve Stricker,70,23.23,99,23
19,20,20,Ryan Moore,79,23.21,112,26
20,21,21,Graeme McDowell,50,23.19,69,16
21,22,22,John Merrick,71,23.02,126,29
22,23,23,Chris Couch,73,22.79,136,31
23,24,24,K.J. Choi,77,22.76,145,33
24,T25,T25,Harrison Frazar,58,22.67,75,17
25,T25,T25,Marc Leishman,87,22.67,150,34
26,T25,T25,Bill Lunde,92,22.67,172,39
27,28,28,David Hearn,88,22.63,190,43
28,29,29,Joe Ogilvie,75,22.52,111,25
29,30,30,John Senden,94,22.49,169,38
30,31,31,Bryce Molder,82,22.45,147,33
31,32,32,Ben Crane,76,22.43,107,24
32,T33,T33,Bill Haas,93,22.3,139,31
33,T33,T33,Matt Kuchar,94,22.3,139,31
34,35,35,Marc Turnesa,54,22.22,90,20
35,36,36,Briny Baird,60,22.02,109,24
36,37,37,Ben Curtis,66,21.97,132,29
37,38,38,Kyle Stanley,98,21.71,152,33
38,39,39,Keegan Bradley,91,21.68,143,31
39,40,40,Arjun Atwal,91,21.67,180,39
40,41,41,Scott Stallings,84,21.62,148,32
41,42,42,Jeff Overton,92,21.58,139,30
42,43,43,Ángel Cabrera,50,21.54,65,14
43,44,44,Cameron Tringale,110,21.43,182,39
44,45,45,Adam Scott,60,21.33,75,16
45,46,46,Vaughn Taylor,89,21.3,169,36
46,47,47,George McNeill,69,21.28,94,20
47,48,48,Hunter Haas,96,21.24,193,41
48,49,49,Steve Elkington,50,21.13,71,15
49,50,50,Shane Bertsch,62,21.1,109,23
50,51,51,Jimmy Walker,79,21.05,133,28
51,52,52,Hunter Mahan,92,20.98,143,30
52,53,53,Tag Ridings,87,20.95,148,31
53,T54,T54,David Mathis,83,20.77,130,27
54,T54,T54,Gary Woodland,93,20.77,130,27
55,56,56,Jim Renner,65,20.75,106,22
56,57,57,Kevin Na,84,20.63,126,26
57,58,58,Y.E. Yang,63,20.62,97,20
58,T59,T59,Robert Allenby,84,20.61,131,27
59,T59,T59,Scott Piercy,78,20.61,131,27
60,T61,T61,Blake Adams,116,20.59,204,42
61,T61,T61,Bo Van Pelt,92,20.59,136,28
62,63,63,Tommy Gainey,104,20.54,185,38
63,64,64,Ryuji Imada,83,20.47,127,26
64,T65,T65,Brian Davis,105,20.44,181,37
65,T65,T65,Tim Herron,85,20.44,137,28
66,67,67,Tom Gillis,55,20.39,103,21
67,68,68,Andres Romero,77,20.34,118,24
68,T69,T69,Dustin Johnson,72,20.33,123,25
69,T69,T69,Kent Jones,76,20.33,123,25
70,T69,T69,Matt Jones,71,20.33,123,25
71,72,72,Billy Mayfair,94,20.28,143,29
72,73,73,J.B. Holmes,57,20.22,89,18
73,74,74,Ernie Els,71,20.17,119,24
74,75,75,Chris Riley,76,20.16,129,26
75,76,76,Jason Bohn,74,20.14,144,29
76,T77,T77,Carl Pettersson,95,20.0,180,36
77,T77,T77,Chez Reavie,92,20.0,180,36
78,T79,T79,Jason Dufner,78,19.85,136,27
79,T79,T79,Sean O'Hair,71,19.85,131,26
80,81,81,D.A. Points,89,19.84,126,25
81,82,82,Rory Sabbatini,85,19.82,111,22
82,83,83,Aron Price,58,19.8,101,20
83,84,84,Michael Thompson,79,19.72,142,28
84,85,85,Martin Laird,77,19.53,128,25
85,86,86,Padraig Harrington,60,19.51,82,16
86,87,87,Ryan Palmer,82,19.27,109,21
87,88,88,Paul Stankowski,78,19.26,135,26
88,89,89,Chris Stroud,88,19.18,146,28
