,1-Putts_per_Round_RANK THIS WEEK,1-Putts_per_Round_RANK LAST WEEK,1-Putts_per_Round_PLAYER NAME,1-Putts_per_Round_ROUNDS,1-Putts_per_Round_AVG,1-Putts_per_Round_TOTAL 1 PUTTS,1-Putts_per_Round_TOTAL ROUNDS
0,1,1,Steve Stricker,70,8.06,556,69
1,2,2,Kevin Na,84,7.96,669,84
2,3,3,Luke Donald,73,7.9,529,67
3,4,4,Jason Day,76,7.84,572,73
4,5,5,Greg Chalmers,88,7.78,685,88
5,6,6,Geoff Ogilvy,69,7.7,508,66
6,7,7,Brandt Snedeker,85,7.65,650,85
7,T8,T8,Bryce Molder,82,7.55,619,82
8,T8,T8,Andres Romero,77,7.55,581,77
9,10,10,Charlie Wi,83,7.51,623,83
10,T11,T11,Anthony Kim,72,7.45,529,71
11,T11,T11,Ryan Moore,79,7.45,559,75
12,T11,T11,Pat Perez,76,7.45,566,76
13,14,14,Rickie Fowler,84,7.43,602,81
14,15,15,Chris Couch,73,7.42,542,73
15,16,16,Matt Kuchar,94,7.41,652,88
16,17,17,Roland Thatcher,67,7.39,495,67
17,18,18,Ryan Palmer,82,7.38,590,80
18,19,19,Y.E. Yang,63,7.37,435,59
19,20,20,Nick Watney,80,7.36,567,77
20,21,21,Zach Johnson,79,7.33,572,78
21,T22,T22,Aaron Baddeley,77,7.31,563,77
22,T22,T22,Dean Wilson,62,7.31,453,62
23,T24,T24,Padraig Harrington,60,7.27,429,59
24,T24,T24,Robert Karlsson,61,7.27,429,59
25,T24,T24,Jimmy Walker,79,7.27,574,79
26,T27,T27,Brian Gay,90,7.23,651,90
27,T27,T27,Matt Jones,71,7.23,513,71
28,29,29,D.A. Points,89,7.22,643,89
29,30,30,Arjun Atwal,91,7.21,656,91
30,T31,T31,Steve Marino,76,7.2,547,76
31,T31,T31,Webb Simpson,98,7.2,706,98
32,33,33,Vaughn Taylor,89,7.18,639,89
33,34,34,Steve Flesch,88,7.17,631,88
34,35,35,Brian Davis,105,7.14,750,105
35,36,36,Ryuji Imada,83,7.13,592,83
36,T37,T37,Steven Bowditch,86,7.12,612,86
37,T37,T37,Ian Poulter,52,7.12,363,51
38,39,39,Ben Crane,76,7.11,519,73
39,40,40,Phil Mickelson,79,7.1,547,77
40,41,41,Chris Kirk,87,7.09,617,87
41,42,42,Kevin Streelman,90,7.07,636,90
42,43,43,Mark Wilson,89,7.06,614,87
43,44,44,Martin Laird,77,7.04,535,76
44,T45,T45,David Duval,67,7.03,471,67
45,T45,T45,Hunter Mahan,92,7.03,626,89
46,T45,T45,Adam Scott,60,7.03,415,59
47,T45,T45,Camilo Villegas,69,7.03,478,68
48,49,49,Matt Bettencourt,84,7.01,589,84
49,50,50,Carl Pettersson,95,6.99,664,95
50,T51,T51,Stuart Appleby,65,6.98,454,65
51,T51,T51,Jonathan Byrd,83,6.98,572,82
52,T51,T51,Justin Leonard,82,6.98,572,82
53,T51,T51,Charl Schwartzel,58,6.98,391,56
54,55,55,Lucas Glover,74,6.97,516,74
55,T56,T56,Michael Connell,76,6.96,529,76
56,T56,T56,Retief Goosen,50,6.96,341,49
57,T56,T56,Freddie Jacobson,92,6.96,640,92
58,T59,T59,Brendon de Jonge,105,6.95,730,105
59,T59,T59,Nathan Green,81,6.95,563,81
60,61,61,Vijay Singh,79,6.94,548,79
61,T62,T62,Blake Adams,116,6.93,804,116
62,T62,T62,Tim Petrovic,88,6.93,610,88
63,64,64,Scott McCarron,65,6.92,450,65
64,65,65,Marc Leishman,87,6.9,600,87
65,T66,T66,Ben Curtis,66,6.88,454,66
66,T66,T66,Harrison Frazar,58,6.88,399,58
67,68,68,Bo Van Pelt,92,6.86,617,90
68,69,69,Graeme McDowell,50,6.83,321,47
69,70,70,J.P. Hayes,56,6.82,382,56
70,71,71,Jeff Overton,92,6.81,620,91
71,T72,T72,Robert Garrigus,83,6.8,564,83
72,T72,T72,Paul Goydos,81,6.8,551,81
73,T72,T72,Garrett Willis,71,6.8,483,71
74,T75,T75,Sergio Garcia,61,6.79,414,61
75,T75,T75,Hunter Haas,96,6.79,652,96
76,T77,T77,Tim Herron,85,6.78,576,85
77,T77,T77,David Mathis,83,6.78,563,83
78,T79,T79,Cameron Beckman,71,6.76,480,71
79,T79,T79,Chris DiMarco,93,6.76,629,93
80,T79,T79,Jason Dufner,78,6.76,527,78
81,T79,T79,Matt McQuillan,59,6.76,399,59
82,83,83,Chez Reavie,92,6.75,621,92
83,T84,T84,Steve Elkington,50,6.74,337,50
84,T84,T84,Scott Piercy,78,6.74,526,78
85,T86,T86,K.J. Choi,77,6.72,504,75
86,T86,T86,J.B. Holmes,57,6.72,356,53
87,88,88,Jarrod Lyle,83,6.7,556,83
88,T89,T89,Ricky Barnes,78,6.69,522,78
89,T89,T89,Bio Kim,71,6.69,475,71
90,91,91,Ángel Cabrera,50,6.68,334,50
91,92,92,Robert Allenby,84,6.67,554,83
92,T93,T93,Woody Austin,59,6.66,393,59
93,T93,T93,Jerry Kelly,85,6.66,566,85
94,T93,T93,Sean O'Hair,71,6.66,466,70
95,T96,T96,Stephen Ames,69,6.65,459,69
96,T96,T96,Jim Furyk,87,6.65,572,86
97,T96,T96,Nate Smith,66,6.65,439,66
98,T96,T96,David Toms,78,6.65,519,78
99,T100,T100,Jason Bohn,74,6.64,491,74
100,T100,T100,Rocco Mediate,53,6.64,352,53
101,T100,T100,Joe Ogilvie,75,6.64,498,75
102,T100,T100,Paul Stankowski,78,6.64,518,78
103,104,104,Charley Hoffman,93,6.63,610,92
104,105,105,Justin Rose,79,6.62,510,77
105,T106,T106,Tommy Gainey,104,6.61,687,104
106,T106,T106,Bill Haas,93,6.61,608,92
107,108,108,Michael Putnam,67,6.6,442,67
108,T109,T109,Dustin Johnson,72,6.59,468,71
109,T109,T109,Bubba Watson,85,6.59,521,79
110,111,111,Kevin Chappell,78,6.58,513,78
111,112,112,Michael Thompson,79,6.57,519,79
112,T113,T113,Keegan Bradley,91,6.56,597,91
113,T113,T113,Alex Cejka,59,6.56,387,59
114,T113,T113,Charles Howell III,108,6.56,708,108
115,116,116,Brendan Steele,89,6.55,583,89
116,T117,T117,Rich Beem,53,6.53,346,53
117,T117,T117,Zack Miller,86,6.53,562,86
118,T119,T119,Chris Stroud,88,6.52,574,88
