,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Charlie Wi,25,33.8
1,2,2,Bryce Molder,27,53.9
2,3,3,Steve Stricker,19,54.0
3,4,4,Luke Donald,19,54.6
4,5,5,Ryan Moore,22,56.8
5,6,6,Nick Watney,22,62.6
6,7,7,Greg Chalmers,28,63.7
7,8,8,Freddie Jacobson,25,64.6
8,9,9,Kevin Na,26,74.8
9,10,10,Brandt Snedeker,26,83.4
10,11,11,Chris Couch,21,83.8
11,12,12,Brian Gay,26,87.4
12,13,13,Blake Adams,34,90.8
13,14,14,Jason Day,21,91.9
14,15,15,Y.E. Yang,18,96.9
15,16,16,Ángel Cabrera,17,97.7
16,17,17,Ian Poulter,16,100.8
17,18,18,Andres Romero,22,102.4
18,19,19,David Toms,23,105.1
19,20,20,Zach Johnson,23,106.4
20,21,21,Aaron Baddeley,22,106.8
21,22,22,Matt Kuchar,24,108.0
22,23,23,Michael Thompson,25,111.3
23,24,24,Dean Wilson,22,111.8
24,25,25,Jonathan Byrd,26,117.2
25,26,26,Rickie Fowler,24,118.9
26,27,27,Carl Pettersson,27,119.0
27,28,28,Steve Flesch,27,119.2
28,29,29,Martin Laird,23,123.6
29,30,30,Geoff Ogilvy,21,125.0
30,31,31,Brendon de Jonge,30,128.1
31,32,32,Kevin Kisner,24,128.5
32,33,33,Kevin Streelman,26,129.3
33,34,34,Steve Elkington,17,130.8
34,35,35,Jeff Overton,26,131.3
35,36,36,Ben Crane,23,133.3
36,37,37,Webb Simpson,26,133.4
37,T38,T38,Jerry Kelly,26,134.9
38,T38,T38,Ben Martin,25,134.9
39,40,40,Andres Gonzales,21,136.9
40,T41,T41,Michael Putnam,21,138.1
41,T41,T41,John Senden,26,138.1
42,43,43,Hunter Mahan,25,139.5
43,44,44,Charles Howell III,30,140.0
44,45,45,Bill Haas,26,145.8
45,46,46,Robert Karlsson,18,148.0
46,47,47,George McNeill,21,148.3
47,48,48,Scott McCarron,22,150.8
48,49,49,David Mathis,25,152.0
49,50,50,Tim Petrovic,29,154.4
50,51,51,Roland Thatcher,22,154.8
51,52,52,Cameron Tringale,32,155.2
52,53,53,Nate Smith,24,155.6
53,54,54,Colt Knost,27,158.3
54,55,55,Anthony Kim,26,159.6
55,56,56,Ben Curtis,23,160.2
56,57,57,Richard Johnson,23,160.7
57,58,58,Marc Turnesa,20,163.5
58,59,59,Tag Ridings,28,164.2
59,T60,T60,Hunter Haas,30,164.4
60,T60,T60,Vaughn Taylor,27,164.4
61,62,62,David Hearn,26,166.3
62,63,63,Trevor Immelman,25,166.4
63,T64,T64,Matt McQuillan,21,166.5
64,T64,T64,Brendan Steele,27,166.5
65,66,66,Johnson Wagner,25,167.2
66,67,67,Woody Austin,18,168.8
67,68,68,Retief Goosen,16,169.7
68,69,69,Padraig Harrington,18,170.2
69,70,70,Lee Janzen,19,171.3
70,71,71,Stewart Cink,22,174.8
71,T72,T72,J.B. Holmes,16,176.3
72,T72,T72,Will Strickler,19,176.3
73,74,74,Mark Wilson,26,176.6
74,75,75,William McGirt,32,176.9
75,76,76,Tommy Gainey,34,177.1
76,77,77,D.A. Points,26,177.3
77,78,78,Matt Bettencourt,30,177.5
78,79,79,Steven Bowditch,28,177.8
79,80,80,Tim Herron,28,179.8
80,81,81,Lucas Glover,23,184.7
81,82,82,Jimmy Walker,24,185.3
82,83,83,Scott Piercy,23,186.1
83,84,84,Briny Baird,19,186.3
84,85,85,Martin Piller,23,186.7
85,86,86,Brian Davis,30,186.8
86,87,87,Paul Stankowski,24,191.1
87,88,88,Josh Teater,31,196.5
88,89,89,Pat Perez,24,197.8
89,90,90,Shane Bertsch,20,198.3
90,91,91,Nathan Green,26,198.5
91,92,92,Matt Jones,25,200.3
92,93,93,Joe Ogilvie,24,201.0
93,94,94,Justin Rose,23,201.3
94,95,95,Davis Love III,22,201.5
95,96,96,J.J. Henry,28,206.0
96,97,97,Jim Renner,22,207.8
97,98,98,Kent Jones,25,209.4
98,99,99,Ryan Palmer,24,210.3
99,100,100,Justin Leonard,26,211.1
100,101,101,Shaun Micheel,27,211.8
101,102,102,Jason Dufner,23,213.1
102,103,103,Rory Sabbatini,24,214.4
103,104,104,Spencer Levin,31,214.5
104,105,105,Graeme McDowell,16,215.0
105,106,106,Keegan Bradley,28,216.8
106,107,107,Scott Stallings,28,217.8
107,108,108,Aron Price,18,218.3
