,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Luke Donald,73,1.7,1380,812,34.11,41
1,2,2,Steve Stricker,70,1.71,1402,820,35.33,78
2,3,3,Rickie Fowler,84,1.723,1620,940,33.69,T120
3,4,4,Kevin Na,84,1.724,1591,923,33.12,180
4,T5,T5,Andres Romero,77,1.7269999999999999,1478,856,34.47,T146
5,T5,T5,Brandt Snedeker,85,1.7269999999999999,1715,993,32.52,113
6,7,7,Bryce Molder,82,1.73,1619,936,31.84,108
7,8,8,Webb Simpson,98,1.7309999999999999,2133,1232,33.28,8
8,9,9,Greg Chalmers,88,1.732,1642,948,29.26,179
9,10,10,Matt Kuchar,94,1.735,1841,1061,31.86,50
10,11,11,Jason Day,76,1.7369999999999999,1482,853,33.8,T110
11,12,12,Nick Watney,80,1.7380000000000002,1611,927,33.26,T54
12,13,13,Freddie Jacobson,92,1.739,1671,961,30.94,143
13,T14,T14,Aaron Baddeley,77,1.7409999999999999,1539,884,32.99,T97
14,T14,T14,Steven Bowditch,86,1.7409999999999999,1635,939,33.8,141
15,16,16,Carl Pettersson,95,1.744,1920,1101,31.42,89
16,T17,T17,Steve Flesch,88,1.7469999999999999,1581,905,31.08,185
17,T17,T17,Lee Janzen,62,1.7469999999999999,1111,636,31.17,153
18,19,19,Brendon de Jonge,105,1.7480000000000002,2112,1208,30.49,65
19,T20,T20,Chris Couch,73,1.749,1494,854,32.16,109
20,T20,T20,Geoff Ogilvy,69,1.749,1301,744,32.53,T157
21,T20,T20,David Toms,78,1.749,1635,935,29.65,6
22,23,23,Shane Bertsch,62,1.75,1136,649,29.77,126
23,T24,T24,Chris Kirk,87,1.751,1828,1044,31.03,T58
24,T24,T24,Hunter Mahan,92,1.751,1930,1102,32.36,22
25,T24,T24,Joe Ogilvie,75,1.751,1322,755,31.21,161
26,T27,T27,Lucas Glover,74,1.754,1540,878,30.67,82
27,T27,T27,Charlie Wi,83,1.754,1668,951,30.6,140
28,T29,T29,Brian Gay,90,1.755,1723,982,29.08,145
29,T29,T29,Pat Perez,76,1.755,1571,895,31.28,100
30,T31,T31,George McNeill,69,1.756,1238,705,30.0,132
31,T31,T31,Ryan Moore,79,1.756,1491,849,30.46,155
32,T31,T31,Vaughn Taylor,89,1.756,1858,1058,28.76,76
33,34,34,Brian Davis,105,1.757,2237,1273,30.19,40
34,35,35,Zach Johnson,79,1.758,1638,932,29.11,67
35,36,36,Dustin Johnson,72,1.7590000000000001,1537,874,33.41,27
36,T37,T37,Martin Laird,77,1.761,1604,911,31.57,61
37,T37,T37,Matt McQuillan,59,1.761,1092,620,28.8,T157
38,T37,T37,Ian Poulter,52,1.761,1060,602,29.12,96
39,T40,T40,Blake Adams,116,1.7619999999999998,2326,1320,30.07,T97
40,T40,T40,J.B. Holmes,57,1.7619999999999998,1117,634,33.54,T63
41,T40,T40,Matt Jones,71,1.7619999999999998,1404,797,30.19,165
42,T40,T40,Anthony Kim,72,1.7619999999999998,1387,787,31.13,176
43,T44,T44,Charley Hoffman,93,1.7630000000000001,1950,1106,32.24,57
44,T44,T44,Sung Kang,63,1.7630000000000001,1213,688,28.55,116
45,T46,T46,Arjun Atwal,91,1.767,1831,1036,29.57,149
46,T46,T46,Keegan Bradley,91,1.767,1824,1032,30.32,83
47,T46,T46,Ángel Cabrera,50,1.767,935,529,32.51,137
48,T46,T46,David Mathis,83,1.767,1574,891,29.21,129
49,T50,T50,Jonathan Byrd,83,1.768,1713,969,29.5,91
50,T50,T50,Hunter Haas,96,1.768,1940,1097,29.84,71
51,T50,T50,Steve Marino,76,1.768,1591,900,31.33,88
52,T50,T50,Jeff Overton,92,1.768,1869,1057,29.38,119
53,T54,T54,Chez Reavie,92,1.7690000000000001,2010,1136,30.16,26
54,T54,T54,Kyle Stanley,98,1.7690000000000001,1955,1105,31.45,30
55,56,56,Woody Austin,59,1.77,1129,638,29.51,T54
56,T57,T57,Kevin Kisner,70,1.771,1236,698,28.22,184
57,T57,T57,Camilo Villegas,69,1.771,1355,765,28.95,163
58,T59,T59,Matt Bettencourt,84,1.7719999999999998,1664,939,29.81,169
59,T59,T59,Ryan Palmer,82,1.7719999999999998,1627,918,30.53,139
60,T59,T59,D.A. Points,89,1.7719999999999998,1843,1040,30.95,T110
61,T59,T59,Adam Scott,60,1.7719999999999998,1281,723,30.83,32
62,T59,T59,Jimmy Walker,79,1.7719999999999998,1611,909,29.03,136
63,T64,T64,Michael Bradley,74,1.7730000000000001,1511,852,26.97,37
64,T64,T64,Tim Herron,85,1.7730000000000001,1697,957,28.38,T92
65,T64,T64,Ben Martin,74,1.7730000000000001,1447,816,29.85,117
66,T64,T64,Scott Piercy,78,1.7730000000000001,1555,877,31.24,T85
67,T64,T64,Nate Smith,66,1.7730000000000001,1179,665,27.75,177
68,T69,T69,Cameron Beckman,71,1.774,1352,762,29.74,151
69,T69,T69,Tommy Gainey,104,1.774,2139,1206,30.56,T48
70,T69,T69,Bio Kim,71,1.774,1235,696,30.26,186
71,T69,T69,Nick O'Hern,89,1.774,1809,1020,27.21,T58
72,T69,T69,Michael Thompson,79,1.774,1522,858,28.44,T101
73,T74,T74,Jason Bohn,74,1.775,1505,848,28.81,T42
74,T74,T74,Bill Haas,93,1.775,2041,1150,29.06,11
75,T74,T74,Aron Price,58,1.775,1115,628,29.3,46
76,T77,T77,Retief Goosen,50,1.776,1009,568,30.69,125
77,T77,T77,Robert Karlsson,61,1.776,1195,673,30.46,148
78,T77,T77,Graeme McDowell,50,1.776,993,559,29.57,75
79,T80,T80,Ryuji Imada,83,1.777,1706,960,28.57,T130
80,T80,T80,Jerry Kelly,85,1.777,1695,954,27.23,70
81,T80,T80,Tim Petrovic,88,1.777,1670,940,28.4,167
82,T80,T80,Dean Wilson,62,1.777,1242,699,27.26,T157
83,T84,T84,Scott McCarron,65,1.778,1186,667,28.72,183
84,T84,T84,Phil Mickelson,79,1.778,1650,928,31.46,51
85,T84,T84,Garrett Willis,71,1.778,1422,800,28.29,124
86,T87,T87,Chris DiMarco,93,1.7790000000000001,1855,1043,27.76,106
87,T87,T87,Sergio Garcia,61,1.7790000000000001,1306,734,27.63,56
88,T87,T87,Fabián Gómez,84,1.7790000000000001,1587,892,28.07,T104
89,T87,T87,Josh Teater,104,1.7790000000000001,2099,1180,29.54,53
90,T87,T87,Y.E. Yang,63,1.7790000000000001,1181,664,30.12,162
91,T92,T92,Troy Matteson,91,1.78,1830,1028,28.84,T92
92,T92,T92,Rod Pampling,72,1.78,1351,759,28.12,84
93,T92,T92,Charl Schwartzel,58,1.78,1184,665,30.06,79
94,T95,T95,Jim Furyk,87,1.781,1863,1046,26.51,38
95,T95,T95,Spencer Levin,113,1.781,2376,1334,27.85,35
96,T95,T95,Paul Stankowski,78,1.781,1505,845,28.91,T104
97,T95,T95,Brendan Steele,89,1.781,1826,1025,29.52,99
98,T99,T99,Roland Thatcher,67,1.7819999999999998,1381,775,28.29,T130
99,T99,T99,Mark Wilson,89,1.7819999999999998,1843,1034,27.62,77
100,T101,T101,Jason Dufner,78,1.7830000000000001,1676,940,29.53,52
101,T101,T101,David Duval,67,1.7830000000000001,1378,773,28.76,135
102,T101,T101,Robert Garrigus,83,1.7830000000000001,1762,988,31.85,72
103,T104,T104,Stewart Cink,72,1.784,1363,764,29.71,128
104,T104,T104,Ben Crane,76,1.784,1556,872,28.24,T68
105,T104,T104,Padraig Harrington,60,1.784,1215,681,28.24,T133
106,T104,T104,Justin Rose,79,1.784,1718,963,29.17,10
107,T108,T108,Kevin Chappell,78,1.785,1501,841,28.79,114
108,T108,T108,Marc Leishman,87,1.785,1801,1009,28.67,122
109,T108,T108,Bubba Watson,85,1.785,1773,993,31.96,9
110,T111,T111,Alex Cejka,59,1.786,1254,702,27.25,74
111,T111,T111,John Merrick,71,1.786,1391,779,28.83,24
112,T111,T111,Tag Ridings,87,1.786,1656,927,28.76,142
113,T111,T111,Kevin Stadler,88,1.786,1750,980,29.35,33
114,T115,T115,Stephen Ames,69,1.787,1365,764,27.0,T101
115,T115,T115,K.J. Choi,77,1.787,1590,890,27.36,81
116,T115,T115,Bill Lunde,92,1.787,1964,1099,29.39,13
117,T115,T115,John Rollins,85,1.787,1844,1032,28.9,16
118,T115,T115,Chris Stroud,88,1.787,1810,1013,28.42,T48
119,T120,T120,Nathan Green,81,1.788,1545,864,27.61,166
120,T120,T120,Rory Sabbatini,85,1.788,1716,960,28.99,T85
121,T120,T120,Kevin Streelman,90,1.788,1901,1063,29.28,94
122,T123,T123,Andres Gonzales,60,1.7890000000000001,1079,603,28.52,123
123,T123,T123,Bo Van Pelt,92,1.7890000000000001,1972,1102,29.45,34
124,T125,T125,Charles Howell III,108,1.79,2309,1290,27.43,19
125,T125,T125,Cameron Tringale,110,1.79,2298,1284,28.0,T42
126,T127,T127,Harrison Frazar,58,1.791,1168,652,28.73,164
127,T127,T127,Billy Horschel,75,1.791,1492,833,28.25,47
128,T127,T127,Trevor Immelman,84,1.791,1845,1030,25.88,31
129,T127,T127,Billy Mayfair,94,1.791,1995,1114,28.4,23
130,T127,T127,Scott Stallings,84,1.791,1675,935,29.44,60
131,T132,T132,Brandt Jobe,100,1.7919999999999998,2141,1195,29.17,14
132,T132,T132,Colt Knost,80,1.7919999999999998,1480,826,24.88,171
133,T132,T132,Martin Piller,63,1.7919999999999998,1161,648,27.09,181
134,T132,T132,Johnson Wagner,81,1.7919999999999998,1668,931,26.34,45
135,T136,T136,Paul Goydos,81,1.7930000000000001,1685,940,27.26,T120
136,T136,T136,Gary Woodland,93,1.7930000000000001,2084,1162,31.03,12
137,T138,T138,D.J. Brigman,67,1.794,1161,647,28.11,182
138,T138,T138,James Driscoll,71,1.794,1333,743,29.61,144
139,T138,T138,David Hearn,88,1.794,1778,991,26.67,21
140,T138,T138,William McGirt,103,1.794,2194,1223,25.94,25
141,142,142,Stuart Appleby,65,1.795,1294,721,27.58,175
142,T143,T143,Kent Jones,76,1.796,1518,845,26.15,73
143,T143,T143,Michael Putnam,67,1.796,1311,730,27.12,127
144,T143,T143,John Senden,94,1.796,2153,1199,28.61,5
145,T143,T143,Vijay Singh,79,1.796,1697,945,30.72,T63
146,T147,T147,Kris Blanks,92,1.798,2007,1116,26.64,20
147,T147,T147,Derek Lamely,65,1.798,1282,713,28.25,156
148,T147,T147,Davis Love III,70,1.798,1546,860,28.02,28
149,T147,T147,Jim Renner,65,1.798,1199,667,28.64,107
150,T147,T147,Heath Slocum,89,1.798,2033,1131,25.98,2
