,3-Putt_Avoidance_-_Round_3_RANK THIS WEEK,3-Putt_Avoidance_-_Round_3_RANK LAST WEEK,3-Putt_Avoidance_-_Round_3_PLAYER NAME,3-Putt_Avoidance_-_Round_3_%,3-Putt_Avoidance_-_Round_3_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_3_TOTAL HOLES
0,1,1,Bryce Molder,0.37,1,270
1,2,2,Matt Jones,0.56,1,180
2,3,3,Ángel Cabrera,0.69,1,144
3,4,4,Steven Bowditch,0.74,2,270
4,5,5,Trevor Immelman,0.93,3,324
5,6,6,Greg Chalmers,0.98,3,306
6,7,7,Joe Ogilvie,1.19,3,252
7,T8,T8,Nate Smith,1.23,2,162
8,T8,T8,Nick Watney,1.23,4,324
9,T10,T10,Michael Bradley,1.28,3,234
10,T10,T10,Y.E. Yang,1.28,3,234
11,T12,T12,Andres Romero,1.31,4,306
12,T12,T12,Steve Stricker,1.31,4,306
13,T12,T12,Charlie Wi,1.31,4,306
14,T15,T15,Luke Donald,1.39,4,288
15,T15,T15,Lee Janzen,1.39,3,216
16,T17,T17,Brendon de Jonge,1.45,6,414
17,T17,T17,Webb Simpson,1.45,6,414
18,T19,T19,Retief Goosen,1.52,3,198
19,T19,T19,Alexandre Rocha,1.52,3,198
20,T21,T21,Matt Kuchar,1.59,6,378
21,T21,T21,Carl Pettersson,1.59,6,378
22,T23,T23,Keegan Bradley,1.63,5,306
23,T23,T23,Jonathan Byrd,1.63,5,306
24,T23,T23,Chris DiMarco,1.63,5,306
25,T23,T23,Marc Leishman,1.63,5,306
26,T27,T27,Alex Cejka,1.67,3,180
27,T27,T27,Andres Gonzales,1.67,3,180
28,T29,T29,Bobby Gates,1.71,4,234
29,T29,T29,Robert Karlsson,1.71,4,234
30,T31,T31,George McNeill,1.74,5,288
31,T31,T31,Kevin Na,1.74,5,288
32,T33,T33,Arjun Atwal,1.85,6,324
33,T33,T33,Scott Gutschewski,1.85,4,216
34,T33,T33,Rod Pampling,1.85,5,270
35,T36,T36,Aaron Baddeley,1.96,6,306
36,T36,T36,Jason Day,1.96,6,306
37,T36,T36,Vaughn Taylor,1.96,6,306
38,T39,T39,Shane Bertsch,2.02,4,198
39,T39,T39,Kevin Kisner,2.02,4,198
40,T41,T41,Martin Laird,2.08,6,288
41,T41,T41,Johnson Wagner,2.08,6,288
42,T41,T41,Jimmy Walker,2.08,6,288
43,44,44,Freddie Jacobson,2.12,8,378
44,T45,T45,Jim Herman,2.14,5,234
45,T45,T45,Michael Putnam,2.14,5,234
46,T47,T47,Stuart Appleby,2.22,4,180
47,T47,T47,Ben Curtis,2.22,4,180
48,T47,T47,Tim Herron,2.22,6,270
49,T47,T47,Pat Perez,2.22,6,270
50,T47,T47,Dean Wilson,2.22,4,180
51,52,52,Josh Teater,2.27,9,396
52,T53,T53,Zach Johnson,2.29,7,306
53,T53,T53,Ryan Palmer,2.29,7,306
54,T53,T53,Justin Rose,2.29,7,306
55,T53,T53,David Toms,2.29,7,306
56,T57,T57,Blake Adams,2.31,10,432
