,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Bio Kim,71,"89' 4""",89.333,1
1,2,2,Roland Thatcher,67,"83' 5""",83.417,1
2,3,3,Paul Stankowski,78,"80' 10""",80.833,1
3,4,4,Joseph Bramlett,73,"70' 10""",70.833,1
4,5,5,Lee Janzen,62,"69' 9""",69.75,1
5,6,6,Matt Kuchar,94,"69' 3""",69.25,1
6,7,7,John Rollins,85,"67' 2""",67.167,1
7,8,8,Jhonattan Vegas,84,"66' 7""",133.083,2
8,9,9,Tommy Gainey,104,"65' 8""",131.25,2
9,10,10,Michael Putnam,67,"65' 2""",130.25,2
10,11,11,D.J. Brigman,67,"60' 7""",60.583,1
11,12,12,David Hearn,88,"60' 4""",120.583,2
12,13,13,Brian Davis,105,"59' 9""",119.417,2
13,14,14,Billy Mayfair,94,"57' 11""",231.583,4
14,15,15,Justin Leonard,82,"56' 10""",56.833,1
15,16,16,Arjun Atwal,91,"55' 8""",55.667,1
16,17,17,Martin Laird,77,"54' 9""",54.75,1
17,18,18,Zack Miller,86,"54' 4""",108.583,2
18,19,19,Rory Sabbatini,85,"53' 9""",107.417,2
19,20,20,Troy Merritt,63,"53' 2""",106.25,2
20,21,21,Steve Stricker,70,"51' 6""",51.5,1
21,22,22,Ben Martin,74,"51' 1""",51.083,1
22,23,23,Fabián Gómez,84,"51' 0""",101.917,2
23,24,24,John Senden,94,"48' 5""",48.417,1
24,25,25,Paul Goydos,81,"46' 8""",93.333,2
25,26,26,Mark Wilson,89,"46' 0""",46.0,1
26,27,27,Matt Bettencourt,84,"45' 8""",45.667,1
27,28,28,Steve Marino,76,"45' 4""",136.0,3
28,29,29,Brendan Steele,89,"45' 1""",90.167,2
29,30,30,Alex Prugh,82,"44' 2""",44.167,1
30,31,31,David Duval,67,"43' 8""",131.0,3
31,32,32,Johnson Wagner,81,"41' 1""",41.083,1
32,33,33,Matt Jones,71,"41' 0""",41.0,1
33,34,34,D.A. Points,89,"40' 10""",40.833,1
34,35,35,Jim Herman,69,"40' 9""",81.5,2
35,36,36,Bo Van Pelt,92,"38' 4""",38.333,1
36,T37,T37,Stephen Ames,69,"38' 0""",38.0,1
37,T37,T37,Billy Horschel,75,"38' 0""",75.917,2
38,T37,T37,Marc Leishman,87,"38' 0""",76.0,2
39,40,40,Garrett Willis,71,"36' 11""",36.917,1
40,41,41,Chad Campbell,99,"36' 5""",72.75,2
41,42,42,Geoff Ogilvy,69,"36' 1""",36.083,1
42,43,43,Ricky Barnes,78,"35' 10""",71.667,2
43,44,44,David Toms,78,"35' 4""",35.333,1
44,45,45,Jerry Kelly,85,"35' 1""",35.083,1
45,T46,T46,Chez Reavie,92,"34' 10""",69.667,2
46,T46,T46,Cameron Tringale,110,"34' 10""",34.833,1
47,48,48,Dean Wilson,62,"34' 6""",34.5,1
48,49,49,Kevin Streelman,90,"34' 4""",68.583,2
49,50,50,Andres Romero,77,"33' 5""",33.417,1
50,51,51,D.J. Trahan,91,"33' 1""",165.417,5
51,52,52,Charlie Wi,83,"32' 7""",32.583,1
52,53,53,Keegan Bradley,91,"32' 6""",65.0,2
53,54,54,Kevin Stadler,88,"31' 4""",94.083,3
54,55,55,Hunter Haas,96,"29' 8""",29.666999999999998,1
55,56,56,Blake Adams,116,"29' 3""",29.25,1
56,T57,T57,Scott Gutschewski,67,"28' 0""",55.917,2
57,T57,T57,Pat Perez,76,"28' 0""",56.0,2
58,59,59,Scott Stallings,84,"27' 8""",27.666999999999998,1
59,60,60,Robert Garrigus,83,"26' 7""",53.167,2
60,61,61,Nick O'Hern,89,"22' 3""",22.25,1
61,62,62,Rickie Fowler,84,"21' 11""",21.916999999999998,1
62,63,63,Will Strickler,51,"18' 10""",18.833,1
63,64,64,Tom Gillis,55,"18' 9""",18.75,1
64,65,65,Ernie Els,71,"17' 9""",17.75,1
65,66,66,Charley Hoffman,93,"16' 5""",16.417,1
66,67,67,Martin Piller,63,"16' 4""",16.333,1
67,T68,T68,Derek Lamely,65,"15' 10""",15.833,1
68,T68,T68,Jeff Overton,92,"15' 10""",15.833,1
69,70,70,Michael Connell,76,"15' 6""",15.5,1
70,71,71,Brandt Jobe,100,"15' 3""",30.5,2
71,72,72,Chris Kirk,87,"15' 2""",15.167,1
72,73,73,Chris DiMarco,93,"14' 9""",14.75,1
73,74,74,Jason Day,76,"14' 7""",14.583,1
74,75,75,Adam Scott,60,"10' 8""",10.667,1
75,76,76,Harrison Frazar,58,"8' 5""",8.417,1
76,77,77,Aaron Baddeley,77,"6' 9""",6.75,1
77,78,78,Ryuji Imada,83,"6' 7""",6.582999999999999,1
