,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,1,Retief Goosen,56,1.41,14,990
1,2,2,José María Olazábal,56,1.6,15,936
2,3,3,Steve Stricker,81,1.64,23,1404
3,4,4,Brian Gay,96,1.65,28,1692
4,5,5,Greg Chalmers,70,1.67,21,1260
5,6,6,Stewart Cink,103,1.72,30,1746
6,7,7,Tiger Woods,78,1.77,23,1296
7,8,8,Loren Roberts,81,1.9,27,1422
8,9,9,Chris Riley,78,1.95,26,1332
9,10,10,Jay Haas,84,1.97,28,1422
10,11,11,Brad Faxon,94,2.06,33,1602
11,12,12,Todd Hamilton,92,2.15,34,1584
12,13,13,Bob Estes,73,2.19,28,1278
13,T14,T14,John Cook,57,2.2,21,954
14,T14,T14,Ernie Els,62,2.2,23,1044
15,T14,T14,John Riegger,53,2.2,21,954
16,17,17,Justin Leonard,90,2.22,34,1530
17,18,18,Danny Ellis,81,2.24,31,1386
18,19,19,Scott Verplank,92,2.26,37,1638
19,20,20,Glen Day,101,2.3,41,1782
20,T21,T21,Daniel Chopra,108,2.31,44,1908
21,T21,T21,Kirk Triplett,88,2.31,35,1512
22,23,23,Brian Bateman,84,2.36,34,1440
23,24,24,Tom Byrum,83,2.41,36,1494
24,T25,T25,Michael Allen,87,2.42,37,1530
25,T25,T25,Aaron Baddeley,87,2.42,37,1530
26,T25,T25,Ben Crane,92,2.42,40,1656
27,28,28,Chris DiMarco,105,2.49,44,1764
28,29,29,Hank Kuehne,91,2.5,40,1602
29,T30,T30,Todd Fischer,104,2.51,46,1836
30,T30,T30,Harrison Frazar,86,2.51,37,1476
31,T30,T30,Mark Hensby,97,2.51,42,1674
32,33,33,J.P. Hayes,79,2.52,34,1350
33,T34,T34,Brent Geiberger,94,2.56,42,1638
34,T34,T34,Hidemichi Tanaka,89,2.56,41,1602
35,T36,T36,Jesper Parnevik,86,2.58,40,1548
36,T36,T36,Carl Pettersson,100,2.58,45,1746
37,T38,T38,Paul Azinger,75,2.59,35,1350
38,T38,T38,Stephen Leaney,84,2.59,35,1350
39,T38,T38,Len Mattiace,75,2.59,35,1350
40,41,41,Jerry Kelly,113,2.6,51,1962
41,T42,T42,David Peoples,82,2.64,38,1440
42,T42,T42,Tom Pernice Jr.,103,2.64,47,1782
43,44,44,Zach Johnson,109,2.65,51,1926
44,45,45,Arron Oberholser,77,2.66,35,1314
45,T46,T46,Richard Johnson,102,2.67,49,1836
46,T46,T46,Kevin Sutherland,86,2.67,39,1458
47,48,48,Geoff Ogilvy,91,2.68,42,1566
48,49,49,Briny Baird,100,2.69,47,1746
49,T50,T50,Olin Browne,92,2.71,43,1584
50,T50,T50,Bob Burns,88,2.71,42,1548
51,52,52,Shigeki Maruyama,93,2.72,45,1656
52,T53,T53,Arjun Atwal,85,2.74,41,1494
53,T53,T53,Davis Love III,85,2.74,37,1350
54,T53,T53,Corey Pavin,83,2.74,39,1422
55,56,56,Tim Petrovic,111,2.75,53,1926
56,T57,T57,José Coceres,68,2.78,32,1152
57,T57,T57,Luke Donald,72,2.78,36,1296
58,T57,T57,Peter Lonard,68,2.78,33,1188
59,T57,T57,Heath Slocum,92,2.78,45,1620
60,61,61,Robert Gamez,103,2.8,52,1854
61,62,62,Tim Herron,84,2.81,42,1494
62,63,63,Dan Olsen,75,2.82,37,1314
63,T64,T64,Fred Funk,97,2.84,49,1728
64,T64,T64,Scott McCarron,88,2.84,44,1548
65,66,66,K.J. Choi,83,2.85,42,1476
66,T67,T67,J.J. Henry,103,2.86,53,1854
67,T67,T67,Deane Pappas,72,2.86,36,1260
68,T69,T69,Stephen Ames,97,2.87,49,1710
69,T69,T69,Mark Wilson,62,2.87,32,1116
70,T71,T71,Brenden Pappas,111,2.88,56,1944
71,T71,T71,Bo Van Pelt,107,2.88,54,1872
72,T73,T73,Darren Clarke,54,2.89,25,864
73,T73,T73,Nick Price,51,2.89,26,900
74,T75,T75,Bart Bryant,73,2.9,36,1242
75,T75,T75,Rod Pampling,98,2.9,49,1692
76,T75,T75,Patrick Sheehan,113,2.9,58,1998
77,78,78,Matt Gogel,86,2.91,44,1512
78,T79,T79,Stuart Appleby,84,2.92,41,1404
79,T79,T79,Charles Howell III,104,2.92,53,1818
80,T81,T81,Scott Hoch,52,2.94,27,918
81,T81,T81,Bob Tway,90,2.94,45,1530
82,83,83,Dean Wilson,99,2.97,53,1782
83,T84,T84,Kent Jones,99,2.98,52,1746
84,T84,T84,Vijay Singh,112,2.98,59,1980
85,86,86,Freddie Jacobson,83,2.99,43,1440
86,87,87,Tag Ridings,53,3.0,27,900
87,88,88,Kevin Na,100,3.01,52,1728
88,89,89,John Daly,79,3.02,43,1422
89,90,90,Tom Carter,113,3.03,60,1980
90,T91,T91,Tripp Isenhour,55,3.04,29,954
91,T91,T91,Jeff Sluman,98,3.04,53,1746
92,T93,T93,Chad Campbell,100,3.05,51,1674
93,T93,T93,Joe Ogilvie,104,3.05,56,1836
94,95,95,Jay Williamson,100,3.06,54,1764
95,96,96,Craig Bowden,83,3.08,46,1494
96,T97,T97,Tim Clark,84,3.11,47,1512
97,T97,T97,Craig Parry,52,3.11,28,900
98,T99,T99,Skip Kendall,99,3.14,56,1782
99,T99,T99,J.L. Lewis,106,3.14,60,1908
100,101,101,Jason Bohn,98,3.16,54,1710
101,102,102,Mark Brooks,72,3.17,40,1260
102,103,103,Russ Cochran,61,3.19,35,1098
103,104,104,Dennis Paulson,71,3.21,41,1278
104,105,105,Frank Lickliter II,89,3.23,50,1548
105,106,106,Justin Rose,77,3.24,42,1296
106,T107,T107,Steve Allan,102,3.25,58,1782
107,T107,T107,David Branshaw,84,3.25,48,1476
108,T107,T107,Carlos Franco,99,3.25,58,1782
109,110,110,Billy Andrade,104,3.26,61,1872
110,T111,T111,Jay Delsing,76,3.27,43,1314
111,T111,T111,Blaine McCallister,68,3.27,40,1224
112,T111,T111,Omar Uresti,85,3.27,50,1530
113,T111,T111,Duffy Waldorf,79,3.27,43,1314
114,115,115,Gene Sauers,83,3.29,48,1458
115,116,116,Adam Scott,55,3.31,31,936
116,T117,T117,Tommy Armour III,87,3.32,52,1566
117,T117,T117,Ken Duke,89,3.32,52,1566
118,T119,T119,Rich Barcelo,67,3.33,39,1170
119,T119,T119,John Rollins,90,3.33,51,1530
120,121,121,David Frost,78,3.35,47,1404
121,122,122,Ted Purdy,114,3.37,68,2016
122,123,123,Pat Bates,99,3.38,59,1746
123,T124,T124,Steve Flesch,109,3.39,64,1890
124,T124,T124,Vaughn Taylor,84,3.39,50,1476
125,T126,T126,Cameron Beckman,99,3.41,59,1728
126,T126,T126,Jonathan Byrd,85,3.41,51,1494
127,128,128,Hunter Mahan,94,3.43,58,1692
128,T129,T129,Jason Dufner,79,3.45,49,1422
129,T129,T129,Dudley Hart,60,3.45,36,1044
130,T129,T129,Mark O'Meara,58,3.45,36,1044
131,132,132,Steve Elkington,64,3.46,38,1098
132,133,133,Notah Begay III,71,3.48,42,1206
133,134,134,Mike Weir,75,3.5,46,1314
134,135,135,Esteban Toledo,92,3.52,57,1620
135,T136,T136,Chris Couch,55,3.54,35,990
136,T136,T136,Bernhard Langer,59,3.54,35,990
137,T136,T136,Tom Lehman,70,3.54,42,1188
138,T139,T139,Craig Barlow,80,3.56,50,1404
139,T139,T139,Steve Lowery,91,3.56,57,1602
140,T141,T141,Jeff Brehaut,106,3.58,67,1872
141,T141,T141,Mathias Grönberg,91,3.58,56,1566
142,T141,T141,Kenny Perry,79,3.58,49,1368
143,T144,T144,Dan Forsman,79,3.61,50,1386
144,T144,T144,Matt Kuchar,83,3.61,54,1494
145,T146,T146,Brett Quigley,102,3.63,64,1764
146,T146,T146,Joey Sindelar,100,3.63,64,1764
147,148,148,Joe Durant,85,3.66,56,1530
148,149,149,Neal Lancaster,106,3.67,68,1854
149,150,150,Robert Damron,92,3.68,61,1656
150,151,151,Hirofumi Miyase,65,3.7,42,1134
151,T152,T152,Robert Allenby,93,3.72,59,1584
152,T152,T152,Spike McRoy,93,3.72,61,1638
153,T152,T152,Shaun Micheel,93,3.72,61,1638
154,155,155,Ben Curtis,56,3.74,35,936
155,156,156,Grant Waite,79,3.75,52,1386
156,T157,T157,Danny Briggs,85,3.77,55,1458
157,T157,T157,Cliff Kresge,89,3.77,59,1566
158,T157,T157,Andre Stolz,53,3.77,36,954
159,160,160,Phil Mickelson,83,3.8,54,1422
160,161,161,Alex Cejka,76,3.81,48,1260
161,T162,T162,Kris Cox,73,3.83,49,1278
162,T162,T162,David Toms,80,3.83,51,1332
163,164,164,Scott Simpson,55,3.84,38,990
164,T165,T165,Brian Kortan,65,3.85,43,1116
165,T165,T165,Roger Tambellini,81,3.85,54,1404
166,167,167,John Senden,99,3.88,67,1728
167,168,168,Jeff Maggert,60,3.89,42,1080
168,169,169,Ryan Palmer,103,3.94,71,1800
169,170,170,Mark Calcavecchia,79,3.99,56,1404
170,171,171,Kevin Muncrief,50,4.0,36,900
171,172,172,Rory Sabbatini,89,4.01,62,1548
172,173,173,Jonathan Kaye,79,4.02,55,1368
173,174,174,Billy Mayfair,109,4.07,77,1890
174,175,175,Guy Boros,64,4.08,47,1152
175,176,176,Mike Heinen,53,4.09,39,954
176,T177,T177,Rich Beem,81,4.11,57,1386
177,T177,T177,David Morland IV,73,4.11,54,1314
178,179,179,Woody Austin,94,4.14,70,1692
179,180,180,Lucas Glover,95,4.15,68,1638
180,T181,T181,Sergio Garcia,65,4.17,48,1152
181,T181,T181,Rocco Mediate,53,4.17,36,864
182,183,183,Steve Pate,71,4.19,52,1242
183,184,184,Dicky Pride,66,4.23,48,1134
184,185,185,Craig Perks,75,4.24,55,1296
185,186,186,Niclas Fasth,61,4.26,46,1080
186,187,187,Fred Couples,54,4.27,40,936
187,188,188,Lee Janzen,84,4.4,65,1476
188,189,189,Chris Smith,105,4.44,84,1890
189,190,190,Pat Perez,102,4.61,83,1800
190,191,191,D.J. Brigman,79,4.75,65,1368
191,192,192,Roland Thatcher,66,4.8,57,1188
192,193,193,Tommy Tolles,67,4.89,59,1206
193,194,194,David Gossett,57,5.07,52,1026
194,195,195,John Huston,62,5.26,53,1008
195,196,196,Scott Hend,81,5.56,79,1422
