,3-Putt_Avoidance_-_5-10_RANK THIS WEEK,3-Putt_Avoidance_-_5-10_RANK LAST WEEK,3-Putt_Avoidance_-_5-10_PLAYER NAME,3-Putt_Avoidance_-_5-10_ROUNDS,3-Putt_Avoidance_-_5-10_%,3-Putt_Avoidance_-_5-10_TOTAL 3 PUTTS,3-Putt_Avoidance_-_5-10_ATTEMPTS,3-Putt_Avoidance_-_5-10_2 PUTT OR BETTER %
0,T1,T1,Steve Allan,102,0.0,,305,100.0
1,T1,T1,Michael Allen,87,0.0,,266,100.0
2,T1,T1,Paul Azinger,75,0.0,,228,100.0
3,T1,T1,Rich Beem,81,0.0,,224,100.0
4,T1,T1,Craig Bowden,83,0.0,,246,100.0
5,T1,T1,Jeff Brehaut,106,0.0,,328,100.0
6,T1,T1,Olin Browne,92,0.0,,258,100.0
7,T1,T1,Bart Bryant,73,0.0,,242,100.0
8,T1,T1,Chad Campbell,100,0.0,,260,100.0
9,T1,T1,Greg Chalmers,70,0.0,,263,100.0
10,T1,T1,Stewart Cink,103,0.0,,301,100.0
11,T1,T1,Chris Couch,55,0.0,,145,100.0
12,T1,T1,Ben Curtis,56,0.0,,145,100.0
13,T1,T1,John Daly,79,0.0,,226,100.0
14,T1,T1,Luke Donald,72,0.0,,191,100.0
15,T1,T1,Danny Ellis,81,0.0,,213,100.0
16,T1,T1,Ernie Els,62,0.0,,136,100.0
17,T1,T1,Niclas Fasth,61,0.0,,174,100.0
18,T1,T1,David Frost,78,0.0,,251,100.0
19,T1,T1,Sergio Garcia,65,0.0,,161,100.0
20,T1,T1,Brent Geiberger,94,0.0,,282,100.0
21,T1,T1,Jay Haas,84,0.0,,217,100.0
22,T1,T1,J.P. Hayes,79,0.0,,221,100.0
23,T1,T1,J.J. Henry,103,0.0,,275,100.0
24,T1,T1,Scott Hoch,52,0.0,,175,100.0
25,T1,T1,Charles Howell III,104,0.0,,262,100.0
26,T1,T1,Tripp Isenhour,55,0.0,,168,100.0
27,T1,T1,Freddie Jacobson,83,0.0,,210,100.0
28,T1,T1,Richard Johnson,102,0.0,,316,100.0
29,T1,T1,Kent Jones,99,0.0,,308,100.0
30,T1,T1,Skip Kendall,99,0.0,,283,100.0
31,T1,T1,Brian Kortan,65,0.0,,163,100.0
32,T1,T1,Hank Kuehne,91,0.0,,314,100.0
33,T1,T1,Bernhard Langer,59,0.0,,149,100.0
34,T1,T1,Tom Lehman,70,0.0,,178,100.0
35,T1,T1,Justin Leonard,90,0.0,,228,100.0
36,T1,T1,Hunter Mahan,94,0.0,,291,100.0
37,T1,T1,Shigeki Maruyama,93,0.0,,279,100.0
38,T1,T1,Kevin Na,100,0.0,,326,100.0
39,T1,T1,José María Olazábal,56,0.0,,171,100.0
40,T1,T1,Rod Pampling,98,0.0,,277,100.0
41,T1,T1,Deane Pappas,72,0.0,,209,100.0
42,T1,T1,Craig Parry,52,0.0,,125,100.0
