,Putting_from_3_RANK THIS WEEK,Putting_from_3_RANK LAST WEEK,Putting_from_3_PLAYER NAME,Putting_from_3_ROUNDS,Putting_from_3_% MADE,Putting_from_3_ATTEMPTS,Putting_from_3_PUTTS MADE
0,T1,T1,Darren Clarke,54,100.0,325,325
1,T1,T1,John Cook,57,100.0,539,539
2,T1,T1,Craig Parry,52,100.0,354,354
3,T1,T1,Nick Price,51,100.0,364,364
4,5,5,J.L. Lewis,106,99.89,900,899
5,6,6,Olin Browne,92,99.88,829,828
6,T7,T7,Michael Allen,87,99.87,763,762
7,T7,T7,Danny Briggs,85,99.87,762,761
8,T7,T7,David Peoples,82,99.87,777,776
9,T10,T10,Danny Ellis,81,99.85,667,666
10,T10,T10,J.P. Hayes,79,99.85,648,647
11,T10,T10,Steve Stricker,81,99.85,683,682
12,T13,T13,Russ Cochran,61,99.83,591,590
13,T13,T13,Brian Kortan,65,99.83,590,589
14,15,15,Bob Estes,73,99.81,536,535
15,T16,T16,J.J. Henry,103,99.79,949,947
16,T16,T16,Scott Hoch,52,99.79,472,471
17,T16,T16,Vijay Singh,112,99.79,938,936
18,19,19,Brian Gay,96,99.78,890,888
19,20,20,Ernie Els,62,99.76,416,415
20,T21,T21,Ben Curtis,56,99.74,392,391
21,T21,T21,Scott McCarron,88,99.74,778,776
22,T21,T21,Rod Pampling,98,99.74,762,760
23,24,24,Cliff Kresge,89,99.73,733,731
24,T25,T25,Brian Bateman,84,99.72,716,714
25,T25,T25,Todd Hamilton,92,99.72,719,717
26,T27,T27,Harrison Frazar,86,99.71,692,690
27,T27,T27,Loren Roberts,81,99.71,679,677
28,29,29,Matt Gogel,86,99.7,670,668
29,T30,T30,Luke Donald,72,99.69,642,640
30,T30,T30,Jonathan Kaye,79,99.69,646,644
31,T32,T32,Glen Day,101,99.68,931,928
32,T32,T32,Brad Faxon,94,99.68,624,622
33,T32,T32,Joey Sindelar,100,99.68,939,936
34,T32,T32,Jay Williamson,100,99.68,934,931
35,36,36,Duffy Waldorf,79,99.67,605,603
36,37,37,Richard Johnson,102,99.66,875,872
37,38,38,Brett Quigley,102,99.65,856,853
38,T39,T39,Cameron Beckman,99,99.64,834,831
39,T39,T39,Sergio Garcia,65,99.64,556,554
40,T39,T39,Brent Geiberger,94,99.64,837,834
41,42,42,Mike Weir,75,99.63,544,542
42,T43,T43,Stewart Cink,103,99.62,787,784
43,T43,T43,Phil Mickelson,83,99.62,523,521
44,T43,T43,Tiger Woods,78,99.62,531,529
