,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
0,1,1,Chris Smith,105,59,73
1,T2,T2,Pat Perez,102,51,67
2,T2,T2,Ted Purdy,114,51,64
3,4,4,Jeff Brehaut,106,50,60
4,T5,T5,Carlos Franco,99,49,54
5,T5,T5,Joey Sindelar,100,49,55
6,T7,T7,Pat Bates,99,47,53
7,T7,T7,Neal Lancaster,106,47,62
8,T7,T7,John Senden,99,47,59
9,T10,T10,Billy Andrade,104,44,57
10,T10,T10,Lee Janzen,84,44,58
11,T10,T10,Ryan Palmer,103,44,63
12,13,13,Robert Damron,92,43,54
13,T14,T14,Lucas Glover,95,42,60
14,T14,T14,Scott Hend,81,42,62
15,T14,T14,Hunter Mahan,94,42,51
16,T14,T14,Billy Mayfair,109,42,63
17,T14,T14,Esteban Toledo,92,42,49
18,T19,T19,Steve Allan,102,41,51
19,T19,T19,Woody Austin,94,41,57
20,T19,T19,Cameron Beckman,99,41,55
21,T19,T19,Ken Duke,89,41,48
22,T19,T19,Vijay Singh,112,41,49
23,T24,T24,Tom Carter,113,40,50
24,T24,T24,Joe Durant,85,40,51
25,T24,T24,Cliff Kresge,89,40,52
26,T24,T24,Shaun Micheel,93,40,49
27,T28,T28,D.J. Brigman,79,39,53
28,T28,T28,Mathias Grönberg,91,39,47
29,T28,T28,J.J. Henry,103,39,42
30,T28,T28,Skip Kendall,99,39,47
31,T28,T28,J.L. Lewis,106,39,48
32,T33,T33,Jason Bohn,98,38,52
33,T33,T33,Brett Quigley,102,38,55
34,T35,T35,Robert Allenby,93,37,48
35,T35,T35,David Branshaw,84,37,45
36,T35,T35,Danny Briggs,85,37,48
37,T35,T35,Grant Waite,79,37,46
38,T39,T39,Daniel Chopra,108,36,43
39,T39,T39,David Frost,78,36,44
40,T39,T39,Jonathan Kaye,79,36,45
41,T39,T39,Matt Kuchar,83,36,50
42,T39,T39,Spike McRoy,93,36,50
43,T39,T39,Kevin Na,100,36,44
44,T39,T39,Craig Perks,75,36,45
45,T39,T39,Rory Sabbatini,89,36,50
46,T39,T39,Jay Williamson,100,36,52
47,T48,T48,Rich Beem,81,35,42
48,T48,T48,Robert Gamez,103,35,44
49,T48,T48,David Gossett,57,35,48
50,T48,T48,Richard Johnson,102,35,42
51,T48,T48,Phil Mickelson,83,35,41
52,T48,T48,Brenden Pappas,111,35,48
53,T48,T48,Tom Pernice Jr.,103,35,43
54,T48,T48,Gene Sauers,83,35,47
55,T48,T48,Patrick Sheehan,113,35,51
56,T48,T48,Roland Thatcher,66,35,49
57,T58,T58,Craig Bowden,83,34,41
58,T58,T58,Brent Geiberger,94,34,38
59,T58,T58,Charles Howell III,104,34,39
60,T58,T58,Kent Jones,99,34,46
61,T58,T58,Hank Kuehne,91,34,40
62,T58,T58,Tim Petrovic,111,34,42
63,T58,T58,Heath Slocum,92,34,40
64,T58,T58,Jeff Sluman,98,34,41
65,T58,T58,Vaughn Taylor,84,34,46
66,T58,T58,Omar Uresti,85,34,43
67,T68,T68,Steve Pate,71,33,45
68,T68,T68,Roger Tambellini,81,33,47
69,T70,T70,Tommy Armour III,87,32,43
