,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Corey Pavin,83,"59' 4""",59.333,1,59,59
1,2,2,J.L. Lewis,106,"53' 11""",107.833,2,69,39
2,3,3,Rocco Mediate,53,"45' 11""",91.75,2,55,37
3,4,4,Russ Cochran,61,"45' 8""",45.667,1,46,46
4,5,5,Chris Couch,55,"42' 0""",126.083,3,67,16
5,6,6,Mark Wilson,62,"41' 4""",123.917,3,56,29
6,7,7,José Coceres,68,"41' 0""",82.0,2,68,14
7,8,8,Rich Barcelo,67,"40' 6""",80.917,2,57,24
8,T9,T9,Jeff Brehaut,106,"39' 3""",156.833,4,56,26
9,T9,T9,Brian Gay,96,"39' 3""",39.25,1,39,39
10,11,11,Nick Price,51,"38' 4""",153.167,4,65,6
11,12,12,Craig Perks,75,"35' 4""",105.917,3,65,18
12,13,13,Rory Sabbatini,89,"35' 3""",70.417,2,53,17
13,14,14,Pat Bates,99,"32' 10""",32.833,1,33,33
14,15,15,Brenden Pappas,111,"32' 5""",194.417,6,44,18
15,16,16,Bart Bryant,73,"31' 7""",126.25,4,55,8
16,T17,T17,Sergio Garcia,65,"31' 2""",93.417,3,63,15
17,T17,T17,Mark O'Meara,58,"31' 2""",31.166999999999998,1,31,31
18,T17,T17,Esteban Toledo,92,"31' 2""",31.166999999999998,1,31,31
19,20,20,Hunter Mahan,94,"29' 7""",118.167,4,38,20
20,21,21,Steve Stricker,81,"29' 5""",58.833,2,45,14
21,22,22,Richard Johnson,102,"29' 4""",58.583,2,56,3
22,23,23,Ben Curtis,56,"29' 1""",58.083,2,30,28
23,24,24,David Morland IV,73,"28' 8""",28.666999999999998,1,29,29
24,25,25,John Riegger,53,"27' 11""",55.75,2,32,23
25,26,26,Brian Bateman,84,"27' 7""",165.5,6,51,11
26,27,27,Daniel Chopra,108,"27' 3""",190.667,7,55,2
27,28,28,John Daly,79,"27' 2""",244.417,9,70,3
28,29,29,Freddie Jacobson,83,"27' 0""",135.167,5,58,9
29,30,30,Roland Thatcher,66,"26' 8""",80.083,3,41,14
30,31,31,David Peoples,82,"26' 7""",53.083,2,41,12
31,32,32,Gene Sauers,83,"26' 3""",78.75,3,33,14
32,33,33,Craig Barlow,80,"26' 2""",235.417,9,42,5
33,34,34,Jerry Kelly,113,"25' 2""",100.75,4,45,10
34,35,35,Billy Andrade,104,"24' 6""",146.75,6,63,3
35,36,36,Brent Geiberger,94,"24' 5""",73.25,3,30,21
36,T37,T37,Steve Allan,102,"24' 2""",121.0,5,40,2
37,T37,T37,Frank Lickliter II,89,"24' 2""",145.167,6,53,6
38,39,39,Hank Kuehne,91,"24' 1""",168.417,7,49,3
39,40,40,Tom Carter,113,"24' 0""",216.333,9,64,4
40,41,41,Jason Dufner,79,"23' 10""",119.0,5,41,7
41,42,42,Peter Lonard,68,"23' 8""",94.667,4,58,7
42,43,43,John Senden,99,"23' 5""",187.333,8,50,3
43,44,44,Niclas Fasth,61,"23' 2""",69.583,3,48,4
44,45,45,Alex Cejka,76,"23' 1""",92.25,4,39,8
45,T46,T46,Robert Allenby,93,"22' 11""",45.833,2,34,12
46,T46,T46,Stuart Appleby,84,"22' 11""",68.833,3,30,10
47,48,48,Matt Kuchar,83,"22' 8""",68.0,3,44,4
48,49,49,José María Olazábal,56,"22' 6""",44.917,2,31,14
49,50,50,Kevin Muncrief,50,"22' 4""",111.667,5,30,15
50,T51,T51,Aaron Baddeley,87,"22' 1""",110.417,5,34,11
51,T51,T51,Greg Chalmers,70,"22' 1""",66.333,3,36,14
52,53,53,Jay Williamson,100,"22' 0""",44.0,2,36,8
53,54,54,Dennis Paulson,71,"21' 8""",43.333,2,35,8
54,55,55,Joey Sindelar,100,"21' 6""",128.833,6,58,"11"""
55,56,56,Scott Hend,81,"21' 5""",193.083,9,39,5
56,57,57,Kent Jones,99,"21' 3""",149.0,7,45,7
57,T58,T58,Loren Roberts,81,"21' 1""",42.167,2,23,19
58,T58,T58,Grant Waite,79,"21' 1""",105.583,5,34,7
59,60,60,Paul Azinger,75,"20' 9""",62.25,3,37,9
60,61,61,Brett Quigley,102,"20' 8""",62.083,3,30,6
61,T62,T62,Ernie Els,62,"20' 4""",81.167,4,52,4
62,T62,T62,Arron Oberholser,77,"20' 4""",162.417,8,48,5
63,T62,T62,Hidemichi Tanaka,89,"20' 4""",81.167,4,26,14
64,65,65,Olin Browne,92,"20' 3""",40.417,2,27,13
65,T66,T66,Harrison Frazar,86,"20' 0""",200.167,10,39,4
66,T66,T66,Jonathan Kaye,79,"20' 0""",79.833,4,32,8
67,T68,T68,Robert Damron,92,"19' 10""",19.833,1,20,20
68,T68,T68,Ryan Palmer,103,"19' 10""",79.333,4,34,4
69,T70,T70,Guy Boros,64,"19' 8""",59.083,3,32,3
70,T70,T70,Charles Howell III,104,"19' 8""",78.5,4,30,15
71,72,72,Dudley Hart,60,"19' 5""",97.0,5,25,16
72,73,73,Roger Tambellini,81,"19' 3""",134.667,7,36,7
73,T74,T74,Mike Heinen,53,"19' 1""",171.833,9,47,3
74,T74,T74,Bo Van Pelt,107,"19' 1""",95.333,5,41,4
75,76,76,Rich Beem,81,"19' 0""",132.75,7,41,3
76,77,77,Scott McCarron,88,"18' 11""",37.75,2,32,6
77,78,78,Chris Smith,105,"18' 9""",187.75,10,44,1
78,T79,T79,Craig Bowden,83,"18' 8""",56.083,3,41,3
79,T79,T79,Joe Durant,85,"18' 8""",93.333,5,31,8
80,T79,T79,Retief Goosen,56,"18' 8""",18.667,1,19,19
81,82,82,Steve Lowery,91,"18' 7""",74.333,4,30,3
82,83,83,Mark Hensby,97,"18' 6""",92.583,5,32,10
83,84,84,Bob Tway,90,"18' 4""",18.333,1,18,18
84,85,85,Jeff Maggert,60,"18' 3""",54.667,3,24,14
85,86,86,Kris Cox,73,"18' 2""",72.667,4,47,3
86,87,87,Rod Pampling,98,"18' 0""",162.333,9,51,3
87,T88,T88,Matt Gogel,86,"17' 9""",71.083,4,29,10
88,T88,T88,J.J. Henry,103,"17' 9""",53.25,3,37,6
89,90,90,Stephen Ames,97,"17' 7""",87.917,5,25,4
90,T91,T91,Dan Olsen,75,"17' 3""",120.917,7,60,5
91,T91,T91,Dean Wilson,99,"17' 3""",68.917,4,23,11
92,T93,T93,Mark Calcavecchia,79,"17' 2""",85.667,5,23,6
93,T93,T93,Fred Funk,97,"17' 2""",51.5,3,25,9
94,T93,T93,Tom Lehman,70,"17' 2""",85.667,5,39,2
95,96,96,Phil Mickelson,83,"17' 0""",68.0,4,43,4
96,97,97,John Rollins,90,"16' 9""",50.25,3,33,5
97,98,98,Carlos Franco,99,"16' 8""",149.75,9,34,4
98,99,99,Shaun Micheel,93,"16' 7""",83.083,5,35,3
99,100,100,Geoff Ogilvy,91,"16' 3""",195.333,12,37,4
100,T101,T101,Ben Crane,92,"16' 0""",48.0,3,29,3
101,T101,T101,Ted Purdy,114,"16' 0""",160.167,10,31,6
102,103,103,Mathias Grönberg,91,"15' 11""",47.75,3,21,9
103,104,104,Steve Flesch,109,"15' 10""",95.167,6,31,6
104,T105,T105,Tim Herron,84,"15' 9""",63.083,4,31,10
105,T105,T105,Jeff Sluman,98,"15' 9""",62.917,4,27,"9"""
106,107,107,Tommy Tolles,67,"15' 8""",62.667,4,21,5
107,108,108,Arjun Atwal,85,"15' 7""",31.083000000000002,2,26,5
108,109,109,Kenny Perry,79,"15' 5""",46.25,3,20,11
109,110,110,Len Mattiace,75,"15' 1""",60.167,4,52,"11"""
110,111,111,Vaughn Taylor,84,"15' 0""",89.917,6,43,1
111,T112,T112,Todd Fischer,104,"14' 5""",57.5,4,33,6
112,T112,T112,Carl Pettersson,100,"14' 5""",72.25,5,34,7
113,T114,T114,Lucas Glover,95,"14' 4""",86.083,6,36,2
114,T114,T114,Joe Ogilvie,104,"14' 4""",28.583000000000002,2,19,9
115,T116,T116,Ken Duke,89,"14' 0""",56.0,4,24,7
116,T116,T116,Deane Pappas,72,"14' 0""",42.083,3,19,8
117,118,118,Fred Couples,54,"13' 11""",55.667,4,27,9
118,T119,T119,Lee Janzen,84,"13' 9""",68.583,5,30,6
119,T119,T119,Cliff Kresge,89,"13' 9""",96.333,7,46,4
120,T119,T119,Jesper Parnevik,86,"13' 9""",41.333,3,21,8
121,T119,T119,Steve Pate,71,"13' 9""",27.416999999999998,2,20,8
122,T123,T123,Skip Kendall,99,"13' 5""",40.25,3,30,2
123,T123,T123,Tiger Woods,78,"13' 5""",40.167,3,19,11
124,125,125,Neal Lancaster,106,"13' 4""",119.667,9,33,4
125,T126,T126,Tommy Armour III,87,"13' 1""",52.417,4,21,3
126,T126,T126,Brad Faxon,94,"13' 1""",13.083,1,13,13
127,T128,T128,Danny Ellis,81,"13' 0""",117.25,9,28,4
128,T128,T128,Vijay Singh,112,"13' 0""",130.333,10,40,2
129,130,130,Tag Ridings,53,"12' 9""",25.416999999999998,2,21,5
130,131,131,Michael Allen,87,"12' 7""",63.0,5,22,2
131,132,132,Cameron Beckman,99,"12' 5""",99.167,8,27,3
132,T133,T133,D.J. Brigman,79,"12' 4""",24.666999999999998,2,16,9
133,T133,T133,K.J. Choi,83,"12' 4""",49.333,4,22,4
134,T135,T135,Briny Baird,100,"12' 2""",48.583,4,23,3
135,T135,T135,Stewart Cink,103,"12' 2""",36.5,3,19,6
136,T137,T137,Shigeki Maruyama,93,"12' 1""",36.25,3,17,8
137,T137,T137,Justin Rose,77,"12' 1""",24.083000000000002,2,13,11
138,139,139,Craig Parry,52,"12' 0""",23.916999999999998,2,19,5
139,T140,T140,Dan Forsman,79,"11' 8""",23.25,2,18,5
140,T140,T140,Zach Johnson,109,"11' 8""",58.333,5,26,3
141,142,142,Dicky Pride,66,"11' 7""",34.75,3,15,7
142,143,143,Pat Perez,102,"11' 3""",44.917,4,34,2
143,T144,T144,Chad Campbell,100,"11' 1""",77.75,7,29,4
144,T144,T144,Glen Day,101,"11' 1""",33.167,3,21,3
145,T146,T146,Tim Clark,84,"10' 10""",10.833,1,11,11
146,T146,T146,Tripp Isenhour,55,"10' 10""",21.583000000000002,2,12,10
147,148,148,Billy Mayfair,109,"10' 9""",53.917,5,24,2
148,149,149,Bob Estes,73,"10' 5""",10.417,1,10,10
149,T150,T150,Tim Petrovic,111,"10' 4""",82.667,8,21,2
150,T150,T150,Mike Weir,75,"10' 4""",41.333,4,18,4
151,152,152,Mark Brooks,72,"10' 2""",10.167,1,10,10
152,153,153,Jonathan Byrd,85,"10' 0""",59.75,6,18,4
153,154,154,Notah Begay III,71,"9' 11""",19.833,2,12,8
154,155,155,David Branshaw,84,"9' 10""",39.417,4,12,8
155,T156,T156,Stephen Leaney,84,"9' 7""",9.583,1,10,10
156,T156,T156,David Toms,80,"9' 7""",48.083,5,24,2
157,158,158,John Cook,57,"9' 6""",9.5,1,10,10
158,159,159,Blaine McCallister,68,"9' 5""",28.25,3,12,6
159,160,160,Woody Austin,94,"9' 1""",18.083,2,10,8
160,T161,T161,Jay Delsing,76,"8' 11""",17.833,2,9,8
161,T161,T161,Bernhard Langer,59,"8' 11""",8.917,1,9,9
162,T161,T161,Davis Love III,85,"8' 11""",35.75,4,14,5
163,164,164,Justin Leonard,90,"8' 10""",26.5,3,12,7
164,T165,T165,Tom Byrum,83,"8' 6""",33.917,4,14,5
165,T165,T165,Jay Haas,84,"8' 6""",17.0,2,14,3
166,167,167,Robert Gamez,103,"8' 5""",25.25,3,11,7
167,168,168,Darren Clarke,54,"8' 1""",24.166999999999998,3,14,3
168,169,169,Spike McRoy,93,"8' 0""",15.917,2,9,7
169,170,170,Tom Pernice Jr.,103,"7' 9""",30.833000000000002,4,22,3
170,171,171,Chris DiMarco,105,"7' 7""",7.582999999999999,1,8,8
171,172,172,Hirofumi Miyase,65,"7' 4""",7.332999999999999,1,7,7
172,T173,T173,Scott Hoch,52,"7' 2""",14.333,2,8,7
173,T173,T173,Adam Scott,55,"7' 2""",7.167000000000001,1,7,7
174,175,175,Duffy Waldorf,79,"6' 9""",40.25,6,14,2
175,176,176,Kevin Na,100,"6' 4""",6.332999999999999,1,6,6
176,177,177,Jason Bohn,98,"6' 3""",31.25,5,12,3
177,178,178,Kirk Triplett,88,"6' 2""",6.167000000000001,1,6,6
