,Putts_Made_Per_Event_Over_10_RANK THIS WEEK,Putts_Made_Per_Event_Over_10_RANK LAST WEEK,Putts_Made_Per_Event_Over_10_PLAYER NAME,Putts_Made_Per_Event_Over_10_ROUNDS,Putts_Made_Per_Event_Over_10_PUTTS MADE
0,1,1,Adam Scott,55,8.2
1,2,2,Tiger Woods,78,7.6
2,3,3,Shigeki Maruyama,93,7.0
3,4,4,Stewart Cink,103,6.9
4,5,5,Kenny Perry,79,6.8
5,6,6,Bob Tway,90,6.7
6,T7,T7,Zach Johnson,109,6.6
7,T7,T7,Loren Roberts,81,6.6
8,T7,T7,Vijay Singh,112,6.6
9,10,10,Davis Love III,85,6.5
10,T11,T11,Brad Faxon,94,6.4
11,T11,T11,Justin Rose,77,6.4
12,T13,T13,Stephen Ames,97,6.3
13,T13,T13,Tom Byrum,83,6.3
14,T13,T13,Jerry Kelly,113,6.3
15,T13,T13,Frank Lickliter II,89,6.3
16,T17,T17,K.J. Choi,83,6.2
17,T17,T17,Darren Clarke,54,6.2
18,T17,T17,Carlos Franco,99,6.2
19,T17,T17,Matt Gogel,86,6.2
20,T17,T17,Freddie Jacobson,83,6.2
21,T17,T17,Shaun Micheel,93,6.2
22,T17,T17,Mike Weir,75,6.2
23,T24,T24,Brian Bateman,84,6.1
24,T24,T24,Alex Cejka,76,6.1
25,T24,T24,Chris DiMarco,105,6.1
26,T24,T24,Mark O'Meara,58,6.1
27,T24,T24,David Toms,80,6.1
28,T24,T24,Scott Verplank,92,6.1
29,T30,T30,Aaron Baddeley,87,6.0
30,T30,T30,Ernie Els,62,6.0
31,T30,T30,Jesper Parnevik,86,6.0
32,T30,T30,Nick Price,51,6.0
33,T30,T30,Patrick Sheehan,113,6.0
34,T30,T30,Kirk Triplett,88,6.0
35,T36,T36,Robert Allenby,93,5.9
36,T36,T36,Steve Flesch,109,5.9
37,T36,T36,Phil Mickelson,83,5.9
38,T36,T36,Bo Van Pelt,107,5.9
39,T40,T40,Stuart Appleby,84,5.8
40,T40,T40,Jonathan Byrd,85,5.8
41,T40,T40,Retief Goosen,56,5.8
42,T40,T40,Geoff Ogilvy,91,5.8
43,T40,T40,Rod Pampling,98,5.8
44,T40,T40,Craig Parry,52,5.8
45,T40,T40,Tim Petrovic,111,5.8
46,T40,T40,Carl Pettersson,100,5.8
47,T40,T40,Rory Sabbatini,89,5.8
48,T49,T49,Jason Bohn,98,5.7
49,T49,T49,Ben Crane,92,5.7
50,T49,T49,John Daly,79,5.7
51,T49,T49,Luke Donald,72,5.7
52,T49,T49,Richard Johnson,102,5.7
