,Putting_from_5-10_RANK THIS WEEK,Putting_from_5-10_RANK LAST WEEK,Putting_from_5-10_PLAYER NAME,Putting_from_5-10_ROUNDS,Putting_from_5-10_%,Putting_from_5-10_ATTEMPTS,Putting_from_5-10_PUTTS MADE
0,1,1,Freddie Jacobson,83,72.14,280,202
1,2,2,Richard Johnson,102,66.91,414,277
2,3,3,Jay Haas,84,65.54,267,175
3,4,4,Brad Faxon,94,65.08,315,205
4,5,5,Steve Stricker,81,65.02,283,184
5,6,6,Jesper Parnevik,86,64.88,299,194
6,7,7,Stephen Ames,97,64.39,351,226
7,8,8,Lee Janzen,84,64.24,302,194
8,9,9,Matt Gogel,86,64.16,279,179
9,10,10,Shigeki Maruyama,93,64.09,337,216
10,11,11,Stewart Cink,103,64.02,353,226
11,12,12,Tommy Tolles,67,63.92,291,186
12,13,13,Tiger Woods,78,63.47,219,139
13,14,14,Jerry Kelly,113,63.32,379,240
14,T15,T15,Brian Bateman,84,63.07,306,193
15,T15,T15,Geoff Ogilvy,91,63.07,306,193
16,17,17,Zach Johnson,109,63.0,373,235
17,T18,T18,Bob Burns,88,62.92,329,207
18,T18,T18,Adam Scott,55,62.92,178,112
19,T20,T20,Brian Gay,96,62.85,358,225
20,T20,T20,Skip Kendall,99,62.85,358,225
21,22,22,Steve Flesch,109,62.77,368,231
22,23,23,Carl Pettersson,100,62.68,343,215
23,24,24,Blaine McCallister,68,62.59,278,174
24,25,25,Michael Allen,87,62.32,345,215
25,26,26,Mark Calcavecchia,79,62.28,281,175
26,27,27,Craig Bowden,83,62.2,336,209
27,28,28,Scott Verplank,92,62.19,320,199
28,29,29,Fred Funk,97,62.11,380,236
29,30,30,Paul Azinger,75,62.02,287,178
30,31,31,Tag Ridings,53,61.97,213,132
31,32,32,Aaron Baddeley,87,61.67,347,214
32,33,33,José Coceres,68,61.62,284,175
33,T34,T34,Stephen Leaney,84,61.54,247,152
34,T34,T34,Len Mattiace,75,61.54,299,184
35,36,36,Loren Roberts,81,61.43,280,172
36,37,37,Ben Crane,92,61.33,331,203
37,38,38,Greg Chalmers,70,61.29,310,190
38,39,39,Dan Forsman,79,61.25,271,166
39,40,40,Hunter Mahan,94,61.23,374,229
40,41,41,Mathias Grönberg,91,61.07,298,182
41,42,42,Brent Geiberger,94,61.06,357,218
42,43,43,David Frost,78,61.02,313,191
43,44,44,Steve Elkington,64,60.92,238,145
44,45,45,Billy Andrade,104,60.84,406,247
45,T46,T46,Luke Donald,72,60.82,245,149
46,T46,T46,Danny Ellis,81,60.82,268,163
47,48,48,Duffy Waldorf,79,60.74,270,164
48,49,49,Tim Petrovic,111,60.73,382,232
49,50,50,Bob Tway,90,60.69,262,159
50,51,51,Harrison Frazar,86,60.67,300,182
51,T52,T52,Tom Byrum,83,60.61,330,200
52,T52,T52,Todd Fischer,104,60.61,391,237
53,54,54,Rory Sabbatini,89,60.59,307,186
54,55,55,Rod Pampling,98,60.58,345,209
55,56,56,José María Olazábal,56,60.5,200,121
56,57,57,Brett Quigley,102,60.48,372,225
57,58,58,Tim Herron,84,60.46,306,185
58,59,59,Danny Briggs,85,60.44,321,194
59,60,60,Chris Riley,78,60.28,214,129
60,61,61,J.J. Henry,103,60.27,370,223
61,T62,T62,Retief Goosen,56,60.24,166,100
62,T62,T62,Roland Thatcher,66,60.24,254,153
63,64,64,Dudley Hart,60,60.12,168,101
64,T65,T65,Todd Hamilton,92,60.07,288,173
65,T65,T65,J.P. Hayes,79,60.07,278,167
66,67,67,Patrick Sheehan,113,59.91,434,260
67,68,68,Daniel Chopra,108,59.84,386,231
68,69,69,Spike McRoy,93,59.78,358,214
69,70,70,Chris DiMarco,105,59.65,347,207
70,71,71,Davis Love III,85,59.63,270,161
71,72,72,Hidemichi Tanaka,89,59.55,314,187
72,T73,T73,Darren Clarke,54,59.48,153,91
73,T73,T73,Scott Simpson,55,59.48,232,138
74,75,75,Cameron Beckman,99,59.4,399,237
75,76,76,John Rollins,90,59.37,315,187
76,77,77,Dicky Pride,66,59.35,278,165
77,T78,T78,Ken Duke,89,59.33,359,213
78,T78,T78,Roger Tambellini,81,59.33,300,178
79,80,80,Ernie Els,62,59.3,172,102
80,81,81,Pat Bates,99,59.24,368,218
81,82,82,Joe Ogilvie,104,59.22,385,228
82,83,83,Dan Olsen,75,59.15,284,168
83,84,84,David Morland IV,73,59.14,279,165
84,T85,T85,Chad Campbell,100,59.12,340,201
85,T85,T85,Tim Clark,84,59.12,318,188
86,87,87,John Senden,99,59.01,383,226
87,88,88,Dean Wilson,99,58.95,380,224
88,89,89,Kent Jones,99,58.93,392,231
89,90,90,Tom Pernice Jr.,103,58.92,370,218
90,91,91,Mark Hensby,97,58.89,377,222
91,T92,T92,Mike Heinen,53,58.82,221,130
92,T92,T92,Tom Lehman,70,58.82,221,130
93,94,94,Frank Lickliter II,89,58.51,335,196
