,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,1,1,Mark O'Meara,58,"12' 10""",1607.0,125,55,"4"""
1,2,2,Mark Wilson,62,"11' 9""",2113.5,180,68,"1"""
2,T3,T3,Bob Burns,88,"11' 7""",2664.25,230,52,"7"""
3,T3,T3,Tim Petrovic,111,"11' 7""",3120.667,270,60,"5"""
4,T5,T5,Pat Bates,99,"11' 5""",3164.667,277,51,"3"""
5,T5,T5,Shaun Micheel,93,"11' 5""",2647.167,232,60,"5"""
6,T5,T5,Patrick Sheehan,113,"11' 5""",3934.5,345,47,"7"""
7,8,8,David Frost,78,"11' 4""",2471.667,218,56,"6"""
8,9,9,David Morland IV,73,"11' 2""",2204.667,197,49,"9"""
9,T10,T10,Rich Barcelo,67,"11' 1""",2013.5,182,46,"4"""
10,T10,T10,Luke Donald,72,"11' 1""",2213.333,200,43,"9"""
11,T10,T10,Brad Faxon,94,"11' 1""",2508.917,226,48,"4"""
12,T10,T10,Dan Forsman,79,"11' 1""",2107.25,190,65,"5"""
13,T10,T10,Steve Pate,71,"11' 1""",1959.4170000000001,177,45,"6"""
14,15,15,Esteban Toledo,92,"11' 0""",2359.5,215,52,"5"""
15,T16,T16,Russ Cochran,61,"10' 11""",1843.75,169,69,1
16,T16,T16,Bob Tway,90,"10' 11""",2268.167,208,52,"4"""
17,T18,T18,David Gossett,57,"10' 10""",1245.0,115,39,"3"""
18,T18,T18,Brett Quigley,102,"10' 10""",3153.583,292,59,"4"""
19,T18,T18,Scott Simpson,55,"10' 10""",1678.5829999999999,155,33,"7"""
20,T21,T21,Tommy Armour III,87,"10' 9""",2513.667,234,53,"5"""
21,T21,T21,Tom Byrum,83,"10' 9""",2451.833,228,53,"7"""
22,T21,T21,Ben Curtis,56,"10' 9""",1307.833,122,45,"5"""
23,T21,T21,Matt Kuchar,83,"10' 9""",2579.083,239,68,"1"""
24,T21,T21,Hirofumi Miyase,65,"10' 9""",1649.75,153,72,"1"""
25,T21,T21,Chris Riley,78,"10' 9""",1813.0829999999999,169,52,"7"""
26,T27,T27,Stephen Leaney,84,"10' 8""",1715.6670000000001,161,63,1
27,T27,T27,Corey Pavin,83,"10' 8""",2233.5,209,35,"4"""
