,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Adam Scott,55,"88' 1""",42279,40,"4' 11""","145' 5"""
1,2,2,Mark O'Meara,58,"86' 2""",42375,41,"4' 10""","172' 9"""
2,3,3,Freddie Jacobson,83,"85' 11""",60816,59,"4' 10""","158' 1"""
3,4,4,Steve Flesch,109,"85' 0""",82600,81,"4' 9""","158' 10"""
4,5,5,Frank Lickliter II,89,"84' 5""",74991,74,"4' 10""","187' 0"""
5,T6,T6,Brad Faxon,94,"84' 1""",65558,65,"4' 10""","165' 6"""
6,T6,T6,Tiger Woods,78,"84' 1""",54489,54,"4' 9""","187' 6"""
7,8,8,Darren Clarke,54,"83' 9""",35161,35,"4' 9""","201' 3"""
8,T9,T9,Ben Crane,92,"83' 5""",76051,76,"4' 8""","175' 0"""
9,T9,T9,Brenden Pappas,111,"83' 5""",94136,94,"4' 9""","184' 6"""
10,T9,T9,Patrick Sheehan,113,"83' 5""",98098,98,"4' 9""","174' 1"""
11,12,12,David Morland IV,73,"83' 2""",58862,59,"4' 8""","127' 3"""
12,T13,T13,Richard Johnson,102,"83' 0""",85679,86,"4' 8""","148' 8"""
13,T13,T13,Hunter Mahan,94,"83' 0""",75678,76,"4' 8""","142' 8"""
14,T13,T13,Tommy Tolles,67,"83' 0""",57754,58,"4' 8""","151' 8"""
15,16,16,Greg Chalmers,70,"82' 11""",63657,64,"4' 8""","178' 2"""
16,17,17,Shigeki Maruyama,93,"82' 10""",73544,74,"4' 8""","164' 7"""
17,T18,T18,Stephen Ames,97,"82' 9""",77444,78,"4' 8""","167' 1"""
18,T18,T18,Stewart Cink,103,"82' 9""",78451,79,"4' 8""","138' 5"""
19,T18,T18,Zach Johnson,109,"82' 9""",84410,85,"4' 8""","143' 6"""
20,T18,T18,Shaun Micheel,93,"82' 9""",69475,70,"4' 8""","167' 1"""
21,T18,T18,Carl Pettersson,100,"82' 9""",72489,73,"4' 8""","194' 7"""
22,23,23,Tim Petrovic,111,"82' 8""",82305,83,"4' 8""","180' 4"""
23,24,24,Alex Cejka,76,"82' 7""",56475,57,"4' 8""","152' 0"""
24,25,25,Aaron Baddeley,87,"82' 5""",75153,76,"4' 8""","137' 0"""
25,T26,T26,Brett Quigley,102,"82' 0""",81678,83,"4' 8""","155' 7"""
26,T26,T26,Bo Van Pelt,107,"82' 0""",74810,76,"4' 8""","149' 6"""
27,28,28,Stuart Appleby,84,"81' 11""",57982,59,"4' 7""","147' 1"""
28,T29,T29,Scott Hend,81,"81' 9""",62800,64,"4' 8""","197' 2"""
29,T29,T29,Geoff Ogilvy,91,"81' 9""",68697,70,"4' 8""","146' 3"""
30,31,31,Bob Tway,90,"81' 5""",63525,65,"4' 7""","178' 11"""
31,32,32,Harrison Frazar,86,"81' 3""",68250,70,"4' 7""","161' 10"""
32,33,33,Pat Perez,102,"81' 2""",80861,83,"4' 7""","148' 5"""
33,T34,T34,Brent Geiberger,94,"81' 0""",77721,80,"4' 7""","134' 7"""
34,T34,T34,Joe Ogilvie,104,"81' 0""",76794,79,"4' 7""","166' 9"""
35,T36,T36,Brian Bateman,84,"80' 11""",68908,71,"4' 7""","143' 1"""
36,T36,T36,Daniel Chopra,108,"80' 11""",87355,90,"4' 7""","165' 6"""
37,38,38,Ted Purdy,114,"80' 10""",94054,97,"4' 7""","146' 8"""
38,T39,T39,Matt Gogel,86,"80' 9""",63970,66,"4' 7""","149' 6"""
39,T39,T39,Mark Wilson,62,"80' 9""",51375,53,"4' 7""","132' 10"""
40,41,41,Mark Calcavecchia,79,"80' 8""",53243,55,"4' 7""","134' 6"""
41,42,42,Mike Weir,75,"80' 6""",53119,55,"4' 6""","194' 6"""
42,T43,T43,Dan Forsman,79,"80' 4""",60719,63,"4' 6""","177' 5"""
