,Total_1_Putts_-_5-10_RANK THIS WEEK,Total_1_Putts_-_5-10_RANK LAST WEEK,Total_1_Putts_-_5-10_PLAYER NAME,Total_1_Putts_-_5-10_ROUNDS,Total_1_Putts_-_5-10_TOTAL,Total_1_Putts_-_5-10_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_5-10_PCT OF ALL 1-PUTTS
0,1,1,Patrick Sheehan,113,214,742,28.8
1,2,2,Brenden Pappas,111,201,724,27.8
2,3,3,Richard Johnson,102,199,673,29.6
3,4,4,Ted Purdy,114,190,711,26.7
4,T5,T5,Billy Andrade,104,187,649,28.8
5,T5,T5,Joe Ogilvie,104,187,630,29.7
6,7,7,Stewart Cink,103,186,614,30.3
7,8,8,Jay Williamson,100,183,618,29.6
8,9,9,Jerry Kelly,113,182,624,29.2
9,10,10,Jeff Brehaut,106,181,633,28.6
10,11,11,Cameron Beckman,99,179,602,29.7
11,T12,T12,Skip Kendall,99,177,585,30.3
12,T12,T12,Hunter Mahan,94,177,602,29.4
13,T14,T14,Todd Fischer,104,176,646,27.2
14,T14,T14,Brian Gay,96,176,671,26.2
15,T14,T14,J.L. Lewis,106,176,601,29.3
16,T17,T17,Robert Gamez,103,174,647,26.9
17,T17,T17,Kevin Na,100,174,611,28.5
18,T17,T17,Carl Pettersson,100,174,593,29.3
19,20,20,Tim Petrovic,111,173,626,27.6
20,T21,T21,Kent Jones,99,172,567,30.3
21,T21,T21,Shigeki Maruyama,93,172,596,28.9
22,T23,T23,Daniel Chopra,108,171,660,25.9
23,T23,T23,Mark Hensby,97,171,612,27.9
24,T25,T25,Glen Day,101,169,653,25.9
25,T25,T25,Neal Lancaster,106,169,642,26.3
26,T25,T25,Dean Wilson,99,169,682,24.8
27,28,28,Brett Quigley,102,168,611,27.5
28,T29,T29,Hank Kuehne,91,167,631,26.5
29,T29,T29,Rod Pampling,98,167,558,29.9
30,T29,T29,Tom Pernice Jr.,103,167,598,27.9
31,T32,T32,Stephen Ames,97,166,567,29.3
32,T32,T32,Ken Duke,89,166,548,30.3
33,34,34,John Senden,99,165,547,30.2
34,T35,T35,Aaron Baddeley,87,164,578,28.4
35,T35,T35,Chris DiMarco,105,164,558,29.4
36,T35,T35,Steve Flesch,109,164,581,28.2
37,T35,T35,Fred Funk,97,164,565,29.0
38,T35,T35,Brent Geiberger,94,164,589,27.8
39,T40,T40,Zach Johnson,109,163,631,25.8
40,T40,T40,Pat Perez,102,163,597,27.3
41,T42,T42,Woody Austin,94,162,548,29.6
42,T42,T42,Heath Slocum,92,162,558,29.0
43,44,44,Brad Faxon,94,161,543,29.7
44,T45,T45,Steve Allan,102,160,597,26.8
45,T45,T45,Ryan Palmer,103,160,618,25.9
46,T47,T47,Arjun Atwal,85,159,545,29.2
47,T47,T47,Carlos Franco,99,159,596,26.7
48,T49,T49,Pat Bates,99,158,596,26.5
49,T49,T49,J.J. Henry,103,158,612,25.8
50,T49,T49,Scott Verplank,92,158,492,32.1
51,T52,T52,Tom Carter,113,157,650,24.2
52,T52,T52,Spike McRoy,93,157,514,30.5
53,T54,T54,Michael Allen,87,156,557,28.0
54,T54,T54,Robert Damron,92,156,596,26.2
