,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
0,1,1,Jason Bohn,98,"84' 0""",Reno-Tahoe Open,3,15
1,2,2,Daniel Chopra,108,"83' 0""",Deutsche Bank Championship,4,17
2,3,3,Jeff Brehaut,106,"77' 5""",John Deere Classic,4,18
3,4,4,Paul Azinger,75,"76' 2""",John Deere Classic,1,7
4,5,5,Carlos Franco,99,"76' 0""",The Honda Classic,1,2
5,6,6,Omar Uresti,85,"75' 4""",Michelin Championship at Las Vegas,4,8
6,7,7,David Peoples,82,"73' 1""",Buick Invitational,1,7
7,8,8,Hirofumi Miyase,65,"72' 2""",Valero Texas Open,2,10
8,9,9,Jerry Kelly,113,"72' 0""",THE TOUR Championship presented by Coca-Cola,1,8
9,10,10,Stewart Cink,103,"71' 11""",Ford Championship at Doral,1,13
10,11,11,Steve Stricker,81,"71' 9""",EDS Byron Nelson Championship,1,15
11,12,12,Greg Chalmers,70,"71' 0""",EDS Byron Nelson Championship,2,17
12,13,13,Jeff Sluman,98,"70' 5""",Ford Championship at Doral,1,4
13,T14,14,John Daly,79,"70' 3""",FBR Open,4,13
14,T14,15,Brandt Jobe,30,"70' 3""",Buick Invitational,3,11
15,16,5,Carlos Franco,99,"69' 9""",The Honda Classic,4,11
16,17,17,Kirk Triplett,88,"69' 4""",FUNAI Classic at the WALT DISNEY WORLD Resort,4,15
17,18,18,Russ Cochran,61,"69' 3""",Ford Championship at Doral,3,17
18,19,19,J.L. Lewis,106,"68' 10""",John Deere Classic,1,17
19,20,5,Carlos Franco,99,"68' 8""",THE PLAYERS Championship,4,18
20,T21,21,José Coceres,68,"68' 3""",Michelin Championship at Las Vegas,4,16
21,T21,22,Charles Howell III,104,"68' 3""",Chrysler Championship,1,4
22,23,23,Matt Kuchar,83,"68' 2""",John Deere Classic,1,8
23,24,24,José María Olazábal,56,"68' 0""",Buick Open,2,15
24,25,25,Mark Wilson,62,"67' 7""",Chrysler Classic of Tucson,2,17
25,26,26,Scott McCarron,88,"67' 3""",Shell Houston Open,1,16
26,27,27,Jay Delsing,76,"67' 2""",The Honda Classic,4,10
27,28,22,Charles Howell III,104,"67' 1""",Nissan Open,2,14
28,29,29,Lee Janzen,84,"67' 0""",Bank of America Colonial,2,4
29,30,30,Chris Couch,55,"66' 7""",Southern Farm Bureau Classic,3,7
30,31,31,Spike McRoy,93,"65' 10""",Buick Invitational,3,12
31,32,32,Chris DiMarco,105,"65' 6""",THE TOUR Championship presented by Coca-Cola,2,2
