,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Chris Riley,78,4.64,11,237,95.3
1,2,2,Retief Goosen,56,5.26,9,171,94.7
2,3,3,Jay Haas,84,5.45,14,257,94.5
3,4,4,Kirk Triplett,88,5.81,15,258,94.1
4,5,5,Tiger Woods,78,5.88,15,255,94.1
5,6,6,Steve Stricker,81,5.92,17,287,94.0
6,7,7,Greg Chalmers,70,5.97,16,268,94.0
7,8,8,Brad Faxon,94,6.05,17,281,93.9
8,9,9,José María Olazábal,56,6.18,11,178,93.8
9,10,10,Bob Estes,73,6.32,12,190,93.6
10,11,11,Loren Roberts,81,6.35,19,299,93.6
11,12,12,Stewart Cink,103,6.39,20,313,93.6
12,13,13,Todd Hamilton,92,6.51,20,307,93.4
13,14,14,Shigeki Maruyama,93,6.6,21,318,93.4
14,15,15,Tom Byrum,83,6.62,19,287,93.3
15,16,16,Ben Crane,92,6.63,24,362,93.3
16,17,17,Stephen Leaney,84,6.76,19,281,93.2
17,18,18,Mark Hensby,97,6.79,22,324,93.2
18,19,19,Hidemichi Tanaka,89,6.8,24,353,93.2
19,20,20,Davis Love III,85,6.81,16,235,93.1
20,T21,T21,Luke Donald,72,7.19,23,320,92.8
21,T21,T21,Tim Herron,84,7.19,21,292,92.8
22,23,23,Brian Bateman,84,7.27,25,344,92.7
23,24,24,Brian Gay,96,7.32,24,328,92.6
24,25,25,Aaron Baddeley,87,7.49,25,334,92.5
25,T26,T26,Arron Oberholser,77,7.55,20,265,92.4
26,T26,T26,Bo Van Pelt,107,7.55,29,384,92.4
27,28,28,Geoff Ogilvy,91,7.57,24,317,92.4
28,29,29,Zach Johnson,109,7.58,30,396,92.4
29,30,30,Stephen Ames,97,7.65,29,379,92.3
30,31,31,Jerry Kelly,113,7.73,29,375,92.2
31,32,32,Todd Fischer,104,7.75,31,400,92.2
32,33,33,Justin Rose,77,7.76,17,219,92.2
33,T34,T34,Brent Geiberger,94,7.83,34,434,92.1
34,T34,T34,Patrick Sheehan,113,7.83,35,447,92.1
35,36,36,Len Mattiace,75,7.85,26,331,92.1
36,37,37,John Cook,57,7.86,18,229,92.1
37,38,38,Dan Olsen,75,7.87,24,305,92.1
38,39,39,Fred Funk,97,7.89,28,355,92.1
39,T40,T40,John Riegger,53,7.91,17,215,92.0
40,T40,T40,Dean Wilson,99,7.91,31,392,92.0
41,42,42,Steve Flesch,109,7.93,28,353,92.0
42,43,43,Scott Hoch,52,8.06,15,186,91.9
43,44,44,Michael Allen,87,8.11,27,333,91.8
44,45,45,Briny Baird,100,8.14,32,393,91.8
45,46,46,Freddie Jacobson,83,8.19,23,281,91.8
46,47,47,Brenden Pappas,111,8.2,35,427,91.8
47,48,48,Chad Campbell,100,8.47,30,354,91.5
48,49,49,Darren Clarke,54,8.48,14,165,91.5
49,50,50,Jesper Parnevik,86,8.54,28,328,91.4
50,51,51,Jonathan Byrd,85,8.56,25,292,91.4
51,T52,T52,Daniel Chopra,108,8.57,36,420,91.4
52,T52,T52,Scott Verplank,92,8.57,24,280,91.4
53,54,54,Danny Ellis,81,8.59,25,291,91.4
54,55,55,Mark Wilson,62,8.6,24,279,91.4
55,56,56,Glen Day,101,8.61,31,360,91.3
56,57,57,Kent Jones,99,8.63,34,394,91.3
57,58,58,Tom Carter,113,8.64,40,463,91.3
58,59,59,Tripp Isenhour,55,8.7,18,207,91.3
59,60,60,Joe Ogilvie,104,8.72,28,321,91.2
60,61,61,J.J. Henry,103,8.74,39,446,91.2
61,62,62,Bob Burns,88,8.77,27,308,91.2
62,63,63,Frank Lickliter II,89,8.8,30,341,91.2
63,T64,T64,Tommy Armour III,87,8.82,32,363,91.1
64,T64,T64,Peter Lonard,68,8.82,18,204,91.1
65,66,66,Deane Pappas,72,8.85,23,260,91.1
66,67,67,Olin Browne,92,8.87,29,327,91.1
67,68,68,Brett Quigley,102,8.88,38,428,91.1
68,69,69,Mark O'Meara,58,8.9,17,191,91.1
69,70,70,Richard Johnson,102,8.93,35,392,91.0
70,71,71,Tom Pernice Jr.,103,8.97,35,390,91.0
71,72,72,David Peoples,82,8.98,30,334,91.0
72,73,73,Matt Gogel,86,9.0,26,289,91.0
73,T74,T74,Craig Barlow,80,9.09,27,297,90.9
74,T74,T74,Steve Lowery,91,9.09,28,308,90.9
75,76,76,Tim Clark,84,9.13,24,263,90.8
76,77,77,Arjun Atwal,85,9.18,29,316,90.8
77,78,78,Harrison Frazar,86,9.21,29,315,90.7
78,79,79,Carl Pettersson,100,9.26,30,324,90.7
79,80,80,José Coceres,68,9.28,22,237,90.7
80,81,81,Rod Pampling,98,9.3,32,344,90.7
81,82,82,Tim Petrovic,111,9.39,34,362,90.6
82,T83,T83,K.J. Choi,83,9.42,26,276,90.5
83,T83,T83,Scott McCarron,88,9.42,31,329,90.5
84,85,85,Jason Dufner,79,9.45,31,328,90.5
85,86,86,Billy Mayfair,109,9.46,42,444,90.5
86,87,87,Mark Brooks,72,9.48,20,211,90.5
87,T88,T88,Stuart Appleby,84,9.51,25,263,90.4
88,T88,T88,Corey Pavin,83,9.51,27,284,90.4
89,T90,T90,Ernie Els,62,9.58,16,167,90.4
90,T90,T90,Hank Kuehne,91,9.58,34,355,90.4
91,T90,T90,Justin Leonard,90,9.58,25,261,90.4
92,93,93,Hirofumi Miyase,65,9.65,25,259,90.3
