,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Stewart Cink,103,1.723,1997,1159,31.34,61
1,2,2,Tiger Woods,78,1.724,1495,867,35.45,48
2,3,3,Greg Chalmers,70,1.726,1317,763,32.85,185
3,4,4,Carl Pettersson,100,1.733,1953,1127,33.19,T108
4,5,5,John Daly,79,1.736,1639,944,33.33,60
5,6,6,Brian Gay,96,1.7369999999999999,1808,1041,30.38,177
6,T7,T7,Mark Hensby,97,1.7380000000000002,1841,1059,31.53,141
7,T7,T7,Loren Roberts,81,1.7380000000000002,1646,947,29.78,T54
8,T9,T9,Ben Crane,92,1.74,1850,1063,31.13,118
9,T9,T9,Ernie Els,62,1.74,1192,685,33.33,83
10,T11,T11,Retief Goosen,56,1.743,1185,680,32.01,17
11,T11,T11,Scott Verplank,92,1.743,1956,1122,30.92,20
12,T13,T13,Paul Azinger,75,1.745,1485,851,32.47,T147
13,T13,T13,Darren Clarke,54,1.745,965,553,32.12,120
14,T13,T13,José María Olazábal,56,1.745,1021,585,28.35,164
15,T13,T13,Steve Stricker,81,1.745,1454,833,30.4,191
16,T17,T17,Shigeki Maruyama,93,1.746,1867,1069,31.24,T108
17,T17,T17,Nick Price,51,1.746,929,532,29.22,T192
18,T19,T19,Daniel Chopra,108,1.7480000000000002,2133,1220,32.05,122
19,T19,T19,Harrison Frazar,86,1.7480000000000002,1683,963,32.74,94
20,T21,T21,Glen Day,101,1.749,1926,1101,30.54,176
21,T21,T21,Brad Faxon,94,1.749,1719,983,29.15,181
22,T21,T21,Matt Gogel,86,1.749,1672,956,30.75,142
23,T21,T21,Mike Weir,75,1.749,1497,856,31.26,95
24,25,25,Freddie Jacobson,83,1.75,1622,927,32.79,113
25,T26,T26,Zach Johnson,109,1.751,2289,1307,30.25,29
26,T26,T26,Tag Ridings,53,1.751,1012,578,32.01,T116
27,T28,T28,Chris DiMarco,105,1.7519999999999998,2073,1183,29.54,43
28,T28,T28,Geoff Ogilvy,91,1.7519999999999998,1834,1047,33.14,49
29,T28,T28,Kirk Triplett,88,1.7519999999999998,1792,1023,29.83,T34
30,31,31,Davis Love III,85,1.7530000000000001,1520,867,30.82,T116
31,32,32,José Coceres,68,1.754,1279,729,30.86,140
32,T33,T33,Stephen Ames,97,1.755,2053,1170,30.82,24
33,T33,T33,Joe Ogilvie,104,1.755,2032,1158,31.81,145
34,T33,T33,Dean Wilson,99,1.755,1938,1104,31.08,173
35,36,36,Bob Estes,73,1.756,1440,820,28.97,119
36,T37,T37,Danny Ellis,81,1.757,1555,885,29.49,125
37,T37,T37,Adam Scott,55,1.757,1079,614,32.9,84
38,T37,T37,Vijay Singh,112,1.757,2540,1446,32.66,2
39,T40,T40,Jay Haas,84,1.758,1674,952,28.16,47
40,T40,T40,Richard Johnson,102,1.758,2082,1184,30.12,111
41,T40,T40,David Toms,80,1.758,1603,912,30.95,21
42,T43,T43,Frank Lickliter II,89,1.7590000000000001,1764,1003,31.54,105
43,T43,T43,Phil Mickelson,83,1.7590000000000001,1740,989,32.86,10
44,T43,T43,Brenden Pappas,111,1.7590000000000001,2153,1224,31.67,151
45,T43,T43,Jesper Parnevik,86,1.7590000000000001,1799,1023,30.59,72
46,T43,T43,Patrick Sheehan,113,1.7590000000000001,2282,1297,30.53,101
47,48,48,Jonathan Byrd,85,1.76,1614,917,32.53,180
48,49,49,Vaughn Taylor,84,1.761,1779,1010,31.31,23
49,T50,T50,Corey Pavin,83,1.7619999999999998,1556,883,29.2,168
50,T50,T50,Justin Rose,77,1.7619999999999998,1545,877,30.32,33
51,T52,T52,Michael Allen,87,1.7630000000000001,1733,983,30.07,115
52,T52,T52,Steve Flesch,109,1.7630000000000001,2191,1243,30.27,81
53,T52,T52,Jerry Kelly,113,1.7630000000000001,2352,1334,29.58,28
54,T52,T52,Rod Pampling,98,1.7630000000000001,1973,1119,30.8,69
55,T56,T56,Stuart Appleby,84,1.764,1612,914,30.85,97
56,T56,T56,Tim Clark,84,1.764,1755,995,29.88,79
57,T56,T56,John Rollins,90,1.764,1688,957,29.87,162
58,T59,T59,Mark Calcavecchia,79,1.765,1608,911,30.88,103
59,T59,T59,Hank Kuehne,91,1.765,1777,1007,31.14,155
60,T61,T61,Arjun Atwal,85,1.766,1649,934,29.8,163
61,T61,T61,Brian Bateman,84,1.766,1694,959,30.27,T54
62,T61,T61,Chris Riley,78,1.766,1469,832,27.68,165
63,T64,T64,Aaron Baddeley,87,1.767,1573,890,30.15,195
64,T64,T64,Robert Gamez,103,1.767,2154,1219,29.63,82
65,T64,T64,Skip Kendall,99,1.767,1974,1117,29.06,158
66,T67,T67,Mark O'Meara,58,1.768,1153,652,28.37,166
67,T67,T67,Ryan Palmer,103,1.768,2085,1179,31.52,88
68,T67,T67,Bo Van Pelt,107,1.768,2240,1267,31.36,32
69,T70,T70,Bob Burns,88,1.7690000000000001,1705,964,28.17,167
70,T70,T70,Todd Fischer,104,1.7690000000000001,2075,1173,28.61,124
71,T70,T70,Fred Funk,97,1.7690000000000001,2002,1132,28.43,T86
72,T70,T70,Justin Leonard,90,1.7690000000000001,1788,1011,27.92,73
73,T70,T70,J.L. Lewis,106,1.7690000000000001,2243,1268,29.44,T58
74,T70,T70,Steve Lowery,91,1.7690000000000001,1811,1024,30.63,123
75,T70,T70,Ted Purdy,114,1.7690000000000001,2402,1358,30.47,40
76,T77,T77,K.J. Choi,83,1.77,1720,972,29.35,77
77,T77,T77,Duffy Waldorf,79,1.77,1627,919,29.77,9
78,T79,T79,Cameron Beckman,99,1.771,2051,1158,29.9,45
79,T79,T79,Notah Begay III,71,1.771,1413,798,30.15,T66
80,81,81,Scott McCarron,88,1.7719999999999998,1793,1012,30.89,90
81,T82,T82,Billy Andrade,104,1.7730000000000001,2137,1205,29.76,114
82,T82,T82,John Riegger,53,1.7730000000000001,1135,640,27.23,42
83,T84,T84,Todd Hamilton,92,1.774,1762,993,27.68,157
84,T84,T84,Dennis Paulson,71,1.774,1428,805,31.55,150
85,T86,T86,Woody Austin,94,1.775,2047,1153,31.07,25
86,T86,T86,Olin Browne,92,1.775,1938,1092,27.98,12
87,T86,T86,Brent Geiberger,94,1.775,1906,1074,29.29,85
88,T86,T86,Hunter Mahan,94,1.775,1912,1077,29.82,T130
89,T86,T86,Kevin Na,100,1.775,1984,1118,28.28,107
90,T91,T91,Tom Byrum,83,1.776,1689,951,27.87,T130
91,T91,T91,J.P. Hayes,79,1.776,1526,859,27.94,133
92,T91,T91,Kent Jones,99,1.776,2090,1177,29.13,39
93,T91,T91,Deane Pappas,72,1.776,1419,799,30.41,137
94,T91,T91,Kenny Perry,79,1.776,1668,939,30.74,18
95,T91,T91,Tim Petrovic,111,1.776,2170,1222,28.42,136
96,T91,T91,Tommy Tolles,67,1.776,1325,746,31.36,175
97,T91,T91,Jay Williamson,100,1.776,2050,1154,28.0,89
98,T99,T99,Bart Bryant,73,1.777,1521,856,28.86,13
99,T99,T99,Bernhard Langer,59,1.777,1148,646,27.68,93
100,T99,T99,Jeff Sluman,98,1.777,2134,1201,28.56,15
101,T102,T102,Jason Bohn,98,1.778,2032,1143,31.85,T50
102,T102,T102,Tom Lehman,70,1.778,1508,848,30.21,3
103,T102,T102,Dan Olsen,75,1.778,1437,808,29.37,178
104,T102,T102,Tom Pernice Jr.,103,1.778,2118,1191,28.28,T50
105,106,106,David Peoples,82,1.7790000000000001,1638,921,28.29,121
106,T107,T107,Briny Baird,100,1.78,2195,1233,28.03,5
107,T107,T107,Arron Oberholser,77,1.78,1568,881,27.42,44
108,T107,T107,Pat Perez,102,1.78,2120,1191,30.81,T66
109,T107,T107,Brett Quigley,102,1.78,2066,1161,29.1,78
110,T107,T107,Hidemichi Tanaka,89,1.78,1885,1059,26.96,71
111,T112,T112,Fred Couples,54,1.781,1106,621,30.26,62
112,T112,T112,Lee Janzen,84,1.781,1783,1001,30.06,30
113,T112,T112,Neal Lancaster,106,1.781,2174,1221,29.01,76
114,115,115,Dudley Hart,60,1.784,1217,682,28.49,T91
115,116,116,Ken Duke,89,1.785,1730,969,29.19,174
116,T117,T117,Scott Hoch,52,1.786,1125,630,27.55,19
117,T117,T117,David Morland IV,73,1.786,1411,790,28.5,T188
118,T119,T119,Craig Barlow,80,1.787,1698,950,29.72,T34
119,T119,T119,Tim Herron,84,1.787,1739,973,26.96,96
120,T119,T119,Andre Stolz,53,1.787,1074,601,28.38,149
