,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Tiger Woods,78,35.45,307,866
1,T2,T2,John Daly,79,33.33,313,939
2,T2,T2,Ernie Els,62,33.33,228,684
3,4,4,Carl Pettersson,100,33.19,373,1124
4,5,5,Geoff Ogilvy,91,33.14,346,1044
5,6,6,Adam Scott,55,32.9,202,614
6,7,7,Phil Mickelson,83,32.86,324,986
7,8,8,Greg Chalmers,70,32.85,250,761
8,9,9,Freddie Jacobson,83,32.79,303,924
9,10,10,Harrison Frazar,86,32.74,314,959
10,11,11,Vijay Singh,112,32.66,470,1439
11,12,12,Jonathan Byrd,85,32.53,298,916
12,13,13,Paul Azinger,75,32.47,276,850
13,14,14,Darren Clarke,54,32.12,177,551
14,15,15,Daniel Chopra,108,32.05,390,1217
15,T16,T16,Retief Goosen,56,32.01,217,678
16,T16,T16,Tag Ridings,53,32.01,185,578
17,18,18,Scott Hend,81,31.87,283,888
18,19,19,Jason Bohn,98,31.85,364,1143
19,20,20,Joe Ogilvie,104,31.81,368,1157
20,21,21,Chris Couch,55,31.77,190,598
21,22,22,Brenden Pappas,111,31.67,387,1222
22,23,23,Dennis Paulson,71,31.55,254,805
23,24,24,Frank Lickliter II,89,31.54,316,1002
24,25,25,Mark Hensby,97,31.53,333,1056
25,26,26,Ryan Palmer,103,31.52,370,1174
26,T27,T27,Tommy Tolles,67,31.36,233,743
27,T27,T27,Bo Van Pelt,107,31.36,397,1266
28,29,29,Stewart Cink,103,31.34,362,1155
29,30,30,Vaughn Taylor,84,31.31,314,1003
30,31,31,Mike Weir,75,31.26,267,854
31,32,32,Shigeki Maruyama,93,31.24,334,1069
32,33,33,Mike Heinen,53,31.22,187,599
33,34,34,Hank Kuehne,91,31.14,313,1005
